"location","origin_date","horizon","target_end_date","output_type_id","target","output_type","value"
"HHS Region 1",2017-10-28,1,2017-11-04,0.01,"ili perc","quantile",0.519720118550934
"HHS Region 1",2017-10-28,1,2017-11-04,0.025,"ili perc","quantile",0.572161872547499
"HHS Region 1",2017-10-28,1,2017-11-04,0.05,"ili perc","quantile",0.640616972843688
"HHS Region 1",2017-10-28,1,2017-11-04,0.1,"ili perc","quantile",0.747629635339502
"HHS Region 1",2017-10-28,1,2017-11-04,0.15,"ili perc","quantile",0.816129960629381
"HHS Region 1",2017-10-28,1,2017-11-04,0.2,"ili perc","quantile",0.877576698318229
"HHS Region 1",2017-10-28,1,2017-11-04,0.25,"ili perc","quantile",0.908335308421285
"HHS Region 1",2017-10-28,1,2017-11-04,0.3,"ili perc","quantile",0.951359234247867
"HHS Region 1",2017-10-28,1,2017-11-04,0.35,"ili perc","quantile",0.973895372981635
"HHS Region 1",2017-10-28,1,2017-11-04,0.4,"ili perc","quantile",1.00059844810429
"HHS Region 1",2017-10-28,1,2017-11-04,0.45,"ili perc","quantile",1.01753791584978
"HHS Region 1",2017-10-28,1,2017-11-04,0.5,"ili perc","quantile",1.04829430525828
"HHS Region 1",2017-10-28,1,2017-11-04,0.55,"ili perc","quantile",1.06693591575395
"HHS Region 1",2017-10-28,1,2017-11-04,0.6,"ili perc","quantile",1.08258422371862
"HHS Region 1",2017-10-28,1,2017-11-04,0.65,"ili perc","quantile",1.11409668423044
"HHS Region 1",2017-10-28,1,2017-11-04,0.7,"ili perc","quantile",1.12867197676848
"HHS Region 1",2017-10-28,1,2017-11-04,0.75,"ili perc","quantile",1.15466948042491
"HHS Region 1",2017-10-28,1,2017-11-04,0.8,"ili perc","quantile",1.20585271351121
"HHS Region 1",2017-10-28,1,2017-11-04,0.85,"ili perc","quantile",1.28069348844894
"HHS Region 1",2017-10-28,1,2017-11-04,0.9,"ili perc","quantile",1.39142352607253
"HHS Region 1",2017-10-28,1,2017-11-04,0.95,"ili perc","quantile",1.61715665577739
"HHS Region 1",2017-10-28,1,2017-11-04,0.975,"ili perc","quantile",1.82711148904701
"HHS Region 1",2017-10-28,1,2017-11-04,0.99,"ili perc","quantile",2.92422570581692
"HHS Region 1",2017-10-28,2,2017-11-11,0.01,"ili perc","quantile",0.380456592647383
"HHS Region 1",2017-10-28,2,2017-11-11,0.025,"ili perc","quantile",0.44034993667402
