"location","origin_date","horizon","target_end_date","value","output_type_id","target","output_type"
"HHS Region 1",2020-02-15,1,2020-02-22,4.11252453791365,0.01,"ili perc","quantile"
"HHS Region 1",2020-02-15,1,2020-02-22,4.23022931328194,0.025,"ili perc","quantile"
"HHS Region 1",2020-02-15,1,2020-02-22,4.64090609651251,0.05,"ili perc","quantile"
"HHS Region 1",2020-02-15,1,2020-02-22,4.79435274244386,0.1,"ili perc","quantile"
"HHS Region 1",2020-02-15,1,2020-02-22,4.92439474960543,0.15,"ili perc","quantile"
"HHS Region 1",2020-02-15,1,2020-02-22,5.29070932653709,0.2,"ili perc","quantile"
"HHS Region 1",2020-02-15,1,2020-02-22,5.42528603260177,0.25,"ili perc","quantile"
"HHS Region 1",2020-02-15,1,2020-02-22,5.50142639560726,0.3,"ili perc","quantile"
"HHS Region 1",2020-02-15,1,2020-02-22,5.53687712045701,0.35,"ili perc","quantile"
"HHS Region 1",2020-02-15,1,2020-02-22,5.55972676391608,0.4,"ili perc","quantile"
"HHS Region 1",2020-02-15,1,2020-02-22,5.58236268481921,0.45,"ili perc","quantile"
"HHS Region 1",2020-02-15,1,2020-02-22,5.64280292344731,0.5,"ili perc","quantile"
"HHS Region 1",2020-02-15,1,2020-02-22,5.73547496322947,0.55,"ili perc","quantile"
"HHS Region 1",2020-02-15,1,2020-02-22,5.83526945003391,0.6,"ili perc","quantile"
"HHS Region 1",2020-02-15,1,2020-02-22,5.8709299213358,0.65,"ili perc","quantile"
"HHS Region 1",2020-02-15,1,2020-02-22,5.92995727514894,0.7,"ili perc","quantile"
"HHS Region 1",2020-02-15,1,2020-02-22,5.98409639073609,0.75,"ili perc","quantile"
"HHS Region 1",2020-02-15,1,2020-02-22,6.06769461122552,0.8,"ili perc","quantile"
"HHS Region 1",2020-02-15,1,2020-02-22,6.1352734954991,0.85,"ili perc","quantile"
"HHS Region 1",2020-02-15,1,2020-02-22,6.32302320486475,0.9,"ili perc","quantile"
"HHS Region 1",2020-02-15,1,2020-02-22,6.74318771641649,0.95,"ili perc","quantile"
"HHS Region 1",2020-02-15,1,2020-02-22,7.69582519005656,0.975,"ili perc","quantile"
"HHS Region 1",2020-02-15,1,2020-02-22,8.24023445059721,0.99,"ili perc","quantile"
"HHS Region 1",2020-02-15,2,2020-02-29,3.36538010464743,0.01,"ili perc","quantile"
"HHS Region 1",2020-02-15,2,2020-02-29,3.44247290323308,0.025,"ili perc","quantile"
"HHS Region 1",2020-02-15,2,2020-02-29,3.68552961045274,0.05,"ili perc","quantile"
"HHS Region 1",2020-02-15,2,2020-02-29,3.92495482893361,0.1,"ili perc","quantile"
"HHS Region 1",2020-02-15,2,2020-02-29,4.11545736328326,0.15,"ili perc","quantile"
"HHS Region 1",2020-02-15,2,2020-02-29,4.2687452233989,0.2,"ili perc","quantile"
"HHS Region 1",2020-02-15,2,2020-02-29,4.35250968102579,0.25,"ili perc","quantile"
"HHS Region 1",2020-02-15,2,2020-02-29,4.41716499936908,0.3,"ili perc","quantile"
"HHS Region 1",2020-02-15,2,2020-02-29,4.45885434749845,0.35,"ili perc","quantile"
"HHS Region 1",2020-02-15,2,2020-02-29,4.64639943824572,0.4,"ili perc","quantile"
"HHS Region 1",2020-02-15,2,2020-02-29,4.73007292590402,0.45,"ili perc","quantile"
"HHS Region 1",2020-02-15,2,2020-02-29,4.79113481942947,0.5,"ili perc","quantile"
"HHS Region 1",2020-02-15,2,2020-02-29,4.91799354545577,0.55,"ili perc","quantile"
"HHS Region 1",2020-02-15,2,2020-02-29,4.96028493229275,0.6,"ili perc","quantile"
"HHS Region 1",2020-02-15,2,2020-02-29,5.065041342126,0.65,"ili perc","quantile"
"HHS Region 1",2020-02-15,2,2020-02-29,5.13429162233544,0.7,"ili perc","quantile"
"HHS Region 1",2020-02-15,2,2020-02-29,5.22686773993096,0.75,"ili perc","quantile"
"HHS Region 1",2020-02-15,2,2020-02-29,5.39263602778151,0.8,"ili perc","quantile"
"HHS Region 1",2020-02-15,2,2020-02-29,5.64806144483481,0.85,"ili perc","quantile"
"HHS Region 1",2020-02-15,2,2020-02-29,6.18656641322535,0.9,"ili perc","quantile"
"HHS Region 1",2020-02-15,2,2020-02-29,6.93098276983167,0.95,"ili perc","quantile"
"HHS Region 1",2020-02-15,2,2020-02-29,7.22076911234361,0.975,"ili perc","quantile"
"HHS Region 1",2020-02-15,2,2020-02-29,7.37400854410005,0.99,"ili perc","quantile"
"HHS Region 1",2020-02-15,3,2020-03-07,2.55661857015671,0.01,"ili perc","quantile"
"HHS Region 1",2020-02-15,3,2020-03-07,2.643205051212,0.025,"ili perc","quantile"
"HHS Region 1",2020-02-15,3,2020-03-07,2.79857678846218,0.05,"ili perc","quantile"
"HHS Region 1",2020-02-15,3,2020-03-07,3.04642323196782,0.1,"ili perc","quantile"
"HHS Region 1",2020-02-15,3,2020-03-07,3.24418373856006,0.15,"ili perc","quantile"
"HHS Region 1",2020-02-15,3,2020-03-07,3.40795160863237,0.2,"ili perc","quantile"
"HHS Region 1",2020-02-15,3,2020-03-07,3.56476425319082,0.25,"ili perc","quantile"
"HHS Region 1",2020-02-15,3,2020-03-07,3.8022960725927,0.3,"ili perc","quantile"
"HHS Region 1",2020-02-15,3,2020-03-07,3.90927277194159,0.35,"ili perc","quantile"
"HHS Region 1",2020-02-15,3,2020-03-07,4.01017554581708,0.4,"ili perc","quantile"
"HHS Region 1",2020-02-15,3,2020-03-07,4.06596616915265,0.45,"ili perc","quantile"
