"location","origin_date","horizon","target_end_date","value","output_type_id","target","output_type"
"HHS Region 1",2018-02-10,1,2018-02-17,3.43664065000393,0.01,"ili perc","quantile"
"HHS Region 1",2018-02-10,1,2018-02-17,3.69583857152155,0.025,"ili perc","quantile"
"HHS Region 1",2018-02-10,1,2018-02-17,3.91473261479349,0.05,"ili perc","quantile"
"HHS Region 1",2018-02-10,1,2018-02-17,4.30321281683016,0.1,"ili perc","quantile"
"HHS Region 1",2018-02-10,1,2018-02-17,4.51345529758227,0.15,"ili perc","quantile"
"HHS Region 1",2018-02-10,1,2018-02-17,4.71031655543435,0.2,"ili perc","quantile"
"HHS Region 1",2018-02-10,1,2018-02-17,4.89384293807394,0.25,"ili perc","quantile"
"HHS Region 1",2018-02-10,1,2018-02-17,4.96676062497011,0.3,"ili perc","quantile"
"HHS Region 1",2018-02-10,1,2018-02-17,5.04408388569358,0.35,"ili perc","quantile"
"HHS Region 1",2018-02-10,1,2018-02-17,5.10312624598259,0.4,"ili perc","quantile"
"HHS Region 1",2018-02-10,1,2018-02-17,5.17300015865716,0.45,"ili perc","quantile"
"HHS Region 1",2018-02-10,1,2018-02-17,5.25630029210276,0.5,"ili perc","quantile"
"HHS Region 1",2018-02-10,1,2018-02-17,5.33159204307537,0.55,"ili perc","quantile"
"HHS Region 1",2018-02-10,1,2018-02-17,5.44624905325736,0.6,"ili perc","quantile"
"HHS Region 1",2018-02-10,1,2018-02-17,5.54305720235284,0.65,"ili perc","quantile"
"HHS Region 1",2018-02-10,1,2018-02-17,5.60113602178929,0.7,"ili perc","quantile"
"HHS Region 1",2018-02-10,1,2018-02-17,5.69032196706476,0.75,"ili perc","quantile"
"HHS Region 1",2018-02-10,1,2018-02-17,5.81844765434978,0.8,"ili perc","quantile"
"HHS Region 1",2018-02-10,1,2018-02-17,5.93244102914425,0.85,"ili perc","quantile"
"HHS Region 1",2018-02-10,1,2018-02-17,6.14792202391561,0.9,"ili perc","quantile"
"HHS Region 1",2018-02-10,1,2018-02-17,7.08429153677752,0.95,"ili perc","quantile"
"HHS Region 1",2018-02-10,1,2018-02-17,7.876243266281,0.975,"ili perc","quantile"
"HHS Region 1",2018-02-10,1,2018-02-17,9.65788522791777,0.99,"ili perc","quantile"
"HHS Region 1",2018-02-10,2,2018-02-24,3.07140075374749,0.01,"ili perc","quantile"
"HHS Region 1",2018-02-10,2,2018-02-24,3.12433768468631,0.025,"ili perc","quantile"
"HHS Region 1",2018-02-10,2,2018-02-24,3.30314313974446,0.05,"ili perc","quantile"
"HHS Region 1",2018-02-10,2,2018-02-24,3.45715819005046,0.1,"ili perc","quantile"
"HHS Region 1",2018-02-10,2,2018-02-24,3.60009647573722,0.15,"ili perc","quantile"
"HHS Region 1",2018-02-10,2,2018-02-24,3.6900204667177,0.2,"ili perc","quantile"
"HHS Region 1",2018-02-10,2,2018-02-24,3.80889528089616,0.25,"ili perc","quantile"
"HHS Region 1",2018-02-10,2,2018-02-24,3.98040408188594,0.3,"ili perc","quantile"
"HHS Region 1",2018-02-10,2,2018-02-24,4.08383374412515,0.35,"ili perc","quantile"
"HHS Region 1",2018-02-10,2,2018-02-24,4.19419019858639,0.4,"ili perc","quantile"
"HHS Region 1",2018-02-10,2,2018-02-24,4.32160207533302,0.45,"ili perc","quantile"
"HHS Region 1",2018-02-10,2,2018-02-24,4.45044974546017,0.5,"ili perc","quantile"
"HHS Region 1",2018-02-10,2,2018-02-24,4.5726391248652,0.55,"ili perc","quantile"
"HHS Region 1",2018-02-10,2,2018-02-24,4.68171700658107,0.6,"ili perc","quantile"
"HHS Region 1",2018-02-10,2,2018-02-24,4.79184816526897,0.65,"ili perc","quantile"
"HHS Region 1",2018-02-10,2,2018-02-24,4.85576253417194,0.7,"ili perc","quantile"
"HHS Region 1",2018-02-10,2,2018-02-24,4.96367761821719,0.75,"ili perc","quantile"
"HHS Region 1",2018-02-10,2,2018-02-24,5.08953023184193,0.8,"ili perc","quantile"
"HHS Region 1",2018-02-10,2,2018-02-24,5.17269118876525,0.85,"ili perc","quantile"
"HHS Region 1",2018-02-10,2,2018-02-24,5.39610725908839,0.9,"ili perc","quantile"
"HHS Region 1",2018-02-10,2,2018-02-24,6.56039565549548,0.95,"ili perc","quantile"
"HHS Region 1",2018-02-10,2,2018-02-24,6.87002980773904,0.975,"ili perc","quantile"
"HHS Region 1",2018-02-10,2,2018-02-24,7.87538565170403,0.99,"ili perc","quantile"
"HHS Region 1",2018-02-10,3,2018-03-03,1.48327104074742,0.01,"ili perc","quantile"
"HHS Region 1",2018-02-10,3,2018-03-03,2.12359942215388,0.025,"ili perc","quantile"
"HHS Region 1",2018-02-10,3,2018-03-03,2.43164817477971,0.05,"ili perc","quantile"
"HHS Region 1",2018-02-10,3,2018-03-03,2.80672613848682,0.1,"ili perc","quantile"
"HHS Region 1",2018-02-10,3,2018-03-03,2.96409508210517,0.15,"ili perc","quantile"
"HHS Region 1",2018-02-10,3,2018-03-03,3.20817127649474,0.2,"ili perc","quantile"
"HHS Region 1",2018-02-10,3,2018-03-03,3.30638907338878,0.25,"ili perc","quantile"
"HHS Region 1",2018-02-10,3,2018-03-03,3.44499403946612,0.3,"ili perc","quantile"
"HHS Region 1",2018-02-10,3,2018-03-03,3.56779603669651,0.35,"ili perc","quantile"
"HHS Region 1",2018-02-10,3,2018-03-03,3.66084852784244,0.4,"ili perc","quantile"
"HHS Region 1",2018-02-10,3,2018-03-03,3.75452517716967,0.45,"ili perc","quantile"
"HHS Region 1",2018-02-10,3,2018-03-03,3.83273786434969,0.5,"ili perc","quantile"
"HHS Region 1",2018-02-10,3,2018-03-03,3.94476442091638,0.55,"ili perc","quantile"
"HHS Region 1",2018-02-10,3,2018-03-03,4.04426551881928,0.6,"ili perc","quantile"
"HHS Region 1",2018-02-10,3,2018-03-03,4.20820578489628,0.65,"ili perc","quantile"
"HHS Region 1",2018-02-10,3,2018-03-03,4.32739177470825,0.7,"ili perc","quantile"
"HHS Region 1",2018-02-10,3,2018-03-03,4.48301248680442,0.75,"ili perc","quantile"
"HHS Region 1",2018-02-10,3,2018-03-03,4.58785106080949,0.8,"ili perc","quantile"
"HHS Region 1",2018-02-10,3,2018-03-03,4.75386172956569,0.85,"ili perc","quantile"
"HHS Region 1",2018-02-10,3,2018-03-03,5.15236984229675,0.9,"ili perc","quantile"
"HHS Region 1",2018-02-10,3,2018-03-03,5.80346746579947,0.95,"ili perc","quantile"
"HHS Region 1",2018-02-10,3,2018-03-03,6.24784807863384,0.975,"ili perc","quantile"
"HHS Region 1",2018-02-10,3,2018-03-03,7.13927931131427,0.99,"ili perc","quantile"
"HHS Region 1",2018-02-10,4,2018-03-10,1.21028237602813,0.01,"ili perc","quantile"
"HHS Region 1",2018-02-10,4,2018-03-10,1.57713397638474,0.025,"ili perc","quantile"
"HHS Region 1",2018-02-10,4,2018-03-10,1.85404850878335,0.05,"ili perc","quantile"
"HHS Region 1",2018-02-10,4,2018-03-10,2.26986634127965,0.1,"ili perc","quantile"
"HHS Region 1",2018-02-10,4,2018-03-10,2.54412303826523,0.15,"ili perc","quantile"
"HHS Region 1",2018-02-10,4,2018-03-10,2.70263849168758,0.2,"ili perc","quantile"
"HHS Region 1",2018-02-10,4,2018-03-10,2.82150143761089,0.25,"ili perc","quantile"
"HHS Region 1",2018-02-10,4,2018-03-10,2.94517404226659,0.3,"ili perc","quantile"
"HHS Region 1",2018-02-10,4,2018-03-10,3.0206908152401,0.35,"ili perc","quantile"
"HHS Region 1",2018-02-10,4,2018-03-10,3.03627078036637,0.4,"ili perc","quantile"
"HHS Region 1",2018-02-10,4,2018-03-10,3.18659186302836,0.45,"ili perc","quantile"
"HHS Region 1",2018-02-10,4,2018-03-10,3.30524555663238,0.5,"ili perc","quantile"
"HHS Region 1",2018-02-10,4,2018-03-10,3.35561640099047,0.55,"ili perc","quantile"
"HHS Region 1",2018-02-10,4,2018-03-10,3.42027586298734,0.6,"ili perc","quantile"
"HHS Region 1",2018-02-10,4,2018-03-10,3.62856293768793,0.65,"ili perc","quantile"
"HHS Region 1",2018-02-10,4,2018-03-10,3.76170126674826,0.7,"ili perc","quantile"
"HHS Region 1",2018-02-10,4,2018-03-10,3.94555449279217,0.75,"ili perc","quantile"
"HHS Region 1",2018-02-10,4,2018-03-10,4.20643596656827,0.8,"ili perc","quantile"
