"location","origin_date","horizon","target_end_date","value","output_type_id","target","output_type"
"US National",2016-01-23,4,2016-02-20,0.969597092598352,0.01,"ili perc","quantile"
"US National",2016-01-23,4,2016-02-20,1.15456274767261,0.025,"ili perc","quantile"
"US National",2016-01-23,4,2016-02-20,1.35213638034369,0.05,"ili perc","quantile"
"US National",2016-01-23,4,2016-02-20,1.47184054165913,0.1,"ili perc","quantile"
"US National",2016-01-23,4,2016-02-20,1.6026606856313,0.15,"ili perc","quantile"
"US National",2016-01-23,4,2016-02-20,1.75335873548014,0.2,"ili perc","quantile"
"US National",2016-01-23,4,2016-02-20,1.81262301742136,0.25,"ili perc","quantile"
"US National",2016-01-23,4,2016-02-20,1.881481551117,0.3,"ili perc","quantile"
"US National",2016-01-23,4,2016-02-20,1.94262083213077,0.35,"ili perc","quantile"
"US National",2016-01-23,4,2016-02-20,1.9860511665414,0.4,"ili perc","quantile"
"US National",2016-01-23,4,2016-02-20,2.05351977827519,0.45,"ili perc","quantile"
"US National",2016-01-23,4,2016-02-20,2.10993260511568,0.5,"ili perc","quantile"
"US National",2016-01-23,4,2016-02-20,2.19569398414492,0.55,"ili perc","quantile"
"US National",2016-01-23,4,2016-02-20,2.30630349314267,0.6,"ili perc","quantile"
"US National",2016-01-23,4,2016-02-20,2.34681022703324,0.65,"ili perc","quantile"
"US National",2016-01-23,4,2016-02-20,2.45058642501307,0.7,"ili perc","quantile"
"US National",2016-01-23,4,2016-02-20,2.48984480066422,0.75,"ili perc","quantile"
"US National",2016-01-23,4,2016-02-20,2.56156713871847,0.8,"ili perc","quantile"
"US National",2016-01-23,4,2016-02-20,2.60744720372512,0.85,"ili perc","quantile"
"US National",2016-01-23,4,2016-02-20,2.78710349405351,0.9,"ili perc","quantile"
"US National",2016-01-23,4,2016-02-20,3.19321605893793,0.95,"ili perc","quantile"
"US National",2016-01-23,4,2016-02-20,3.22932193757644,0.975,"ili perc","quantile"
"US National",2016-01-23,4,2016-02-20,3.38256723266288,0.99,"ili perc","quantile"
