"location","origin_date","horizon","target_end_date","value","output_type_id","target","output_type"
"US National",2015-12-19,4,2016-01-16,0.604752611127585,0.01,"ili perc","quantile"
"US National",2015-12-19,4,2016-01-16,0.84064645811873,0.025,"ili perc","quantile"
"US National",2015-12-19,4,2016-01-16,1.06473443996137,0.05,"ili perc","quantile"
"US National",2015-12-19,4,2016-01-16,1.30490319737096,0.1,"ili perc","quantile"
"US National",2015-12-19,4,2016-01-16,1.4209856545765,0.15,"ili perc","quantile"
"US National",2015-12-19,4,2016-01-16,1.49329178624047,0.2,"ili perc","quantile"
"US National",2015-12-19,4,2016-01-16,1.57515511654234,0.25,"ili perc","quantile"
"US National",2015-12-19,4,2016-01-16,1.60991350808964,0.3,"ili perc","quantile"
"US National",2015-12-19,4,2016-01-16,1.65101629412576,0.35,"ili perc","quantile"
"US National",2015-12-19,4,2016-01-16,1.73208289535122,0.4,"ili perc","quantile"
"US National",2015-12-19,4,2016-01-16,1.85530369975017,0.45,"ili perc","quantile"
"US National",2015-12-19,4,2016-01-16,1.8837780869638,0.5,"ili perc","quantile"
"US National",2015-12-19,4,2016-01-16,1.95386885144354,0.55,"ili perc","quantile"
"US National",2015-12-19,4,2016-01-16,1.98934740913372,0.6,"ili perc","quantile"
"US National",2015-12-19,4,2016-01-16,2.11621447146052,0.65,"ili perc","quantile"
"US National",2015-12-19,4,2016-01-16,2.17399964068052,0.7,"ili perc","quantile"
"US National",2015-12-19,4,2016-01-16,2.36657296775135,0.75,"ili perc","quantile"
"US National",2015-12-19,4,2016-01-16,2.46515322546359,0.8,"ili perc","quantile"
"US National",2015-12-19,4,2016-01-16,2.56498893942469,0.85,"ili perc","quantile"
"US National",2015-12-19,4,2016-01-16,2.73480842750536,0.9,"ili perc","quantile"
"US National",2015-12-19,4,2016-01-16,2.98012829302945,0.95,"ili perc","quantile"
"US National",2015-12-19,4,2016-01-16,4.04748892931086,0.975,"ili perc","quantile"
"US National",2015-12-19,4,2016-01-16,4.67110643638652,0.99,"ili perc","quantile"
