"origin_date","location","target","horizon","target_end_date","output_type","output_type_id","value"
2018-12-08,"US National","ili perc",1,2018-12-15,"quantile",0.01,1.8507833074130167
2018-12-08,"US National","ili perc",1,2018-12-15,"quantile",0.025,1.905115823812865
2018-12-08,"US National","ili perc",1,2018-12-15,"quantile",0.05,1.956913281689142
2018-12-08,"US National","ili perc",1,2018-12-15,"quantile",0.1,2.020580235445065
2018-12-08,"US National","ili perc",1,2018-12-15,"quantile",0.15,2.0726177488742206
2018-12-08,"US National","ili perc",1,2018-12-15,"quantile",0.2,2.1060952769153674
2018-12-08,"US National","ili perc",1,2018-12-15,"quantile",0.25,2.1345161082815887
2018-12-08,"US National","ili perc",1,2018-12-15,"quantile",0.3,2.159483716396251
2018-12-08,"US National","ili perc",1,2018-12-15,"quantile",0.35,2.1814133609936777
2018-12-08,"US National","ili perc",1,2018-12-15,"quantile",0.4,2.2047224398931746
2018-12-08,"US National","ili perc",1,2018-12-15,"quantile",0.45,2.226300021080615
2018-12-08,"US National","ili perc",1,2018-12-15,"quantile",0.5,2.249220658986694
2018-12-08,"US National","ili perc",1,2018-12-15,"quantile",0.55,2.2725552419907196
2018-12-08,"US National","ili perc",1,2018-12-15,"quantile",0.6,2.296255252401458
2018-12-08,"US National","ili perc",1,2018-12-15,"quantile",0.65,2.3174917322079573
2018-12-08,"US National","ili perc",1,2018-12-15,"quantile",0.7,2.3420788689708414
2018-12-08,"US National","ili perc",1,2018-12-15,"quantile",0.75,2.369797657123053
2018-12-08,"US National","ili perc",1,2018-12-15,"quantile",0.8,2.4012595073746734
2018-12-08,"US National","ili perc",1,2018-12-15,"quantile",0.85,2.439027752641011
2018-12-08,"US National","ili perc",1,2018-12-15,"quantile",0.9,2.4806607875581577
2018-12-08,"US National","ili perc",1,2018-12-15,"quantile",0.95,2.5572310293251386
2018-12-08,"US National","ili perc",1,2018-12-15,"quantile",0.975,2.612987338926836
2018-12-08,"US National","ili perc",1,2018-12-15,"quantile",0.99,2.6816004779227507
2018-12-08,"US National","ili perc",2,2018-12-22,"quantile",0.01,1.5857547867039479
2018-12-08,"US National","ili perc",2,2018-12-22,"quantile",0.025,1.6766361072672042
2018-12-08,"US National","ili perc",2,2018-12-22,"quantile",0.05,1.7677117069904522
2018-12-08,"US National","ili perc",2,2018-12-22,"quantile",0.1,1.8523457219124577
2018-12-08,"US National","ili perc",2,2018-12-22,"quantile",0.15,1.9402631211822712
2018-12-08,"US National","ili perc",2,2018-12-22,"quantile",0.2,2.009442020381837
2018-12-08,"US National","ili perc",2,2018-12-22,"quantile",0.25,2.0710402114988287
2018-12-08,"US National","ili perc",2,2018-12-22,"quantile",0.3,2.1089082219424733
2018-12-08,"US National","ili perc",2,2018-12-22,"quantile",0.35,2.154957221274784
2018-12-08,"US National","ili perc",2,2018-12-22,"quantile",0.4,2.20105489659326
2018-12-08,"US National","ili perc",2,2018-12-22,"quantile",0.45,2.2474322134614275
2018-12-08,"US National","ili perc",2,2018-12-22,"quantile",0.5,2.2872793044802195
2018-12-08,"US National","ili perc",2,2018-12-22,"quantile",0.55,2.3330152614534163
2018-12-08,"US National","ili perc",2,2018-12-22,"quantile",0.6,2.3924008948045943
2018-12-08,"US National","ili perc",2,2018-12-22,"quantile",0.65,2.4412965783752387
2018-12-08,"US National","ili perc",2,2018-12-22,"quantile",0.7,2.478521431865779
2018-12-08,"US National","ili perc",2,2018-12-22,"quantile",0.75,2.539309205188216
2018-12-08,"US National","ili perc",2,2018-12-22,"quantile",0.8,2.5979028145160012
2018-12-08,"US National","ili perc",2,2018-12-22,"quantile",0.85,2.659205332676281
2018-12-08,"US National","ili perc",2,2018-12-22,"quantile",0.9,2.7575302674582294
2018-12-08,"US National","ili perc",2,2018-12-22,"quantile",0.95,2.915059123182102
2018-12-08,"US National","ili perc",2,2018-12-22,"quantile",0.975,3.084746969813131
2018-12-08,"US National","ili perc",2,2018-12-22,"quantile",0.99,3.206860009948617
2018-12-08,"US National","ili perc",3,2018-12-29,"quantile",0.01,1.3864302066352596
2018-12-08,"US National","ili perc",3,2018-12-29,"quantile",0.025,1.5009797941825247
2018-12-08,"US National","ili perc",3,2018-12-29,"quantile",0.05,1.5897770750331606
2018-12-08,"US National","ili perc",3,2018-12-29,"quantile",0.1,1.728920735849062
2018-12-08,"US National","ili perc",3,2018-12-29,"quantile",0.15,1.8381395204022535
2018-12-08,"US National","ili perc",3,2018-12-29,"quantile",0.2,1.9208786637826853
2018-12-08,"US National","ili perc",3,2018-12-29,"quantile",0.25,1.9947799788923744
2018-12-08,"US National","ili perc",3,2018-12-29,"quantile",0.3,2.0688830281334054
2018-12-08,"US National","ili perc",3,2018-12-29,"quantile",0.35,2.1375653020409526
2018-12-08,"US National","ili perc",3,2018-12-29,"quantile",0.4,2.2061005013739554
2018-12-08,"US National","ili perc",3,2018-12-29,"quantile",0.45,2.26747340981579
2018-12-08,"US National","ili perc",3,2018-12-29,"quantile",0.5,2.3216075935938143
2018-12-08,"US National","ili perc",3,2018-12-29,"quantile",0.55,2.389857451358295
2018-12-08,"US National","ili perc",3,2018-12-29,"quantile",0.6,2.4612494939068905
2018-12-08,"US National","ili perc",3,2018-12-29,"quantile",0.65,2.5361611938599564
2018-12-08,"US National","ili perc",3,2018-12-29,"quantile",0.7,2.6018946705607844
2018-12-08,"US National","ili perc",3,2018-12-29,"quantile",0.75,2.7009747492342355
2018-12-08,"US National","ili perc",3,2018-12-29,"quantile",0.8,2.7937391128994196
2018-12-08,"US National","ili perc",3,2018-12-29,"quantile",0.85,2.914804262512733
2018-12-08,"US National","ili perc",3,2018-12-29,"quantile",0.9,3.0610543964380463
2018-12-08,"US National","ili perc",3,2018-12-29,"quantile",0.95,3.281816969140517
2018-12-08,"US National","ili perc",3,2018-12-29,"quantile",0.975,3.466288292049395
2018-12-08,"US National","ili perc",3,2018-12-29,"quantile",0.99,3.705357070846569
2018-12-08,"US National","ili perc",4,2019-01-05,"quantile",0.01,1.19794944819284
2018-12-08,"US National","ili perc",4,2019-01-05,"quantile",0.025,1.2952954924094147
2018-12-08,"US National","ili perc",4,2019-01-05,"quantile",0.05,1.407689160340774
2018-12-08,"US National","ili perc",4,2019-01-05,"quantile",0.1,1.6184231419407598
2018-12-08,"US National","ili perc",4,2019-01-05,"quantile",0.15,1.7409280444419923
2018-12-08,"US National","ili perc",4,2019-01-05,"quantile",0.2,1.841026076958088
2018-12-08,"US National","ili perc",4,2019-01-05,"quantile",0.25,1.9257280814024753
2018-12-08,"US National","ili perc",4,2019-01-05,"quantile",0.3,1.9998720974297028
2018-12-08,"US National","ili perc",4,2019-01-05,"quantile",0.35,2.092438530406213
2018-12-08,"US National","ili perc",4,2019-01-05,"quantile",0.4,2.1670392763581927
2018-12-08,"US National","ili perc",4,2019-01-05,"quantile",0.45,2.2450956956018056
2018-12-08,"US National","ili perc",4,2019-01-05,"quantile",0.5,2.32949466588693
2018-12-08,"US National","ili perc",4,2019-01-05,"quantile",0.55,2.4067342163670253
2018-12-08,"US National","ili perc",4,2019-01-05,"quantile",0.6,2.51300481968452
2018-12-08,"US National","ili perc",4,2019-01-05,"quantile",0.65,2.5975438356520697
2018-12-08,"US National","ili perc",4,2019-01-05,"quantile",0.7,2.685095567398269
2018-12-08,"US National","ili perc",4,2019-01-05,"quantile",0.75,2.8148455145252127
2018-12-08,"US National","ili perc",4,2019-01-05,"quantile",0.8,2.924378466297673
2018-12-08,"US National","ili perc",4,2019-01-05,"quantile",0.85,3.0846046791253015
2018-12-08,"US National","ili perc",4,2019-01-05,"quantile",0.9,3.305344773718633
2018-12-08,"US National","ili perc",4,2019-01-05,"quantile",0.95,3.589621960544281
2018-12-08,"US National","ili perc",4,2019-01-05,"quantile",0.975,3.8569212802150856
2018-12-08,"US National","ili perc",4,2019-01-05,"quantile",0.99,4.0690236774455
2018-12-08,"HHS Region 1","ili perc",1,2018-12-15,"quantile",0.01,1.406341290664349
2018-12-08,"HHS Region 1","ili perc",1,2018-12-15,"quantile",0.025,1.4715282769625413
2018-12-08,"HHS Region 1","ili perc",1,2018-12-15,"quantile",0.05,1.5609264791862913
2018-12-08,"HHS Region 1","ili perc",1,2018-12-15,"quantile",0.1,1.6626517822010896
2018-12-08,"HHS Region 1","ili perc",1,2018-12-15,"quantile",0.15,1.7245388365876824
2018-12-08,"HHS Region 1","ili perc",1,2018-12-15,"quantile",0.2,1.78425792211719
2018-12-08,"HHS Region 1","ili perc",1,2018-12-15,"quantile",0.25,1.8354621617755722
2018-12-08,"HHS Region 1","ili perc",1,2018-12-15,"quantile",0.3,1.8808105582266852
2018-12-08,"HHS Region 1","ili perc",1,2018-12-15,"quantile",0.35,1.9268624133325793
2018-12-08,"HHS Region 1","ili perc",1,2018-12-15,"quantile",0.4,1.9715975479356094
2018-12-08,"HHS Region 1","ili perc",1,2018-12-15,"quantile",0.45,2.009880330912759
2018-12-08,"HHS Region 1","ili perc",1,2018-12-15,"quantile",0.5,2.0544859593672804
2018-12-08,"HHS Region 1","ili perc",1,2018-12-15,"quantile",0.55,2.1037865946625054
2018-12-08,"HHS Region 1","ili perc",1,2018-12-15,"quantile",0.6,2.1489757314578295
2018-12-08,"HHS Region 1","ili perc",1,2018-12-15,"quantile",0.65,2.204547597493316
2018-12-08,"HHS Region 1","ili perc",1,2018-12-15,"quantile",0.7,2.246005613356585
2018-12-08,"HHS Region 1","ili perc",1,2018-12-15,"quantile",0.75,2.3067514647741527
2018-12-08,"HHS Region 1","ili perc",1,2018-12-15,"quantile",0.8,2.3737163778317294
2018-12-08,"HHS Region 1","ili perc",1,2018-12-15,"quantile",0.85,2.4864153301088616
2018-12-08,"HHS Region 1","ili perc",1,2018-12-15,"quantile",0.9,2.5817949231254973
2018-12-08,"HHS Region 1","ili perc",1,2018-12-15,"quantile",0.95,2.752862542048764
2018-12-08,"HHS Region 1","ili perc",1,2018-12-15,"quantile",0.975,2.876334565860872
2018-12-08,"HHS Region 1","ili perc",1,2018-12-15,"quantile",0.99,3.0670304578835226
2018-12-08,"HHS Region 1","ili perc",2,2018-12-22,"quantile",0.01,1.2236678425872094
2018-12-08,"HHS Region 1","ili perc",2,2018-12-22,"quantile",0.025,1.3127458284431683
2018-12-08,"HHS Region 1","ili perc",2,2018-12-22,"quantile",0.05,1.4315411335903734
2018-12-08,"HHS Region 1","ili perc",2,2018-12-22,"quantile",0.1,1.5472190060008342
2018-12-08,"HHS Region 1","ili perc",2,2018-12-22,"quantile",0.15,1.6410426148285346
2018-12-08,"HHS Region 1","ili perc",2,2018-12-22,"quantile",0.2,1.7193190563801757
2018-12-08,"HHS Region 1","ili perc",2,2018-12-22,"quantile",0.25,1.7879403840644343
2018-12-08,"HHS Region 1","ili perc",2,2018-12-22,"quantile",0.3,1.857930824052538
2018-12-08,"HHS Region 1","ili perc",2,2018-12-22,"quantile",0.35,1.9194261945237423
2018-12-08,"HHS Region 1","ili perc",2,2018-12-22,"quantile",0.4,1.9769077670559343
2018-12-08,"HHS Region 1","ili perc",2,2018-12-22,"quantile",0.45,2.0282891330933763
2018-12-08,"HHS Region 1","ili perc",2,2018-12-22,"quantile",0.5,2.0987130615724556
2018-12-08,"HHS Region 1","ili perc",2,2018-12-22,"quantile",0.55,2.1578772100265615
2018-12-08,"HHS Region 1","ili perc",2,2018-12-22,"quantile",0.6,2.215220273517905
2018-12-08,"HHS Region 1","ili perc",2,2018-12-22,"quantile",0.65,2.297808088883432
2018-12-08,"HHS Region 1","ili perc",2,2018-12-22,"quantile",0.7,2.364425806688703
2018-12-08,"HHS Region 1","ili perc",2,2018-12-22,"quantile",0.75,2.4540119425660167
2018-12-08,"HHS Region 1","ili perc",2,2018-12-22,"quantile",0.8,2.54483093228627
2018-12-08,"HHS Region 1","ili perc",2,2018-12-22,"quantile",0.85,2.65970687551844
2018-12-08,"HHS Region 1","ili perc",2,2018-12-22,"quantile",0.9,2.79760000760439
2018-12-08,"HHS Region 1","ili perc",2,2018-12-22,"quantile",0.95,3.0454613188147106
2018-12-08,"HHS Region 1","ili perc",2,2018-12-22,"quantile",0.975,3.2278419693676956
2018-12-08,"HHS Region 1","ili perc",2,2018-12-22,"quantile",0.99,3.5477575417108667
2018-12-08,"HHS Region 1","ili perc",3,2018-12-29,"quantile",0.01,1.02766531449697
2018-12-08,"HHS Region 1","ili perc",3,2018-12-29,"quantile",0.025,1.1659055623240364
2018-12-08,"HHS Region 1","ili perc",3,2018-12-29,"quantile",0.05,1.3418256262154915
2018-12-08,"HHS Region 1","ili perc",3,2018-12-29,"quantile",0.1,1.5097164357894044
2018-12-08,"HHS Region 1","ili perc",3,2018-12-29,"quantile",0.15,1.6228664283540515
2018-12-08,"HHS Region 1","ili perc",3,2018-12-29,"quantile",0.2,1.7389724919292986
2018-12-08,"HHS Region 1","ili perc",3,2018-12-29,"quantile",0.25,1.8170949640365661
2018-12-08,"HHS Region 1","ili perc",3,2018-12-29,"quantile",0.3,1.9002906038872105
2018-12-08,"HHS Region 1","ili perc",3,2018-12-29,"quantile",0.35,2.0146465514565315
2018-12-08,"HHS Region 1","ili perc",3,2018-12-29,"quantile",0.4,2.091068415276384
2018-12-08,"HHS Region 1","ili perc",3,2018-12-29,"quantile",0.45,2.1712313844058073
2018-12-08,"HHS Region 1","ili perc",3,2018-12-29,"quantile",0.5,2.24850110462777
2018-12-08,"HHS Region 1","ili perc",3,2018-12-29,"quantile",0.55,2.3441064252618493
2018-12-08,"HHS Region 1","ili perc",3,2018-12-29,"quantile",0.6,2.4422160941419926
2018-12-08,"HHS Region 1","ili perc",3,2018-12-29,"quantile",0.65,2.522713485232637
2018-12-08,"HHS Region 1","ili perc",3,2018-12-29,"quantile",0.7,2.6245052397338817
2018-12-08,"HHS Region 1","ili perc",3,2018-12-29,"quantile",0.75,2.720452755035514
2018-12-08,"HHS Region 1","ili perc",3,2018-12-29,"quantile",0.8,2.833247395893498
2018-12-08,"HHS Region 1","ili perc",3,2018-12-29,"quantile",0.85,2.961840310253627
2018-12-08,"HHS Region 1","ili perc",3,2018-12-29,"quantile",0.9,3.1957703712918932
2018-12-08,"HHS Region 1","ili perc",3,2018-12-29,"quantile",0.95,3.469201367841506
2018-12-08,"HHS Region 1","ili perc",3,2018-12-29,"quantile",0.975,3.670233104730821
2018-12-08,"HHS Region 1","ili perc",3,2018-12-29,"quantile",0.99,4.001596293334115
2018-12-08,"HHS Region 1","ili perc",4,2019-01-05,"quantile",0.01,0.9603446109006153
2018-12-08,"HHS Region 1","ili perc",4,2019-01-05,"quantile",0.025,1.0595127975433942
2018-12-08,"HHS Region 1","ili perc",4,2019-01-05,"quantile",0.05,1.202368111790932
2018-12-08,"HHS Region 1","ili perc",4,2019-01-05,"quantile",0.1,1.3980104744362347
