"origin_date","location","target","horizon","target_end_date","output_type","output_type_id","value"
2017-04-08,"US National","ili perc",1,2017-04-15,"quantile",0.01,1.9243763369468487
2017-04-08,"US National","ili perc",1,2017-04-15,"quantile",0.025,1.97059594766127
2017-04-08,"US National","ili perc",1,2017-04-15,"quantile",0.05,2.020301098104988
2017-04-08,"US National","ili perc",1,2017-04-15,"quantile",0.1,2.071564377651035
2017-04-08,"US National","ili perc",1,2017-04-15,"quantile",0.15,2.1117477290345095
2017-04-08,"US National","ili perc",1,2017-04-15,"quantile",0.2,2.151212364819463
2017-04-08,"US National","ili perc",1,2017-04-15,"quantile",0.25,2.180414684753201
2017-04-08,"US National","ili perc",1,2017-04-15,"quantile",0.3,2.202762820853241
2017-04-08,"US National","ili perc",1,2017-04-15,"quantile",0.35,2.2285232850388534
2017-04-08,"US National","ili perc",1,2017-04-15,"quantile",0.4,2.2604265581268095
2017-04-08,"US National","ili perc",1,2017-04-15,"quantile",0.45,2.279673769195598
2017-04-08,"US National","ili perc",1,2017-04-15,"quantile",0.5,2.3085861271408086
2017-04-08,"US National","ili perc",1,2017-04-15,"quantile",0.55,2.3335512592929235
2017-04-08,"US National","ili perc",1,2017-04-15,"quantile",0.6,2.3598581667840755
2017-04-08,"US National","ili perc",1,2017-04-15,"quantile",0.65,2.3819051591703224
2017-04-08,"US National","ili perc",1,2017-04-15,"quantile",0.7,2.409076545535502
2017-04-08,"US National","ili perc",1,2017-04-15,"quantile",0.75,2.433262751119623
2017-04-08,"US National","ili perc",1,2017-04-15,"quantile",0.8,2.460643090511393
2017-04-08,"US National","ili perc",1,2017-04-15,"quantile",0.85,2.487916323696827
2017-04-08,"US National","ili perc",1,2017-04-15,"quantile",0.9,2.532345966262653
2017-04-08,"US National","ili perc",1,2017-04-15,"quantile",0.95,2.5989449015179784
2017-04-08,"US National","ili perc",1,2017-04-15,"quantile",0.975,2.6654548993083877
2017-04-08,"US National","ili perc",1,2017-04-15,"quantile",0.99,2.736869199706109
2017-04-08,"US National","ili perc",2,2017-04-22,"quantile",0.01,1.5126706938313994
2017-04-08,"US National","ili perc",2,2017-04-22,"quantile",0.025,1.5669705131831648
2017-04-08,"US National","ili perc",2,2017-04-22,"quantile",0.05,1.6464885387025794
2017-04-08,"US National","ili perc",2,2017-04-22,"quantile",0.1,1.7365553840519357
2017-04-08,"US National","ili perc",2,2017-04-22,"quantile",0.15,1.7929490888056439
2017-04-08,"US National","ili perc",2,2017-04-22,"quantile",0.2,1.8473030365441532
2017-04-08,"US National","ili perc",2,2017-04-22,"quantile",0.25,1.8998849018994186
2017-04-08,"US National","ili perc",2,2017-04-22,"quantile",0.3,1.9577754178149673
2017-04-08,"US National","ili perc",2,2017-04-22,"quantile",0.35,1.9936254560628757
2017-04-08,"US National","ili perc",2,2017-04-22,"quantile",0.4,2.0367715194965696
2017-04-08,"US National","ili perc",2,2017-04-22,"quantile",0.45,2.070306019602923
2017-04-08,"US National","ili perc",2,2017-04-22,"quantile",0.5,2.096033780044796
2017-04-08,"US National","ili perc",2,2017-04-22,"quantile",0.55,2.1380521644803268
2017-04-08,"US National","ili perc",2,2017-04-22,"quantile",0.6,2.1702674981283487
2017-04-08,"US National","ili perc",2,2017-04-22,"quantile",0.65,2.216076378629769
2017-04-08,"US National","ili perc",2,2017-04-22,"quantile",0.7,2.2541272612194247
2017-04-08,"US National","ili perc",2,2017-04-22,"quantile",0.75,2.2967339924707884
2017-04-08,"US National","ili perc",2,2017-04-22,"quantile",0.8,2.34009641085152
2017-04-08,"US National","ili perc",2,2017-04-22,"quantile",0.85,2.397181216226244
2017-04-08,"US National","ili perc",2,2017-04-22,"quantile",0.9,2.4709179824176033
2017-04-08,"US National","ili perc",2,2017-04-22,"quantile",0.95,2.561759201021636
2017-04-08,"US National","ili perc",2,2017-04-22,"quantile",0.975,2.648355915306851
2017-04-08,"US National","ili perc",2,2017-04-22,"quantile",0.99,2.7230035596100235
2017-04-08,"US National","ili perc",3,2017-04-29,"quantile",0.01,1.2128563784498427
2017-04-08,"US National","ili perc",3,2017-04-29,"quantile",0.025,1.2791737451767087
2017-04-08,"US National","ili perc",3,2017-04-29,"quantile",0.05,1.373956099658562
2017-04-08,"US National","ili perc",3,2017-04-29,"quantile",0.1,1.4825409422596105
2017-04-08,"US National","ili perc",3,2017-04-29,"quantile",0.15,1.5573234230308144
2017-04-08,"US National","ili perc",3,2017-04-29,"quantile",0.2,1.6277102616221562
2017-04-08,"US National","ili perc",3,2017-04-29,"quantile",0.25,1.6886113076862483
2017-04-08,"US National","ili perc",3,2017-04-29,"quantile",0.3,1.7539760233245263
2017-04-08,"US National","ili perc",3,2017-04-29,"quantile",0.35,1.8059786337899335
2017-04-08,"US National","ili perc",3,2017-04-29,"quantile",0.4,1.851189164606695
2017-04-08,"US National","ili perc",3,2017-04-29,"quantile",0.45,1.8989099449168396
2017-04-08,"US National","ili perc",3,2017-04-29,"quantile",0.5,1.95164465204711
2017-04-08,"US National","ili perc",3,2017-04-29,"quantile",0.55,1.9938596702348155
2017-04-08,"US National","ili perc",3,2017-04-29,"quantile",0.6,2.0326250019924874
2017-04-08,"US National","ili perc",3,2017-04-29,"quantile",0.65,2.0769663439578276
2017-04-08,"US National","ili perc",3,2017-04-29,"quantile",0.7,2.1238669047345633
2017-04-08,"US National","ili perc",3,2017-04-29,"quantile",0.75,2.186762701529542
2017-04-08,"US National","ili perc",3,2017-04-29,"quantile",0.8,2.255358985871158
2017-04-08,"US National","ili perc",3,2017-04-29,"quantile",0.85,2.314709531884371
2017-04-08,"US National","ili perc",3,2017-04-29,"quantile",0.9,2.4030327993763327
2017-04-08,"US National","ili perc",3,2017-04-29,"quantile",0.95,2.522019494826761
2017-04-08,"US National","ili perc",3,2017-04-29,"quantile",0.975,2.5980389151121517
2017-04-08,"US National","ili perc",3,2017-04-29,"quantile",0.99,2.7342744609048055
2017-04-08,"US National","ili perc",4,2017-05-06,"quantile",0.01,0.990575686868222
2017-04-08,"US National","ili perc",4,2017-05-06,"quantile",0.025,1.0653980917183565
2017-04-08,"US National","ili perc",4,2017-05-06,"quantile",0.05,1.1622380846602278
2017-04-08,"US National","ili perc",4,2017-05-06,"quantile",0.1,1.2838289981304944
2017-04-08,"US National","ili perc",4,2017-05-06,"quantile",0.15,1.3773186143074603
2017-04-08,"US National","ili perc",4,2017-05-06,"quantile",0.2,1.450744506198712
2017-04-08,"US National","ili perc",4,2017-05-06,"quantile",0.25,1.5172432289758249
2017-04-08,"US National","ili perc",4,2017-05-06,"quantile",0.3,1.5781323074666695
2017-04-08,"US National","ili perc",4,2017-05-06,"quantile",0.35,1.6366610814985056
2017-04-08,"US National","ili perc",4,2017-05-06,"quantile",0.4,1.6917636708541235
2017-04-08,"US National","ili perc",4,2017-05-06,"quantile",0.45,1.7433972216875089
2017-04-08,"US National","ili perc",4,2017-05-06,"quantile",0.5,1.783619381943331
2017-04-08,"US National","ili perc",4,2017-05-06,"quantile",0.55,1.8405238405376152
2017-04-08,"US National","ili perc",4,2017-05-06,"quantile",0.6,1.8957710861903663
2017-04-08,"US National","ili perc",4,2017-05-06,"quantile",0.65,1.9539778459331245
2017-04-08,"US National","ili perc",4,2017-05-06,"quantile",0.7,2.0051565872364345
2017-04-08,"US National","ili perc",4,2017-05-06,"quantile",0.75,2.076082459724093
2017-04-08,"US National","ili perc",4,2017-05-06,"quantile",0.8,2.1415797024927907
2017-04-08,"US National","ili perc",4,2017-05-06,"quantile",0.85,2.235929173894493
2017-04-08,"US National","ili perc",4,2017-05-06,"quantile",0.9,2.3342833197703583
2017-04-08,"US National","ili perc",4,2017-05-06,"quantile",0.95,2.480759924148149
2017-04-08,"US National","ili perc",4,2017-05-06,"quantile",0.975,2.606739091836923
2017-04-08,"US National","ili perc",4,2017-05-06,"quantile",0.99,2.8388927638545267
2017-04-08,"HHS Region 1","ili perc",1,2017-04-15,"quantile",0.01,1.3474922596378258
2017-04-08,"HHS Region 1","ili perc",1,2017-04-15,"quantile",0.025,1.4203380905599896
2017-04-08,"HHS Region 1","ili perc",1,2017-04-15,"quantile",0.05,1.4616826286912676
2017-04-08,"HHS Region 1","ili perc",1,2017-04-15,"quantile",0.1,1.536812187194124
2017-04-08,"HHS Region 1","ili perc",1,2017-04-15,"quantile",0.15,1.5895951013942817
2017-04-08,"HHS Region 1","ili perc",1,2017-04-15,"quantile",0.2,1.6346892630043797
2017-04-08,"HHS Region 1","ili perc",1,2017-04-15,"quantile",0.25,1.6804309613226518
2017-04-08,"HHS Region 1","ili perc",1,2017-04-15,"quantile",0.3,1.718822659626115
2017-04-08,"HHS Region 1","ili perc",1,2017-04-15,"quantile",0.35,1.7516490467404675
2017-04-08,"HHS Region 1","ili perc",1,2017-04-15,"quantile",0.4,1.7787861240949596
2017-04-08,"HHS Region 1","ili perc",1,2017-04-15,"quantile",0.45,1.7987736201885818
2017-04-08,"HHS Region 1","ili perc",1,2017-04-15,"quantile",0.5,1.8285761196708388
2017-04-08,"HHS Region 1","ili perc",1,2017-04-15,"quantile",0.55,1.8531786551478628
2017-04-08,"HHS Region 1","ili perc",1,2017-04-15,"quantile",0.6,1.8810029348323518
2017-04-08,"HHS Region 1","ili perc",1,2017-04-15,"quantile",0.65,1.9059913109385878
2017-04-08,"HHS Region 1","ili perc",1,2017-04-15,"quantile",0.7,1.936840258900844
2017-04-08,"HHS Region 1","ili perc",1,2017-04-15,"quantile",0.75,1.985299556982506
2017-04-08,"HHS Region 1","ili perc",1,2017-04-15,"quantile",0.8,2.038389299166892
2017-04-08,"HHS Region 1","ili perc",1,2017-04-15,"quantile",0.85,2.0915776306056593
2017-04-08,"HHS Region 1","ili perc",1,2017-04-15,"quantile",0.9,2.1478619229417197
2017-04-08,"HHS Region 1","ili perc",1,2017-04-15,"quantile",0.95,2.2545665881582444
2017-04-08,"HHS Region 1","ili perc",1,2017-04-15,"quantile",0.975,2.337004403977948
2017-04-08,"HHS Region 1","ili perc",1,2017-04-15,"quantile",0.99,2.4456808985610734
2017-04-08,"HHS Region 1","ili perc",2,2017-04-22,"quantile",0.01,1.118978435411979
2017-04-08,"HHS Region 1","ili perc",2,2017-04-22,"quantile",0.025,1.2300668914316346
2017-04-08,"HHS Region 1","ili perc",2,2017-04-22,"quantile",0.05,1.3279317982977619
2017-04-08,"HHS Region 1","ili perc",2,2017-04-22,"quantile",0.1,1.4210503167162816
2017-04-08,"HHS Region 1","ili perc",2,2017-04-22,"quantile",0.15,1.4941887547320878
2017-04-08,"HHS Region 1","ili perc",2,2017-04-22,"quantile",0.2,1.5295024742342953
2017-04-08,"HHS Region 1","ili perc",2,2017-04-22,"quantile",0.25,1.5729402484314272
2017-04-08,"HHS Region 1","ili perc",2,2017-04-22,"quantile",0.3,1.6187354520964603
2017-04-08,"HHS Region 1","ili perc",2,2017-04-22,"quantile",0.35,1.6682799516713516
2017-04-08,"HHS Region 1","ili perc",2,2017-04-22,"quantile",0.4,1.705173655206761
2017-04-08,"HHS Region 1","ili perc",2,2017-04-22,"quantile",0.45,1.744265489370745
2017-04-08,"HHS Region 1","ili perc",2,2017-04-22,"quantile",0.5,1.7767116698415666
2017-04-08,"HHS Region 1","ili perc",2,2017-04-22,"quantile",0.55,1.8239668998959369
2017-04-08,"HHS Region 1","ili perc",2,2017-04-22,"quantile",0.6,1.8603711399762697
2017-04-08,"HHS Region 1","ili perc",2,2017-04-22,"quantile",0.65,1.897687812956224
2017-04-08,"HHS Region 1","ili perc",2,2017-04-22,"quantile",0.7,1.949407471521787
2017-04-08,"HHS Region 1","ili perc",2,2017-04-22,"quantile",0.75,1.9973710765441501
2017-04-08,"HHS Region 1","ili perc",2,2017-04-22,"quantile",0.8,2.0710412149048993
2017-04-08,"HHS Region 1","ili perc",2,2017-04-22,"quantile",0.85,2.139119666607486
2017-04-08,"HHS Region 1","ili perc",2,2017-04-22,"quantile",0.9,2.227073607363525
2017-04-08,"HHS Region 1","ili perc",2,2017-04-22,"quantile",0.95,2.3503194641193548
2017-04-08,"HHS Region 1","ili perc",2,2017-04-22,"quantile",0.975,2.4885693360544514
2017-04-08,"HHS Region 1","ili perc",2,2017-04-22,"quantile",0.99,2.6164028802907424
2017-04-08,"HHS Region 1","ili perc",3,2017-04-29,"quantile",0.01,0.9933997100434139
2017-04-08,"HHS Region 1","ili perc",3,2017-04-29,"quantile",0.025,1.0738059602776926
