"location","origin_date","horizon","target_end_date","value","output_type_id","target","output_type"
"HHS Region 1",2016-01-02,1,2016-01-09,1.56547239805906,0.01,"ili perc","quantile"
"HHS Region 1",2016-01-02,1,2016-01-09,1.59006108012435,0.025,"ili perc","quantile"
"HHS Region 1",2016-01-02,1,2016-01-09,1.60846542193874,0.05,"ili perc","quantile"
"HHS Region 1",2016-01-02,1,2016-01-09,1.66576842349362,0.1,"ili perc","quantile"
"HHS Region 1",2016-01-02,1,2016-01-09,1.73659291795831,0.15,"ili perc","quantile"
"HHS Region 1",2016-01-02,1,2016-01-09,1.79438190326671,0.2,"ili perc","quantile"
"HHS Region 1",2016-01-02,1,2016-01-09,1.80922254490713,0.25,"ili perc","quantile"
"HHS Region 1",2016-01-02,1,2016-01-09,1.82490367085493,0.3,"ili perc","quantile"
"HHS Region 1",2016-01-02,1,2016-01-09,1.84280150034365,0.35,"ili perc","quantile"
"HHS Region 1",2016-01-02,1,2016-01-09,1.85009155806188,0.4,"ili perc","quantile"
"HHS Region 1",2016-01-02,1,2016-01-09,1.86149737472022,0.45,"ili perc","quantile"
"HHS Region 1",2016-01-02,1,2016-01-09,1.87624289388599,0.5,"ili perc","quantile"
"HHS Region 1",2016-01-02,1,2016-01-09,1.89269612697315,0.55,"ili perc","quantile"
"HHS Region 1",2016-01-02,1,2016-01-09,1.92020570718577,0.6,"ili perc","quantile"
"HHS Region 1",2016-01-02,1,2016-01-09,1.93792950915781,0.65,"ili perc","quantile"
"HHS Region 1",2016-01-02,1,2016-01-09,1.95530522987704,0.7,"ili perc","quantile"
"HHS Region 1",2016-01-02,1,2016-01-09,1.9884479018294,0.75,"ili perc","quantile"
"HHS Region 1",2016-01-02,1,2016-01-09,2.01323305082382,0.8,"ili perc","quantile"
"HHS Region 1",2016-01-02,1,2016-01-09,2.03765066781992,0.85,"ili perc","quantile"
"HHS Region 1",2016-01-02,1,2016-01-09,2.090913562067,0.9,"ili perc","quantile"
"HHS Region 1",2016-01-02,1,2016-01-09,2.10779159794516,0.95,"ili perc","quantile"
"HHS Region 1",2016-01-02,1,2016-01-09,2.11921282122999,0.975,"ili perc","quantile"
"HHS Region 1",2016-01-02,1,2016-01-09,2.2519860295666,0.99,"ili perc","quantile"
"HHS Region 1",2016-01-02,2,2016-01-16,1.65655531932246,0.01,"ili perc","quantile"
"HHS Region 1",2016-01-02,2,2016-01-16,1.7104126766581,0.025,"ili perc","quantile"
"HHS Region 1",2016-01-02,2,2016-01-16,1.73485170769691,0.05,"ili perc","quantile"
"HHS Region 1",2016-01-02,2,2016-01-16,1.80319643612259,0.1,"ili perc","quantile"
"HHS Region 1",2016-01-02,2,2016-01-16,1.91788744999999,0.15,"ili perc","quantile"
"HHS Region 1",2016-01-02,2,2016-01-16,1.95085828212938,0.2,"ili perc","quantile"
"HHS Region 1",2016-01-02,2,2016-01-16,1.9800400557122,0.25,"ili perc","quantile"
"HHS Region 1",2016-01-02,2,2016-01-16,1.99761805653332,0.3,"ili perc","quantile"
"HHS Region 1",2016-01-02,2,2016-01-16,2.04998254595575,0.35,"ili perc","quantile"
"HHS Region 1",2016-01-02,2,2016-01-16,2.09501321163772,0.4,"ili perc","quantile"
"HHS Region 1",2016-01-02,2,2016-01-16,2.11065609940393,0.45,"ili perc","quantile"
"HHS Region 1",2016-01-02,2,2016-01-16,2.13710033289484,0.5,"ili perc","quantile"
"HHS Region 1",2016-01-02,2,2016-01-16,2.15582688507379,0.55,"ili perc","quantile"
"HHS Region 1",2016-01-02,2,2016-01-16,2.18289431763494,0.6,"ili perc","quantile"
"HHS Region 1",2016-01-02,2,2016-01-16,2.21213857941904,0.65,"ili perc","quantile"
"HHS Region 1",2016-01-02,2,2016-01-16,2.22397484462768,0.7,"ili perc","quantile"
"HHS Region 1",2016-01-02,2,2016-01-16,2.24782374131682,0.75,"ili perc","quantile"
"HHS Region 1",2016-01-02,2,2016-01-16,2.29788823905405,0.8,"ili perc","quantile"
"HHS Region 1",2016-01-02,2,2016-01-16,2.37465281537949,0.85,"ili perc","quantile"
"HHS Region 1",2016-01-02,2,2016-01-16,2.41651635374997,0.9,"ili perc","quantile"
"HHS Region 1",2016-01-02,2,2016-01-16,2.49361351998298,0.95,"ili perc","quantile"
"HHS Region 1",2016-01-02,2,2016-01-16,2.70062952114879,0.975,"ili perc","quantile"
"HHS Region 1",2016-01-02,2,2016-01-16,3.0188916944326,0.99,"ili perc","quantile"
"HHS Region 1",2016-01-02,3,2016-01-23,1.76171825895002,0.01,"ili perc","quantile"
"HHS Region 1",2016-01-02,3,2016-01-23,1.82941333424326,0.025,"ili perc","quantile"
"HHS Region 1",2016-01-02,3,2016-01-23,1.94587545889275,0.05,"ili perc","quantile"
"HHS Region 1",2016-01-02,3,2016-01-23,2.02470664855836,0.1,"ili perc","quantile"
"HHS Region 1",2016-01-02,3,2016-01-23,2.10991283566613,0.15,"ili perc","quantile"
"HHS Region 1",2016-01-02,3,2016-01-23,2.19670711174857,0.2,"ili perc","quantile"
"HHS Region 1",2016-01-02,3,2016-01-23,2.2455457213292,0.25,"ili perc","quantile"
"HHS Region 1",2016-01-02,3,2016-01-23,2.30936130759021,0.3,"ili perc","quantile"
"HHS Region 1",2016-01-02,3,2016-01-23,2.32605277381486,0.35,"ili perc","quantile"
"HHS Region 1",2016-01-02,3,2016-01-23,2.3419564242724,0.4,"ili perc","quantile"
"HHS Region 1",2016-01-02,3,2016-01-23,2.3658035062647,0.45,"ili perc","quantile"
"HHS Region 1",2016-01-02,3,2016-01-23,2.43580289503906,0.5,"ili perc","quantile"
"HHS Region 1",2016-01-02,3,2016-01-23,2.49325968996536,0.55,"ili perc","quantile"
"HHS Region 1",2016-01-02,3,2016-01-23,2.53435415066358,0.6,"ili perc","quantile"
"HHS Region 1",2016-01-02,3,2016-01-23,2.60321867344672,0.65,"ili perc","quantile"
