"origin_date","location","target","horizon","target_end_date","output_type","output_type_id","value"
2019-11-30,"US National","ili perc",1,2019-12-07,"quantile",0.01,3.358558816204482
2019-11-30,"US National","ili perc",1,2019-12-07,"quantile",0.025,3.431160075614738
2019-11-30,"US National","ili perc",1,2019-12-07,"quantile",0.05,3.484578054038765
2019-11-30,"US National","ili perc",1,2019-12-07,"quantile",0.1,3.5705482500584487
2019-11-30,"US National","ili perc",1,2019-12-07,"quantile",0.15,3.6240486733182786
2019-11-30,"US National","ili perc",1,2019-12-07,"quantile",0.2,3.677610523271557
2019-11-30,"US National","ili perc",1,2019-12-07,"quantile",0.25,3.7197169553552953
2019-11-30,"US National","ili perc",1,2019-12-07,"quantile",0.3,3.754903916048112
2019-11-30,"US National","ili perc",1,2019-12-07,"quantile",0.35,3.7946930904663367
2019-11-30,"US National","ili perc",1,2019-12-07,"quantile",0.4,3.8257386941563154
2019-11-30,"US National","ili perc",1,2019-12-07,"quantile",0.45,3.854146035287006
2019-11-30,"US National","ili perc",1,2019-12-07,"quantile",0.5,3.8784034135122236
2019-11-30,"US National","ili perc",1,2019-12-07,"quantile",0.55,3.9149085228317086
2019-11-30,"US National","ili perc",1,2019-12-07,"quantile",0.6,3.943175692424456
2019-11-30,"US National","ili perc",1,2019-12-07,"quantile",0.65,3.9864043672953065
2019-11-30,"US National","ili perc",1,2019-12-07,"quantile",0.7,4.019667282398702
2019-11-30,"US National","ili perc",1,2019-12-07,"quantile",0.75,4.054611603539342
2019-11-30,"US National","ili perc",1,2019-12-07,"quantile",0.8,4.0975652206555635
2019-11-30,"US National","ili perc",1,2019-12-07,"quantile",0.85,4.14565573501913
2019-11-30,"US National","ili perc",1,2019-12-07,"quantile",0.9,4.207443963942571
2019-11-30,"US National","ili perc",1,2019-12-07,"quantile",0.95,4.320109864939767
2019-11-30,"US National","ili perc",1,2019-12-07,"quantile",0.975,4.38797596696916
2019-11-30,"US National","ili perc",1,2019-12-07,"quantile",0.99,4.499216809530628
2019-11-30,"US National","ili perc",2,2019-12-14,"quantile",0.01,3.126079718767175
2019-11-30,"US National","ili perc",2,2019-12-14,"quantile",0.025,3.261268167029038
2019-11-30,"US National","ili perc",2,2019-12-14,"quantile",0.05,3.3695654424591446
2019-11-30,"US National","ili perc",2,2019-12-14,"quantile",0.1,3.5035181853379513
2019-11-30,"US National","ili perc",2,2019-12-14,"quantile",0.15,3.6106128263215966
2019-11-30,"US National","ili perc",2,2019-12-14,"quantile",0.2,3.726987386817949
2019-11-30,"US National","ili perc",2,2019-12-14,"quantile",0.25,3.7977298895019507
2019-11-30,"US National","ili perc",2,2019-12-14,"quantile",0.3,3.8559859245927135
2019-11-30,"US National","ili perc",2,2019-12-14,"quantile",0.35,3.9151849459218835
2019-11-30,"US National","ili perc",2,2019-12-14,"quantile",0.4,3.978833810477611
2019-11-30,"US National","ili perc",2,2019-12-14,"quantile",0.45,4.044924355636046
2019-11-30,"US National","ili perc",2,2019-12-14,"quantile",0.5,4.111306318656681
2019-11-30,"US National","ili perc",2,2019-12-14,"quantile",0.55,4.181088917283859
2019-11-30,"US National","ili perc",2,2019-12-14,"quantile",0.6,4.24789757039878
2019-11-30,"US National","ili perc",2,2019-12-14,"quantile",0.65,4.317438651050258
2019-11-30,"US National","ili perc",2,2019-12-14,"quantile",0.7,4.38769407422431
2019-11-30,"US National","ili perc",2,2019-12-14,"quantile",0.75,4.4604353943662005
2019-11-30,"US National","ili perc",2,2019-12-14,"quantile",0.8,4.538163266051316
2019-11-30,"US National","ili perc",2,2019-12-14,"quantile",0.85,4.652932783584238
2019-11-30,"US National","ili perc",2,2019-12-14,"quantile",0.9,4.798283705203068
2019-11-30,"US National","ili perc",2,2019-12-14,"quantile",0.95,4.968137145699906
2019-11-30,"US National","ili perc",2,2019-12-14,"quantile",0.975,5.153091327775208
2019-11-30,"US National","ili perc",2,2019-12-14,"quantile",0.99,5.403674704482554
2019-11-30,"US National","ili perc",3,2019-12-21,"quantile",0.01,2.8997891363428407
2019-11-30,"US National","ili perc",3,2019-12-21,"quantile",0.025,3.006400713673571
2019-11-30,"US National","ili perc",3,2019-12-21,"quantile",0.05,3.1498316942524225
2019-11-30,"US National","ili perc",3,2019-12-21,"quantile",0.1,3.374917847006469
2019-11-30,"US National","ili perc",3,2019-12-21,"quantile",0.15,3.531585048555841
2019-11-30,"US National","ili perc",3,2019-12-21,"quantile",0.2,3.63170277733864
2019-11-30,"US National","ili perc",3,2019-12-21,"quantile",0.25,3.726755591871324
2019-11-30,"US National","ili perc",3,2019-12-21,"quantile",0.3,3.8353441951425897
2019-11-30,"US National","ili perc",3,2019-12-21,"quantile",0.35,3.9342005190501386
2019-11-30,"US National","ili perc",3,2019-12-21,"quantile",0.4,4.001297696753979
2019-11-30,"US National","ili perc",3,2019-12-21,"quantile",0.45,4.082482890654112
2019-11-30,"US National","ili perc",3,2019-12-21,"quantile",0.5,4.187480532984287
2019-11-30,"US National","ili perc",3,2019-12-21,"quantile",0.55,4.280223573032297
2019-11-30,"US National","ili perc",3,2019-12-21,"quantile",0.6,4.350645457622541
2019-11-30,"US National","ili perc",3,2019-12-21,"quantile",0.65,4.470009946697209
2019-11-30,"US National","ili perc",3,2019-12-21,"quantile",0.7,4.572307350747164
2019-11-30,"US National","ili perc",3,2019-12-21,"quantile",0.75,4.723282760267876
2019-11-30,"US National","ili perc",3,2019-12-21,"quantile",0.8,4.867450407726059
2019-11-30,"US National","ili perc",3,2019-12-21,"quantile",0.85,5.011397380699918
2019-11-30,"US National","ili perc",3,2019-12-21,"quantile",0.9,5.174538159260613
2019-11-30,"US National","ili perc",3,2019-12-21,"quantile",0.95,5.47183128831442
2019-11-30,"US National","ili perc",3,2019-12-21,"quantile",0.975,5.704304211245587
2019-11-30,"US National","ili perc",3,2019-12-21,"quantile",0.99,5.996169667759155
2019-11-30,"US National","ili perc",4,2019-12-28,"quantile",0.01,2.598140662666401
2019-11-30,"US National","ili perc",4,2019-12-28,"quantile",0.025,2.78947705813944
2019-11-30,"US National","ili perc",4,2019-12-28,"quantile",0.05,3.0246376886045416
2019-11-30,"US National","ili perc",4,2019-12-28,"quantile",0.1,3.2327555285691045
2019-11-30,"US National","ili perc",4,2019-12-28,"quantile",0.15,3.3799836717020453
2019-11-30,"US National","ili perc",4,2019-12-28,"quantile",0.2,3.5306218501448727
2019-11-30,"US National","ili perc",4,2019-12-28,"quantile",0.25,3.6799582555683803
2019-11-30,"US National","ili perc",4,2019-12-28,"quantile",0.3,3.7951672461832513
2019-11-30,"US National","ili perc",4,2019-12-28,"quantile",0.35,3.8999981293764536
2019-11-30,"US National","ili perc",4,2019-12-28,"quantile",0.4,4.010419611305879
2019-11-30,"US National","ili perc",4,2019-12-28,"quantile",0.45,4.119628801863374
2019-11-30,"US National","ili perc",4,2019-12-28,"quantile",0.5,4.228682499244608
2019-11-30,"US National","ili perc",4,2019-12-28,"quantile",0.55,4.34214770905478
2019-11-30,"US National","ili perc",4,2019-12-28,"quantile",0.6,4.481261163747374
2019-11-30,"US National","ili perc",4,2019-12-28,"quantile",0.65,4.61632940310597
2019-11-30,"US National","ili perc",4,2019-12-28,"quantile",0.7,4.74360366619256
2019-11-30,"US National","ili perc",4,2019-12-28,"quantile",0.75,4.887976634391702
2019-11-30,"US National","ili perc",4,2019-12-28,"quantile",0.8,5.075363570258842
2019-11-30,"US National","ili perc",4,2019-12-28,"quantile",0.85,5.242702677281476
2019-11-30,"US National","ili perc",4,2019-12-28,"quantile",0.9,5.480085551910084
2019-11-30,"US National","ili perc",4,2019-12-28,"quantile",0.95,5.862708615037808
2019-11-30,"US National","ili perc",4,2019-12-28,"quantile",0.975,6.179253374406247
2019-11-30,"US National","ili perc",4,2019-12-28,"quantile",0.99,6.546911589674959
2019-11-30,"HHS Region 1","ili perc",1,2019-12-07,"quantile",0.01,1.20463273105054
2019-11-30,"HHS Region 1","ili perc",1,2019-12-07,"quantile",0.025,1.2926376601005207
2019-11-30,"HHS Region 1","ili perc",1,2019-12-07,"quantile",0.05,1.3683140679807368
2019-11-30,"HHS Region 1","ili perc",1,2019-12-07,"quantile",0.1,1.461953177487912
2019-11-30,"HHS Region 1","ili perc",1,2019-12-07,"quantile",0.15,1.540426605475314
2019-11-30,"HHS Region 1","ili perc",1,2019-12-07,"quantile",0.2,1.5993740547296182
2019-11-30,"HHS Region 1","ili perc",1,2019-12-07,"quantile",0.25,1.6393397145684363
2019-11-30,"HHS Region 1","ili perc",1,2019-12-07,"quantile",0.3,1.6800292123727407
2019-11-30,"HHS Region 1","ili perc",1,2019-12-07,"quantile",0.35,1.719548087252804
2019-11-30,"HHS Region 1","ili perc",1,2019-12-07,"quantile",0.4,1.7619210376746988
2019-11-30,"HHS Region 1","ili perc",1,2019-12-07,"quantile",0.45,1.8092801860499828
