"origin_date","location","target","horizon","target_end_date","output_type","output_type_id","value"
2019-02-02,"US National","ili perc",1,2019-02-09,"quantile",0.01,3.5138195529166256
2019-02-02,"US National","ili perc",1,2019-02-09,"quantile",0.025,3.6038683078936824
2019-02-02,"US National","ili perc",1,2019-02-09,"quantile",0.05,3.700394304615485
2019-02-02,"US National","ili perc",1,2019-02-09,"quantile",0.1,3.8186482298465414
2019-02-02,"US National","ili perc",1,2019-02-09,"quantile",0.15,3.8814922190316
2019-02-02,"US National","ili perc",1,2019-02-09,"quantile",0.2,3.9312903210954016
2019-02-02,"US National","ili perc",1,2019-02-09,"quantile",0.25,3.978502500347993
2019-02-02,"US National","ili perc",1,2019-02-09,"quantile",0.3,4.0166027627389065
2019-02-02,"US National","ili perc",1,2019-02-09,"quantile",0.35,4.061518391037332
2019-02-02,"US National","ili perc",1,2019-02-09,"quantile",0.4,4.102620046599021
2019-02-02,"US National","ili perc",1,2019-02-09,"quantile",0.45,4.13973384888944
2019-02-02,"US National","ili perc",1,2019-02-09,"quantile",0.5,4.1776344656935835
2019-02-02,"US National","ili perc",1,2019-02-09,"quantile",0.55,4.220153181111724
2019-02-02,"US National","ili perc",1,2019-02-09,"quantile",0.6,4.248902736001237
2019-02-02,"US National","ili perc",1,2019-02-09,"quantile",0.65,4.288574018678664
2019-02-02,"US National","ili perc",1,2019-02-09,"quantile",0.7,4.325816516485138
2019-02-02,"US National","ili perc",1,2019-02-09,"quantile",0.75,4.370547016758001
2019-02-02,"US National","ili perc",1,2019-02-09,"quantile",0.8,4.416664605956284
2019-02-02,"US National","ili perc",1,2019-02-09,"quantile",0.85,4.478424635544462
2019-02-02,"US National","ili perc",1,2019-02-09,"quantile",0.9,4.545086624842706
2019-02-02,"US National","ili perc",1,2019-02-09,"quantile",0.95,4.64109727911437
2019-02-02,"US National","ili perc",1,2019-02-09,"quantile",0.975,4.736062840191932
2019-02-02,"US National","ili perc",1,2019-02-09,"quantile",0.99,4.873505593404418
2019-02-02,"US National","ili perc",2,2019-02-16,"quantile",0.01,2.7178022117547305
2019-02-02,"US National","ili perc",2,2019-02-16,"quantile",0.025,2.900839075318697
2019-02-02,"US National","ili perc",2,2019-02-16,"quantile",0.05,3.053064595219716
2019-02-02,"US National","ili perc",2,2019-02-16,"quantile",0.1,3.249973495477951
2019-02-02,"US National","ili perc",2,2019-02-16,"quantile",0.15,3.3494928172842586
2019-02-02,"US National","ili perc",2,2019-02-16,"quantile",0.2,3.4364965903773985
2019-02-02,"US National","ili perc",2,2019-02-16,"quantile",0.25,3.530756487642324
2019-02-02,"US National","ili perc",2,2019-02-16,"quantile",0.3,3.605716451842756
2019-02-02,"US National","ili perc",2,2019-02-16,"quantile",0.35,3.679872429484437
2019-02-02,"US National","ili perc",2,2019-02-16,"quantile",0.4,3.753131893180344
2019-02-02,"US National","ili perc",2,2019-02-16,"quantile",0.45,3.832302667722855
2019-02-02,"US National","ili perc",2,2019-02-16,"quantile",0.5,3.8874486282995537
2019-02-02,"US National","ili perc",2,2019-02-16,"quantile",0.55,3.9475932578442885
2019-02-02,"US National","ili perc",2,2019-02-16,"quantile",0.6,4.015863395388952
2019-02-02,"US National","ili perc",2,2019-02-16,"quantile",0.65,4.077792330285934
2019-02-02,"US National","ili perc",2,2019-02-16,"quantile",0.7,4.155613677920903
2019-02-02,"US National","ili perc",2,2019-02-16,"quantile",0.75,4.226680492842386
2019-02-02,"US National","ili perc",2,2019-02-16,"quantile",0.8,4.339960913713051
2019-02-02,"US National","ili perc",2,2019-02-16,"quantile",0.85,4.445181035043656
2019-02-02,"US National","ili perc",2,2019-02-16,"quantile",0.9,4.6041883067880045
2019-02-02,"US National","ili perc",2,2019-02-16,"quantile",0.95,4.809084237492308
2019-02-02,"US National","ili perc",2,2019-02-16,"quantile",0.975,4.984352453881433
2019-02-02,"US National","ili perc",2,2019-02-16,"quantile",0.99,5.217537909561922
2019-02-02,"US National","ili perc",3,2019-02-23,"quantile",0.01,2.3011586214490602
2019-02-02,"US National","ili perc",3,2019-02-23,"quantile",0.025,2.4364783890965622
2019-02-02,"US National","ili perc",3,2019-02-23,"quantile",0.05,2.683508226043274
2019-02-02,"US National","ili perc",3,2019-02-23,"quantile",0.1,2.9048025925469045
2019-02-02,"US National","ili perc",3,2019-02-23,"quantile",0.15,3.034040033635687
2019-02-02,"US National","ili perc",3,2019-02-23,"quantile",0.2,3.1401324568301083
2019-02-02,"US National","ili perc",3,2019-02-23,"quantile",0.25,3.2306003478630907
2019-02-02,"US National","ili perc",3,2019-02-23,"quantile",0.3,3.3501443367950836
2019-02-02,"US National","ili perc",3,2019-02-23,"quantile",0.35,3.436975470767013
2019-02-02,"US National","ili perc",3,2019-02-23,"quantile",0.4,3.5287273439853064
2019-02-02,"US National","ili perc",3,2019-02-23,"quantile",0.45,3.630531917523324
2019-02-02,"US National","ili perc",3,2019-02-23,"quantile",0.5,3.719290494713692
2019-02-02,"US National","ili perc",3,2019-02-23,"quantile",0.55,3.809686103013385
2019-02-02,"US National","ili perc",3,2019-02-23,"quantile",0.6,3.899074268030804
2019-02-02,"US National","ili perc",3,2019-02-23,"quantile",0.65,3.988044805325004
2019-02-02,"US National","ili perc",3,2019-02-23,"quantile",0.7,4.129612392907838
2019-02-02,"US National","ili perc",3,2019-02-23,"quantile",0.75,4.234212766604043
2019-02-02,"US National","ili perc",3,2019-02-23,"quantile",0.8,4.382462635229441
2019-02-02,"US National","ili perc",3,2019-02-23,"quantile",0.85,4.561095142153858
2019-02-02,"US National","ili perc",3,2019-02-23,"quantile",0.9,4.759726022470645
2019-02-02,"US National","ili perc",3,2019-02-23,"quantile",0.95,5.02191324980158
2019-02-02,"US National","ili perc",3,2019-02-23,"quantile",0.975,5.2416866567600175
2019-02-02,"US National","ili perc",3,2019-02-23,"quantile",0.99,5.583875635886208
2019-02-02,"US National","ili perc",4,2019-03-02,"quantile",0.01,2.0513703763541984
2019-02-02,"US National","ili perc",4,2019-03-02,"quantile",0.025,2.2554922461749944
2019-02-02,"US National","ili perc",4,2019-03-02,"quantile",0.05,2.516251492267755
2019-02-02,"US National","ili perc",4,2019-03-02,"quantile",0.1,2.7595967360862845
2019-02-02,"US National","ili perc",4,2019-03-02,"quantile",0.15,2.923778839372319
2019-02-02,"US National","ili perc",4,2019-03-02,"quantile",0.2,3.0363297049794027
2019-02-02,"US National","ili perc",4,2019-03-02,"quantile",0.25,3.157852742306842
2019-02-02,"US National","ili perc",4,2019-03-02,"quantile",0.3,3.2738751220911215
2019-02-02,"US National","ili perc",4,2019-03-02,"quantile",0.35,3.390393054690315
2019-02-02,"US National","ili perc",4,2019-03-02,"quantile",0.4,3.4931546322743046
2019-02-02,"US National","ili perc",4,2019-03-02,"quantile",0.45,3.6208110964713383
2019-02-02,"US National","ili perc",4,2019-03-02,"quantile",0.5,3.7245780338671546
2019-02-02,"US National","ili perc",4,2019-03-02,"quantile",0.55,3.8581477096175933
2019-02-02,"US National","ili perc",4,2019-03-02,"quantile",0.6,3.9379840891837836
2019-02-02,"US National","ili perc",4,2019-03-02,"quantile",0.65,4.083718502047601
2019-02-02,"US National","ili perc",4,2019-03-02,"quantile",0.7,4.215595251849962
2019-02-02,"US National","ili perc",4,2019-03-02,"quantile",0.75,4.395264882823993
2019-02-02,"US National","ili perc",4,2019-03-02,"quantile",0.8,4.533322171874969
2019-02-02,"US National","ili perc",4,2019-03-02,"quantile",0.85,4.74309018202632
2019-02-02,"US National","ili perc",4,2019-03-02,"quantile",0.9,4.981750242593821
2019-02-02,"US National","ili perc",4,2019-03-02,"quantile",0.95,5.386199894138886
2019-02-02,"US National","ili perc",4,2019-03-02,"quantile",0.975,5.717492270597745
2019-02-02,"US National","ili perc",4,2019-03-02,"quantile",0.99,6.156317812055906
2019-02-02,"HHS Region 1","ili perc",1,2019-02-09,"quantile",0.01,2.5736446529547545
2019-02-02,"HHS Region 1","ili perc",1,2019-02-09,"quantile",0.025,2.6984598999243494
2019-02-02,"HHS Region 1","ili perc",1,2019-02-09,"quantile",0.05,2.8490250530765677
2019-02-02,"HHS Region 1","ili perc",1,2019-02-09,"quantile",0.1,3.020430494476021
2019-02-02,"HHS Region 1","ili perc",1,2019-02-09,"quantile",0.15,3.131682407088481
2019-02-02,"HHS Region 1","ili perc",1,2019-02-09,"quantile",0.2,3.2364247953708873
2019-02-02,"HHS Region 1","ili perc",1,2019-02-09,"quantile",0.25,3.3269285725786886
2019-02-02,"HHS Region 1","ili perc",1,2019-02-09,"quantile",0.3,3.4006628513749138
2019-02-02,"HHS Region 1","ili perc",1,2019-02-09,"quantile",0.35,3.4791485663623205
2019-02-02,"HHS Region 1","ili perc",1,2019-02-09,"quantile",0.4,3.528586535974515
2019-02-02,"HHS Region 1","ili perc",1,2019-02-09,"quantile",0.45,3.5935760372497074
2019-02-02,"HHS Region 1","ili perc",1,2019-02-09,"quantile",0.5,3.6691100175281433
2019-02-02,"HHS Region 1","ili perc",1,2019-02-09,"quantile",0.55,3.7449188469108203
2019-02-02,"HHS Region 1","ili perc",1,2019-02-09,"quantile",0.6,3.820267113585502
2019-02-02,"HHS Region 1","ili perc",1,2019-02-09,"quantile",0.65,3.899899630027182
2019-02-02,"HHS Region 1","ili perc",1,2019-02-09,"quantile",0.7,3.9625376456212527
2019-02-02,"HHS Region 1","ili perc",1,2019-02-09,"quantile",0.75,4.053232828782941
2019-02-02,"HHS Region 1","ili perc",1,2019-02-09,"quantile",0.8,4.140190436866518
2019-02-02,"HHS Region 1","ili perc",1,2019-02-09,"quantile",0.85,4.288508272614764
2019-02-02,"HHS Region 1","ili perc",1,2019-02-09,"quantile",0.9,4.478789907881056
2019-02-02,"HHS Region 1","ili perc",1,2019-02-09,"quantile",0.95,4.70501702578451
2019-02-02,"HHS Region 1","ili perc",1,2019-02-09,"quantile",0.975,4.870348138367371
2019-02-02,"HHS Region 1","ili perc",1,2019-02-09,"quantile",0.99,5.1673812410324516
2019-02-02,"HHS Region 1","ili perc",2,2019-02-16,"quantile",0.01,2.293515012660675
2019-02-02,"HHS Region 1","ili perc",2,2019-02-16,"quantile",0.025,2.4821620611694586
2019-02-02,"HHS Region 1","ili perc",2,2019-02-16,"quantile",0.05,2.602586745641732
2019-02-02,"HHS Region 1","ili perc",2,2019-02-16,"quantile",0.1,2.8022709911627888
2019-02-02,"HHS Region 1","ili perc",2,2019-02-16,"quantile",0.15,2.9122722475818033
2019-02-02,"HHS Region 1","ili perc",2,2019-02-16,"quantile",0.2,3.030588769689572
2019-02-02,"HHS Region 1","ili perc",2,2019-02-16,"quantile",0.25,3.1444881282773927
2019-02-02,"HHS Region 1","ili perc",2,2019-02-16,"quantile",0.3,3.2455210121142004
2019-02-02,"HHS Region 1","ili perc",2,2019-02-16,"quantile",0.35,3.368048424098795
2019-02-02,"HHS Region 1","ili perc",2,2019-02-16,"quantile",0.4,3.4539290054838387
2019-02-02,"HHS Region 1","ili perc",2,2019-02-16,"quantile",0.45,3.5555513450736225
2019-02-02,"HHS Region 1","ili perc",2,2019-02-16,"quantile",0.5,3.6295966393156642
2019-02-02,"HHS Region 1","ili perc",2,2019-02-16,"quantile",0.55,3.6985072170149067
2019-02-02,"HHS Region 1","ili perc",2,2019-02-16,"quantile",0.6,3.814807369495983
2019-02-02,"HHS Region 1","ili perc",2,2019-02-16,"quantile",0.65,3.9259305696379574
2019-02-02,"HHS Region 1","ili perc",2,2019-02-16,"quantile",0.7,4.037447853262519
2019-02-02,"HHS Region 1","ili perc",2,2019-02-16,"quantile",0.75,4.16912286736611
2019-02-02,"HHS Region 1","ili perc",2,2019-02-16,"quantile",0.8,4.272304979983531
2019-02-02,"HHS Region 1","ili perc",2,2019-02-16,"quantile",0.85,4.386413927391825
2019-02-02,"HHS Region 1","ili perc",2,2019-02-16,"quantile",0.9,4.572260474804592
2019-02-02,"HHS Region 1","ili perc",2,2019-02-16,"quantile",0.95,4.84533275452966
2019-02-02,"HHS Region 1","ili perc",2,2019-02-16,"quantile",0.975,5.108434935795554
2019-02-02,"HHS Region 1","ili perc",2,2019-02-16,"quantile",0.99,5.491627575533489
2019-02-02,"HHS Region 1","ili perc",3,2019-02-23,"quantile",0.01,1.838406813909956
2019-02-02,"HHS Region 1","ili perc",3,2019-02-23,"quantile",0.025,2.0885285682873422
