"origin_date","location","target","horizon","target_end_date","output_type","output_type_id","value"
2017-03-04,"US National","ili perc",1,2017-03-11,"quantile",0.01,2.7480603956385523
2017-03-04,"US National","ili perc",1,2017-03-11,"quantile",0.025,2.8150935625552886
2017-03-04,"US National","ili perc",1,2017-03-11,"quantile",0.05,2.8555732924797113
2017-03-04,"US National","ili perc",1,2017-03-11,"quantile",0.1,2.9099737685320695
2017-03-04,"US National","ili perc",1,2017-03-11,"quantile",0.15,2.965846741714264
2017-03-04,"US National","ili perc",1,2017-03-11,"quantile",0.2,3.006888283672785
2017-03-04,"US National","ili perc",1,2017-03-11,"quantile",0.25,3.040227307353082
2017-03-04,"US National","ili perc",1,2017-03-11,"quantile",0.3,3.065988721956957
2017-03-04,"US National","ili perc",1,2017-03-11,"quantile",0.35,3.09399123421367
2017-03-04,"US National","ili perc",1,2017-03-11,"quantile",0.4,3.121629949744925
2017-03-04,"US National","ili perc",1,2017-03-11,"quantile",0.45,3.1547870736672703
2017-03-04,"US National","ili perc",1,2017-03-11,"quantile",0.5,3.1790440344810986
2017-03-04,"US National","ili perc",1,2017-03-11,"quantile",0.55,3.203011383198579
2017-03-04,"US National","ili perc",1,2017-03-11,"quantile",0.6,3.2297929456710324
2017-03-04,"US National","ili perc",1,2017-03-11,"quantile",0.65,3.261672018044335
2017-03-04,"US National","ili perc",1,2017-03-11,"quantile",0.7,3.291080908144113
2017-03-04,"US National","ili perc",1,2017-03-11,"quantile",0.75,3.3240165014869336
2017-03-04,"US National","ili perc",1,2017-03-11,"quantile",0.8,3.3541445186998264
2017-03-04,"US National","ili perc",1,2017-03-11,"quantile",0.85,3.393885427299224
2017-03-04,"US National","ili perc",1,2017-03-11,"quantile",0.9,3.47599287252321
2017-03-04,"US National","ili perc",1,2017-03-11,"quantile",0.95,3.567773585059201
2017-03-04,"US National","ili perc",1,2017-03-11,"quantile",0.975,3.6444715621452306
2017-03-04,"US National","ili perc",1,2017-03-11,"quantile",0.99,3.7259240636287
2017-03-04,"US National","ili perc",2,2017-03-18,"quantile",0.01,2.367506874757965
2017-03-04,"US National","ili perc",2,2017-03-18,"quantile",0.025,2.4234115962962024
2017-03-04,"US National","ili perc",2,2017-03-18,"quantile",0.05,2.509809792596885
2017-03-04,"US National","ili perc",2,2017-03-18,"quantile",0.1,2.5948825229957477
2017-03-04,"US National","ili perc",2,2017-03-18,"quantile",0.15,2.654923346546478
2017-03-04,"US National","ili perc",2,2017-03-18,"quantile",0.2,2.707515555431354
2017-03-04,"US National","ili perc",2,2017-03-18,"quantile",0.25,2.748568282526913
2017-03-04,"US National","ili perc",2,2017-03-18,"quantile",0.3,2.792157234497399
2017-03-04,"US National","ili perc",2,2017-03-18,"quantile",0.35,2.828752390808635
2017-03-04,"US National","ili perc",2,2017-03-18,"quantile",0.4,2.8713675441581366
2017-03-04,"US National","ili perc",2,2017-03-18,"quantile",0.45,2.9026290922644193
2017-03-04,"US National","ili perc",2,2017-03-18,"quantile",0.5,2.939138038519508
2017-03-04,"US National","ili perc",2,2017-03-18,"quantile",0.55,2.9774406904756527
2017-03-04,"US National","ili perc",2,2017-03-18,"quantile",0.6,3.016997971155541
2017-03-04,"US National","ili perc",2,2017-03-18,"quantile",0.65,3.063988192384792
2017-03-04,"US National","ili perc",2,2017-03-18,"quantile",0.7,3.1060274584630134
2017-03-04,"US National","ili perc",2,2017-03-18,"quantile",0.75,3.1539184662736823
2017-03-04,"US National","ili perc",2,2017-03-18,"quantile",0.8,3.217302771527259
2017-03-04,"US National","ili perc",2,2017-03-18,"quantile",0.85,3.277894966074813
2017-03-04,"US National","ili perc",2,2017-03-18,"quantile",0.9,3.3541112835371423
2017-03-04,"US National","ili perc",2,2017-03-18,"quantile",0.95,3.4877577937666313
2017-03-04,"US National","ili perc",2,2017-03-18,"quantile",0.975,3.5810055023727894
2017-03-04,"US National","ili perc",2,2017-03-18,"quantile",0.99,3.7029496651219205
2017-03-04,"US National","ili perc",3,2017-03-25,"quantile",0.01,2.0529943771178996
2017-03-04,"US National","ili perc",3,2017-03-25,"quantile",0.025,2.1122796466547373
2017-03-04,"US National","ili perc",3,2017-03-25,"quantile",0.05,2.187657048775727
2017-03-04,"US National","ili perc",3,2017-03-25,"quantile",0.1,2.2909966963955744
2017-03-04,"US National","ili perc",3,2017-03-25,"quantile",0.15,2.3592087667513297
2017-03-04,"US National","ili perc",3,2017-03-25,"quantile",0.2,2.4235806417037766
2017-03-04,"US National","ili perc",3,2017-03-25,"quantile",0.25,2.4879843849336076
2017-03-04,"US National","ili perc",3,2017-03-25,"quantile",0.3,2.5247959388444907
2017-03-04,"US National","ili perc",3,2017-03-25,"quantile",0.35,2.5672685254432124
2017-03-04,"US National","ili perc",3,2017-03-25,"quantile",0.4,2.6056547884797783
2017-03-04,"US National","ili perc",3,2017-03-25,"quantile",0.45,2.64400751427555
2017-03-04,"US National","ili perc",3,2017-03-25,"quantile",0.5,2.6801819359129118
2017-03-04,"US National","ili perc",3,2017-03-25,"quantile",0.55,2.722827523590062
2017-03-04,"US National","ili perc",3,2017-03-25,"quantile",0.6,2.7614057676813957
2017-03-04,"US National","ili perc",3,2017-03-25,"quantile",0.65,2.802491850714936
2017-03-04,"US National","ili perc",3,2017-03-25,"quantile",0.7,2.848868163879278
2017-03-04,"US National","ili perc",3,2017-03-25,"quantile",0.75,2.9003975388590675
2017-03-04,"US National","ili perc",3,2017-03-25,"quantile",0.8,2.9624732943172574
2017-03-04,"US National","ili perc",3,2017-03-25,"quantile",0.85,3.018170368061526
2017-03-04,"US National","ili perc",3,2017-03-25,"quantile",0.9,3.1088674814423403
2017-03-04,"US National","ili perc",3,2017-03-25,"quantile",0.95,3.2746025793476323
2017-03-04,"US National","ili perc",3,2017-03-25,"quantile",0.975,3.395395174853006
2017-03-04,"US National","ili perc",3,2017-03-25,"quantile",0.99,3.519611985482076
2017-03-04,"US National","ili perc",4,2017-04-01,"quantile",0.01,1.7460296557510795
2017-03-04,"US National","ili perc",4,2017-04-01,"quantile",0.025,1.893182951991763
2017-03-04,"US National","ili perc",4,2017-04-01,"quantile",0.05,1.9864084579464025
2017-03-04,"US National","ili perc",4,2017-04-01,"quantile",0.1,2.0738510745807917
2017-03-04,"US National","ili perc",4,2017-04-01,"quantile",0.15,2.1331952297615127
2017-03-04,"US National","ili perc",4,2017-04-01,"quantile",0.2,2.19152894369815
2017-03-04,"US National","ili perc",4,2017-04-01,"quantile",0.25,2.238885186202752
2017-03-04,"US National","ili perc",4,2017-04-01,"quantile",0.3,2.279265952963733
2017-03-04,"US National","ili perc",4,2017-04-01,"quantile",0.35,2.318327364748922
2017-03-04,"US National","ili perc",4,2017-04-01,"quantile",0.4,2.3490389243132284
2017-03-04,"US National","ili perc",4,2017-04-01,"quantile",0.45,2.3849836167789213
2017-03-04,"US National","ili perc",4,2017-04-01,"quantile",0.5,2.428986815475837
2017-03-04,"US National","ili perc",4,2017-04-01,"quantile",0.55,2.4725773160012596
2017-03-04,"US National","ili perc",4,2017-04-01,"quantile",0.6,2.514608337920373
2017-03-04,"US National","ili perc",4,2017-04-01,"quantile",0.65,2.5640564378058235
2017-03-04,"US National","ili perc",4,2017-04-01,"quantile",0.7,2.6008170022612633
2017-03-04,"US National","ili perc",4,2017-04-01,"quantile",0.75,2.6517648820232744
2017-03-04,"US National","ili perc",4,2017-04-01,"quantile",0.8,2.7144677318564767
2017-03-04,"US National","ili perc",4,2017-04-01,"quantile",0.85,2.77685522192744
2017-03-04,"US National","ili perc",4,2017-04-01,"quantile",0.9,2.864519408705425
2017-03-04,"US National","ili perc",4,2017-04-01,"quantile",0.95,2.996492396153286
2017-03-04,"US National","ili perc",4,2017-04-01,"quantile",0.975,3.12854060329073
2017-03-04,"US National","ili perc",4,2017-04-01,"quantile",0.99,3.2219171032016454
2017-03-04,"HHS Region 1","ili perc",1,2017-03-11,"quantile",0.01,1.5577078062425476
2017-03-04,"HHS Region 1","ili perc",1,2017-03-11,"quantile",0.025,1.6325465727857245
2017-03-04,"HHS Region 1","ili perc",1,2017-03-11,"quantile",0.05,1.6947310470544876
2017-03-04,"HHS Region 1","ili perc",1,2017-03-11,"quantile",0.1,1.7627318485228536
2017-03-04,"HHS Region 1","ili perc",1,2017-03-11,"quantile",0.15,1.816486613043361
2017-03-04,"HHS Region 1","ili perc",1,2017-03-11,"quantile",0.2,1.8549415283269768
2017-03-04,"HHS Region 1","ili perc",1,2017-03-11,"quantile",0.25,1.892882763169326
2017-03-04,"HHS Region 1","ili perc",1,2017-03-11,"quantile",0.3,1.9225154197216643
2017-03-04,"HHS Region 1","ili perc",1,2017-03-11,"quantile",0.35,1.9522967172204895
2017-03-04,"HHS Region 1","ili perc",1,2017-03-11,"quantile",0.4,1.9796822284659865
2017-03-04,"HHS Region 1","ili perc",1,2017-03-11,"quantile",0.45,2.0113218056928646
2017-03-04,"HHS Region 1","ili perc",1,2017-03-11,"quantile",0.5,2.045651967521655
2017-03-04,"HHS Region 1","ili perc",1,2017-03-11,"quantile",0.55,2.0721876136328934
2017-03-04,"HHS Region 1","ili perc",1,2017-03-11,"quantile",0.6,2.1013449519038847
2017-03-04,"HHS Region 1","ili perc",1,2017-03-11,"quantile",0.65,2.130983232233967
2017-03-04,"HHS Region 1","ili perc",1,2017-03-11,"quantile",0.7,2.164494141050578
2017-03-04,"HHS Region 1","ili perc",1,2017-03-11,"quantile",0.75,2.198361743105434
2017-03-04,"HHS Region 1","ili perc",1,2017-03-11,"quantile",0.8,2.243743633714447
2017-03-04,"HHS Region 1","ili perc",1,2017-03-11,"quantile",0.85,2.292062664217167
