"origin_date","location","target","horizon","target_end_date","output_type","output_type_id","value"
2018-01-20,"US National","ili perc",1,2018-01-27,"quantile",0.01,4.900688979955229
2018-01-20,"US National","ili perc",1,2018-01-27,"quantile",0.025,5.161288471301651
2018-01-20,"US National","ili perc",1,2018-01-27,"quantile",0.05,5.361403398926461
2018-01-20,"US National","ili perc",1,2018-01-27,"quantile",0.1,5.609784924942546
2018-01-20,"US National","ili perc",1,2018-01-27,"quantile",0.15,5.754387652302361
2018-01-20,"US National","ili perc",1,2018-01-27,"quantile",0.2,5.857234358063677
2018-01-20,"US National","ili perc",1,2018-01-27,"quantile",0.25,5.948757607995638
2018-01-20,"US National","ili perc",1,2018-01-27,"quantile",0.3,6.051512280882319
2018-01-20,"US National","ili perc",1,2018-01-27,"quantile",0.35,6.1438922241989955
2018-01-20,"US National","ili perc",1,2018-01-27,"quantile",0.4,6.229184432815207
2018-01-20,"US National","ili perc",1,2018-01-27,"quantile",0.45,6.295862537466976
2018-01-20,"US National","ili perc",1,2018-01-27,"quantile",0.5,6.3627173344785835
2018-01-20,"US National","ili perc",1,2018-01-27,"quantile",0.55,6.435718319209619
2018-01-20,"US National","ili perc",1,2018-01-27,"quantile",0.6,6.524138335463535
2018-01-20,"US National","ili perc",1,2018-01-27,"quantile",0.65,6.600685149797284
2018-01-20,"US National","ili perc",1,2018-01-27,"quantile",0.7,6.685135219993294
2018-01-20,"US National","ili perc",1,2018-01-27,"quantile",0.75,6.814599290071353
2018-01-20,"US National","ili perc",1,2018-01-27,"quantile",0.8,6.945756344402419
2018-01-20,"US National","ili perc",1,2018-01-27,"quantile",0.85,7.092645427956789
2018-01-20,"US National","ili perc",1,2018-01-27,"quantile",0.9,7.2393415400847365
2018-01-20,"US National","ili perc",1,2018-01-27,"quantile",0.95,7.601293958155855
2018-01-20,"US National","ili perc",1,2018-01-27,"quantile",0.975,8.041240550591608
2018-01-20,"US National","ili perc",1,2018-01-27,"quantile",0.99,8.642666157260877
2018-01-20,"US National","ili perc",2,2018-02-03,"quantile",0.01,4.608434594802975
2018-01-20,"US National","ili perc",2,2018-02-03,"quantile",0.025,4.936008260526743
2018-01-20,"US National","ili perc",2,2018-02-03,"quantile",0.05,5.266793417238715
2018-01-20,"US National","ili perc",2,2018-02-03,"quantile",0.1,5.508603483350692
2018-01-20,"US National","ili perc",2,2018-02-03,"quantile",0.15,5.6825608620966355
2018-01-20,"US National","ili perc",2,2018-02-03,"quantile",0.2,5.824211708593577
2018-01-20,"US National","ili perc",2,2018-02-03,"quantile",0.25,5.958054713215234
2018-01-20,"US National","ili perc",2,2018-02-03,"quantile",0.3,6.052821805553463
2018-01-20,"US National","ili perc",2,2018-02-03,"quantile",0.35,6.15527047075104
2018-01-20,"US National","ili perc",2,2018-02-03,"quantile",0.4,6.261160749763587
2018-01-20,"US National","ili perc",2,2018-02-03,"quantile",0.45,6.398864129161988
2018-01-20,"US National","ili perc",2,2018-02-03,"quantile",0.5,6.529087770114007
2018-01-20,"US National","ili perc",2,2018-02-03,"quantile",0.55,6.645251702021734
2018-01-20,"US National","ili perc",2,2018-02-03,"quantile",0.6,6.723262728684536
2018-01-20,"US National","ili perc",2,2018-02-03,"quantile",0.65,6.866021506419726
2018-01-20,"US National","ili perc",2,2018-02-03,"quantile",0.7,6.982229297784425
2018-01-20,"US National","ili perc",2,2018-02-03,"quantile",0.75,7.123231217037301
2018-01-20,"US National","ili perc",2,2018-02-03,"quantile",0.8,7.278362639823315
2018-01-20,"US National","ili perc",2,2018-02-03,"quantile",0.85,7.463967797166317
2018-01-20,"US National","ili perc",2,2018-02-03,"quantile",0.9,7.7190271985798855
2018-01-20,"US National","ili perc",2,2018-02-03,"quantile",0.95,8.233741243418441
2018-01-20,"US National","ili perc",2,2018-02-03,"quantile",0.975,8.538797541624204
2018-01-20,"US National","ili perc",2,2018-02-03,"quantile",0.99,9.149486024211196
2018-01-20,"US National","ili perc",3,2018-02-10,"quantile",0.01,4.502981530896188
2018-01-20,"US National","ili perc",3,2018-02-10,"quantile",0.025,4.767499363818508
2018-01-20,"US National","ili perc",3,2018-02-10,"quantile",0.05,5.09991501118669
2018-01-20,"US National","ili perc",3,2018-02-10,"quantile",0.1,5.355911161017499
2018-01-20,"US National","ili perc",3,2018-02-10,"quantile",0.15,5.616550196381603
2018-01-20,"US National","ili perc",3,2018-02-10,"quantile",0.2,5.758902778494152
2018-01-20,"US National","ili perc",3,2018-02-10,"quantile",0.25,5.973585396237805
2018-01-20,"US National","ili perc",3,2018-02-10,"quantile",0.3,6.1100800620659355
2018-01-20,"US National","ili perc",3,2018-02-10,"quantile",0.35,6.228362506924386
2018-01-20,"US National","ili perc",3,2018-02-10,"quantile",0.4,6.354310602883081
2018-01-20,"US National","ili perc",3,2018-02-10,"quantile",0.45,6.460456559229035
2018-01-20,"US National","ili perc",3,2018-02-10,"quantile",0.5,6.568003062382869
2018-01-20,"US National","ili perc",3,2018-02-10,"quantile",0.55,6.673370510100218
2018-01-20,"US National","ili perc",3,2018-02-10,"quantile",0.6,6.80511391140834
2018-01-20,"US National","ili perc",3,2018-02-10,"quantile",0.65,6.993964024235127
2018-01-20,"US National","ili perc",3,2018-02-10,"quantile",0.7,7.136507750306058
2018-01-20,"US National","ili perc",3,2018-02-10,"quantile",0.75,7.300017204730033
2018-01-20,"US National","ili perc",3,2018-02-10,"quantile",0.8,7.455946432292616
2018-01-20,"US National","ili perc",3,2018-02-10,"quantile",0.85,7.697897635342077
2018-01-20,"US National","ili perc",3,2018-02-10,"quantile",0.9,7.9128047864111295
2018-01-20,"US National","ili perc",3,2018-02-10,"quantile",0.95,8.574722907833575
2018-01-20,"US National","ili perc",3,2018-02-10,"quantile",0.975,9.191242364392318
2018-01-20,"US National","ili perc",3,2018-02-10,"quantile",0.99,10.089453552816735
2018-01-20,"US National","ili perc",4,2018-02-17,"quantile",0.01,4.394457662968155
2018-01-20,"US National","ili perc",4,2018-02-17,"quantile",0.025,4.689942371628645
2018-01-20,"US National","ili perc",4,2018-02-17,"quantile",0.05,4.933901276700357
2018-01-20,"US National","ili perc",4,2018-02-17,"quantile",0.1,5.240245182483847
2018-01-20,"US National","ili perc",4,2018-02-17,"quantile",0.15,5.461777170421435
2018-01-20,"US National","ili perc",4,2018-02-17,"quantile",0.2,5.640373073313902
2018-01-20,"US National","ili perc",4,2018-02-17,"quantile",0.25,5.826030725101683
2018-01-20,"US National","ili perc",4,2018-02-17,"quantile",0.3,5.9710075694607445
2018-01-20,"US National","ili perc",4,2018-02-17,"quantile",0.35,6.116420126567534
2018-01-20,"US National","ili perc",4,2018-02-17,"quantile",0.4,6.245178276371973
2018-01-20,"US National","ili perc",4,2018-02-17,"quantile",0.45,6.384065305227827
2018-01-20,"US National","ili perc",4,2018-02-17,"quantile",0.5,6.527804793714162
2018-01-20,"US National","ili perc",4,2018-02-17,"quantile",0.55,6.6516705600340105
2018-01-20,"US National","ili perc",4,2018-02-17,"quantile",0.6,6.8187079704444855
2018-01-20,"US National","ili perc",4,2018-02-17,"quantile",0.65,6.971510759927922
2018-01-20,"US National","ili perc",4,2018-02-17,"quantile",0.7,7.117651297098455
2018-01-20,"US National","ili perc",4,2018-02-17,"quantile",0.75,7.254674795982073
2018-01-20,"US National","ili perc",4,2018-02-17,"quantile",0.8,7.460712503343531
2018-01-20,"US National","ili perc",4,2018-02-17,"quantile",0.85,7.713845528683104
2018-01-20,"US National","ili perc",4,2018-02-17,"quantile",0.9,7.970487701780315
2018-01-20,"US National","ili perc",4,2018-02-17,"quantile",0.95,8.48956905782315
2018-01-20,"US National","ili perc",4,2018-02-17,"quantile",0.975,9.095494602091968
2018-01-20,"US National","ili perc",4,2018-02-17,"quantile",0.99,9.997169102606012
2018-01-20,"HHS Region 1","ili perc",1,2018-01-27,"quantile",0.01,2.258999908835852
2018-01-20,"HHS Region 1","ili perc",1,2018-01-27,"quantile",0.025,2.500463980595936
2018-01-20,"HHS Region 1","ili perc",1,2018-01-27,"quantile",0.05,2.7249890770319176
2018-01-20,"HHS Region 1","ili perc",1,2018-01-27,"quantile",0.1,2.9324920030738943
2018-01-20,"HHS Region 1","ili perc",1,2018-01-27,"quantile",0.15,3.066276538997586
2018-01-20,"HHS Region 1","ili perc",1,2018-01-27,"quantile",0.2,3.1753634018562975
2018-01-20,"HHS Region 1","ili perc",1,2018-01-27,"quantile",0.25,3.2866491483783853
