"location","origin_date","horizon","target_end_date","quantile","value","output_type_id","target","output_type","season"
"US National",2017-01-07,4,2017-02-04,"1%",1.41266530859421,0.01,"ili perc","quantile","2016/2017"
"US National",2017-01-07,4,2017-02-04,"2.5%",1.65438744009379,0.025,"ili perc","quantile","2016/2017"
"US National",2017-01-07,4,2017-02-04,"5%",1.86265338559042,0.05,"ili perc","quantile","2016/2017"
"US National",2017-01-07,4,2017-02-04,"10%",2.05027821961672,0.1,"ili perc","quantile","2016/2017"
"US National",2017-01-07,4,2017-02-04,"15%",2.14185706020578,0.15,"ili perc","quantile","2016/2017"
"US National",2017-01-07,4,2017-02-04,"20%",2.25753889477261,0.2,"ili perc","quantile","2016/2017"
"US National",2017-01-07,4,2017-02-04,"25%",2.33998968119811,0.25,"ili perc","quantile","2016/2017"
"US National",2017-01-07,4,2017-02-04,"30%",2.56836595991642,0.3,"ili perc","quantile","2016/2017"
"US National",2017-01-07,4,2017-02-04,"35%",2.73828965217323,0.35,"ili perc","quantile","2016/2017"
"US National",2017-01-07,4,2017-02-04,"40%",2.85312311005621,0.4,"ili perc","quantile","2016/2017"
"US National",2017-01-07,4,2017-02-04,"45%",2.98449482045816,0.45,"ili perc","quantile","2016/2017"
"US National",2017-01-07,4,2017-02-04,"50%",3.01156656774598,0.5,"ili perc","quantile","2016/2017"
"US National",2017-01-07,4,2017-02-04,"55%",3.049041801764,0.55,"ili perc","quantile","2016/2017"
"US National",2017-01-07,4,2017-02-04,"60%",3.17256995182189,0.6,"ili perc","quantile","2016/2017"
"US National",2017-01-07,4,2017-02-04,"65%",3.3352767881714,0.65,"ili perc","quantile","2016/2017"
"US National",2017-01-07,4,2017-02-04,"70%",3.41032136668413,0.7,"ili perc","quantile","2016/2017"
"US National",2017-01-07,4,2017-02-04,"75%",3.53346241751694,0.75,"ili perc","quantile","2016/2017"
"US National",2017-01-07,4,2017-02-04,"80%",3.65977866025247,0.8,"ili perc","quantile","2016/2017"
"US National",2017-01-07,4,2017-02-04,"85%",3.83723397237484,0.85,"ili perc","quantile","2016/2017"
"US National",2017-01-07,4,2017-02-04,"90%",4.03073603626082,0.9,"ili perc","quantile","2016/2017"
"US National",2017-01-07,4,2017-02-04,"95%",4.77109022896168,0.95,"ili perc","quantile","2016/2017"
"US National",2017-01-07,4,2017-02-04,"97.5%",5.02408917924204,0.975,"ili perc","quantile","2016/2017"
"US National",2017-01-07,4,2017-02-04,"99%",5.23676616067973,0.99,"ili perc","quantile","2016/2017"
