"location","origin_date","horizon","target_end_date","value","output_type_id","target","output_type"
"HHS Region 1",2019-11-02,1,2019-11-09,0.69089460730753,0.01,"ili perc","quantile"
"HHS Region 1",2019-11-02,1,2019-11-09,0.725014761289565,0.025,"ili perc","quantile"
"HHS Region 1",2019-11-02,1,2019-11-09,0.801335445065542,0.05,"ili perc","quantile"
"HHS Region 1",2019-11-02,1,2019-11-09,0.892995023613124,0.1,"ili perc","quantile"
"HHS Region 1",2019-11-02,1,2019-11-09,0.941845108665881,0.15,"ili perc","quantile"
"HHS Region 1",2019-11-02,1,2019-11-09,0.955671403249671,0.2,"ili perc","quantile"
"HHS Region 1",2019-11-02,1,2019-11-09,1.01158542275705,0.25,"ili perc","quantile"
"HHS Region 1",2019-11-02,1,2019-11-09,1.05656011947526,0.3,"ili perc","quantile"
"HHS Region 1",2019-11-02,1,2019-11-09,1.08550858651279,0.35,"ili perc","quantile"
"HHS Region 1",2019-11-02,1,2019-11-09,1.1048258593017,0.4,"ili perc","quantile"
"HHS Region 1",2019-11-02,1,2019-11-09,1.13864031955045,0.45,"ili perc","quantile"
"HHS Region 1",2019-11-02,1,2019-11-09,1.15639861596968,0.5,"ili perc","quantile"
"HHS Region 1",2019-11-02,1,2019-11-09,1.17815242240786,0.55,"ili perc","quantile"
"HHS Region 1",2019-11-02,1,2019-11-09,1.21152455959303,0.6,"ili perc","quantile"
"HHS Region 1",2019-11-02,1,2019-11-09,1.24996105848859,0.65,"ili perc","quantile"
"HHS Region 1",2019-11-02,1,2019-11-09,1.25953611676981,0.7,"ili perc","quantile"
"HHS Region 1",2019-11-02,1,2019-11-09,1.279774948901,0.75,"ili perc","quantile"
"HHS Region 1",2019-11-02,1,2019-11-09,1.31781152557113,0.8,"ili perc","quantile"
"HHS Region 1",2019-11-02,1,2019-11-09,1.34766921421802,0.85,"ili perc","quantile"
"HHS Region 1",2019-11-02,1,2019-11-09,1.3852059368608,0.9,"ili perc","quantile"
