"location","origin_date","horizon","target_end_date","quantile","value","output_type_id","target","output_type"
"US National",2016-01-30,4,2016-02-27,"1%",1.94302343213436,0.01,"ili perc","quantile"
"US National",2016-01-30,4,2016-02-27,"2.5%",2.03815888806493,0.025,"ili perc","quantile"
"US National",2016-01-30,4,2016-02-27,"5%",2.10053618661786,0.05,"ili perc","quantile"
"US National",2016-01-30,4,2016-02-27,"10%",2.15553577483539,0.1,"ili perc","quantile"
"US National",2016-01-30,4,2016-02-27,"15%",2.21437789159546,0.15,"ili perc","quantile"
"US National",2016-01-30,4,2016-02-27,"20%",2.31898813099063,0.2,"ili perc","quantile"
"US National",2016-01-30,4,2016-02-27,"25%",2.34486460427956,0.25,"ili perc","quantile"
"US National",2016-01-30,4,2016-02-27,"30%",2.39135623014254,0.3,"ili perc","quantile"
"US National",2016-01-30,4,2016-02-27,"35%",2.41211403297664,0.35,"ili perc","quantile"
"US National",2016-01-30,4,2016-02-27,"40%",2.44643766311611,0.4,"ili perc","quantile"
"US National",2016-01-30,4,2016-02-27,"45%",2.46841185170626,0.45,"ili perc","quantile"
"US National",2016-01-30,4,2016-02-27,"50%",2.53157658397791,0.5,"ili perc","quantile"
"US National",2016-01-30,4,2016-02-27,"55%",2.59140503129273,0.55,"ili perc","quantile"
"US National",2016-01-30,4,2016-02-27,"60%",2.61812975834814,0.6,"ili perc","quantile"
"US National",2016-01-30,4,2016-02-27,"65%",2.65761919102422,0.65,"ili perc","quantile"
"US National",2016-01-30,4,2016-02-27,"70%",2.71108778693749,0.7,"ili perc","quantile"
"US National",2016-01-30,4,2016-02-27,"75%",2.79376776934526,0.75,"ili perc","quantile"
"US National",2016-01-30,4,2016-02-27,"80%",2.86524014795106,0.8,"ili perc","quantile"
"US National",2016-01-30,4,2016-02-27,"85%",2.89524108033193,0.85,"ili perc","quantile"
"US National",2016-01-30,4,2016-02-27,"90%",3.04944526534053,0.9,"ili perc","quantile"
"US National",2016-01-30,4,2016-02-27,"95%",3.28232286030117,0.95,"ili perc","quantile"
"US National",2016-01-30,4,2016-02-27,"97.5%",3.37692895913196,0.975,"ili perc","quantile"
"US National",2016-01-30,4,2016-02-27,"99%",3.5152543207387,0.99,"ili perc","quantile"
