"location","origin_date","horizon","target_end_date","value","output_type_id","target","output_type"
"HHS Region 1",2016-02-27,1,2016-03-05,0.71694967990237,0.01,"ili perc","quantile"
"HHS Region 1",2016-02-27,1,2016-03-05,0.798720907875214,0.025,"ili perc","quantile"
"HHS Region 1",2016-02-27,1,2016-03-05,0.819401610831304,0.05,"ili perc","quantile"
"HHS Region 1",2016-02-27,1,2016-03-05,0.89383691203206,0.1,"ili perc","quantile"
"HHS Region 1",2016-02-27,1,2016-03-05,0.946309052763804,0.15,"ili perc","quantile"
"HHS Region 1",2016-02-27,1,2016-03-05,0.986809444828951,0.2,"ili perc","quantile"
"HHS Region 1",2016-02-27,1,2016-03-05,1.01794353025646,0.25,"ili perc","quantile"
"HHS Region 1",2016-02-27,1,2016-03-05,1.04349611090146,0.3,"ili perc","quantile"
"HHS Region 1",2016-02-27,1,2016-03-05,1.06631357980983,0.35,"ili perc","quantile"
"HHS Region 1",2016-02-27,1,2016-03-05,1.08666615339667,0.4,"ili perc","quantile"
"HHS Region 1",2016-02-27,1,2016-03-05,1.11509415450171,0.45,"ili perc","quantile"
"HHS Region 1",2016-02-27,1,2016-03-05,1.13067565993522,0.5,"ili perc","quantile"
"HHS Region 1",2016-02-27,1,2016-03-05,1.16089484796175,0.55,"ili perc","quantile"
"HHS Region 1",2016-02-27,1,2016-03-05,1.17664832273002,0.6,"ili perc","quantile"
"HHS Region 1",2016-02-27,1,2016-03-05,1.19712354785646,0.65,"ili perc","quantile"
"HHS Region 1",2016-02-27,1,2016-03-05,1.23016787316378,0.7,"ili perc","quantile"
"HHS Region 1",2016-02-27,1,2016-03-05,1.24456520982627,0.75,"ili perc","quantile"
"HHS Region 1",2016-02-27,1,2016-03-05,1.27395499630312,0.8,"ili perc","quantile"
"HHS Region 1",2016-02-27,1,2016-03-05,1.30719988967452,0.85,"ili perc","quantile"
"HHS Region 1",2016-02-27,1,2016-03-05,1.38131719056368,0.9,"ili perc","quantile"
"HHS Region 1",2016-02-27,1,2016-03-05,1.55199757354103,0.95,"ili perc","quantile"
"HHS Region 1",2016-02-27,1,2016-03-05,1.69263414612102,0.975,"ili perc","quantile"
"HHS Region 1",2016-02-27,1,2016-03-05,1.76305285018173,0.99,"ili perc","quantile"
"HHS Region 1",2016-02-27,2,2016-03-12,0.413911280752563,0.01,"ili perc","quantile"
"HHS Region 1",2016-02-27,2,2016-03-12,0.537447523346487,0.025,"ili perc","quantile"
"HHS Region 1",2016-02-27,2,2016-03-12,0.631542110853839,0.05,"ili perc","quantile"
"HHS Region 1",2016-02-27,2,2016-03-12,0.721021491733662,0.1,"ili perc","quantile"
"HHS Region 1",2016-02-27,2,2016-03-12,0.782337537401783,0.15,"ili perc","quantile"
"HHS Region 1",2016-02-27,2,2016-03-12,0.824350668403971,0.2,"ili perc","quantile"
"HHS Region 1",2016-02-27,2,2016-03-12,0.872413480867121,0.25,"ili perc","quantile"
"HHS Region 1",2016-02-27,2,2016-03-12,0.911959144847862,0.3,"ili perc","quantile"
"HHS Region 1",2016-02-27,2,2016-03-12,0.934827631883681,0.35,"ili perc","quantile"
"HHS Region 1",2016-02-27,2,2016-03-12,0.960304799815744,0.4,"ili perc","quantile"
"HHS Region 1",2016-02-27,2,2016-03-12,0.999703154243691,0.45,"ili perc","quantile"
"HHS Region 1",2016-02-27,2,2016-03-12,1.03635613311271,0.5,"ili perc","quantile"
"HHS Region 1",2016-02-27,2,2016-03-12,1.0568214987187,0.55,"ili perc","quantile"
"HHS Region 1",2016-02-27,2,2016-03-12,1.0957658812268,0.6,"ili perc","quantile"
"HHS Region 1",2016-02-27,2,2016-03-12,1.13998325439666,0.65,"ili perc","quantile"
"HHS Region 1",2016-02-27,2,2016-03-12,1.20346049039146,0.7,"ili perc","quantile"
"HHS Region 1",2016-02-27,2,2016-03-12,1.2534646965167,0.75,"ili perc","quantile"
"HHS Region 1",2016-02-27,2,2016-03-12,1.31471447308115,0.8,"ili perc","quantile"
"HHS Region 1",2016-02-27,2,2016-03-12,1.38590617721219,0.85,"ili perc","quantile"
"HHS Region 1",2016-02-27,2,2016-03-12,1.43252647393006,0.9,"ili perc","quantile"
