"location","origin_date","target_end_date","horizon","quantile","output_type_id","value","target","output_type","region"
"HHS Region 1",2019-05-04,2019-05-11,1,"1%",0.01,0.471891228222354,"ili perc","quantile","hhs1"
"HHS Region 1",2019-05-04,2019-05-11,1,"2.5%",0.025,0.471891228222354,"ili perc","quantile","hhs1"
"HHS Region 1",2019-05-04,2019-05-11,1,"5%",0.05,0.592059020365864,"ili perc","quantile","hhs1"
"HHS Region 1",2019-05-04,2019-05-11,1,"10%",0.1,0.673037429498731,"ili perc","quantile","hhs1"
"HHS Region 1",2019-05-04,2019-05-11,1,"15%",0.15,0.731257274736116,"ili perc","quantile","hhs1"
"HHS Region 1",2019-05-04,2019-05-11,1,"20%",0.2,0.759714761822103,"ili perc","quantile","hhs1"
"HHS Region 1",2019-05-04,2019-05-11,1,"25%",0.25,0.776125305638098,"ili perc","quantile","hhs1"
"HHS Region 1",2019-05-04,2019-05-11,1,"30%",0.3,0.776125305638098,"ili perc","quantile","hhs1"
"HHS Region 1",2019-05-04,2019-05-11,1,"35%",0.35,0.776125305638098,"ili perc","quantile","hhs1"
"HHS Region 1",2019-05-04,2019-05-11,1,"40%",0.4,0.779684696102468,"ili perc","quantile","hhs1"
"HHS Region 1",2019-05-04,2019-05-11,1,"45%",0.45,0.82493497239629,"ili perc","quantile","hhs1"
"HHS Region 1",2019-05-04,2019-05-11,1,"50%",0.5,2.74991137232191,"ili perc","quantile","hhs1"
"HHS Region 1",2019-05-04,2019-05-11,1,"55%",0.55,2.74991137232191,"ili perc","quantile","hhs1"
"HHS Region 1",2019-05-04,2019-05-11,1,"60%",0.6,2.74991137232191,"ili perc","quantile","hhs1"
"HHS Region 1",2019-05-04,2019-05-11,1,"65%",0.65,2.74991137232191,"ili perc","quantile","hhs1"
"HHS Region 1",2019-05-04,2019-05-11,1,"70%",0.7,2.74991137232191,"ili perc","quantile","hhs1"
"HHS Region 1",2019-05-04,2019-05-11,1,"75%",0.75,2.74991137232191,"ili perc","quantile","hhs1"
"HHS Region 1",2019-05-04,2019-05-11,1,"80%",0.8,2.74991137232191,"ili perc","quantile","hhs1"
"HHS Region 1",2019-05-04,2019-05-11,1,"85%",0.85,2.74991137232191,"ili perc","quantile","hhs1"
