"location","origin_date","horizon","target_end_date","quantile","value","output_type_id","target","output_type","season"
"US National",2015-12-05,4,2016-01-02,"1%",0.730863510522751,0.01,"ili perc","quantile","2015/2016"
"US National",2015-12-05,4,2016-01-02,"2.5%",0.839427493074594,0.025,"ili perc","quantile","2015/2016"
"US National",2015-12-05,4,2016-01-02,"5%",0.983835693907972,0.05,"ili perc","quantile","2015/2016"
"US National",2015-12-05,4,2016-01-02,"10%",1.132285863655,0.1,"ili perc","quantile","2015/2016"
"US National",2015-12-05,4,2016-01-02,"15%",1.18340428750797,0.15,"ili perc","quantile","2015/2016"
"US National",2015-12-05,4,2016-01-02,"20%",1.2380857997335,0.2,"ili perc","quantile","2015/2016"
"US National",2015-12-05,4,2016-01-02,"25%",1.26838772421355,0.25,"ili perc","quantile","2015/2016"
"US National",2015-12-05,4,2016-01-02,"30%",1.31482111055579,0.3,"ili perc","quantile","2015/2016"
"US National",2015-12-05,4,2016-01-02,"35%",1.39824421921767,0.35,"ili perc","quantile","2015/2016"
"US National",2015-12-05,4,2016-01-02,"40%",1.45075447746659,0.4,"ili perc","quantile","2015/2016"
"US National",2015-12-05,4,2016-01-02,"45%",1.53654169495447,0.45,"ili perc","quantile","2015/2016"
"US National",2015-12-05,4,2016-01-02,"50%",1.66077500422263,0.5,"ili perc","quantile","2015/2016"
"US National",2015-12-05,4,2016-01-02,"55%",1.70970252521205,0.55,"ili perc","quantile","2015/2016"
"US National",2015-12-05,4,2016-01-02,"60%",1.8358592469895,0.6,"ili perc","quantile","2015/2016"
"US National",2015-12-05,4,2016-01-02,"65%",1.89408550786647,0.65,"ili perc","quantile","2015/2016"
"US National",2015-12-05,4,2016-01-02,"70%",1.994189101935,0.7,"ili perc","quantile","2015/2016"
"US National",2015-12-05,4,2016-01-02,"75%",2.20380652762048,0.75,"ili perc","quantile","2015/2016"
"US National",2015-12-05,4,2016-01-02,"80%",2.32539501947369,0.8,"ili perc","quantile","2015/2016"
"US National",2015-12-05,4,2016-01-02,"85%",2.4020106448551,0.85,"ili perc","quantile","2015/2016"
"US National",2015-12-05,4,2016-01-02,"90%",2.51370693896628,0.9,"ili perc","quantile","2015/2016"
"US National",2015-12-05,4,2016-01-02,"95%",2.77537848589394,0.95,"ili perc","quantile","2015/2016"
"US National",2015-12-05,4,2016-01-02,"97.5%",3.09631672565164,0.975,"ili perc","quantile","2015/2016"
"US National",2015-12-05,4,2016-01-02,"99%",3.38080263307837,0.99,"ili perc","quantile","2015/2016"
