"location","origin_date","value","output_type_id","target","output_type"
"US National",2016-01-23,1.17492432648777,0.01,"ili perc","quantile"
"US National",2016-01-23,1.33475367146767,0.025,"ili perc","quantile"
"US National",2016-01-23,1.40358443441201,0.05,"ili perc","quantile"
"US National",2016-01-23,1.64080288255288,0.1,"ili perc","quantile"
"US National",2016-01-23,1.72804012773556,0.15,"ili perc","quantile"
"US National",2016-01-23,1.83409905691414,0.2,"ili perc","quantile"
"US National",2016-01-23,1.94426063724433,0.25,"ili perc","quantile"
"US National",2016-01-23,2.0041087487856,0.3,"ili perc","quantile"
"US National",2016-01-23,2.04820381668982,0.35,"ili perc","quantile"
"US National",2016-01-23,2.11493083870056,0.4,"ili perc","quantile"
"US National",2016-01-23,2.16695761755065,0.45,"ili perc","quantile"
"US National",2016-01-23,2.20947701681922,0.5,"ili perc","quantile"
"US National",2016-01-23,2.26910217384111,0.55,"ili perc","quantile"
"US National",2016-01-23,2.31918846973482,0.6,"ili perc","quantile"
"US National",2016-01-23,2.37913662019056,0.65,"ili perc","quantile"
"US National",2016-01-23,2.43271153296202,0.7,"ili perc","quantile"
"US National",2016-01-23,2.5190447356033,0.75,"ili perc","quantile"
"US National",2016-01-23,2.6038283988247,0.8,"ili perc","quantile"
"US National",2016-01-23,2.69589691727314,0.85,"ili perc","quantile"
"US National",2016-01-23,2.90848191955894,0.9,"ili perc","quantile"
"US National",2016-01-23,3.20117573509592,0.95,"ili perc","quantile"
"US National",2016-01-23,3.45948022032663,0.975,"ili perc","quantile"
"US National",2016-01-23,3.99554875843857,0.99,"ili perc","quantile"
