"location","origin_date","horizon","target_end_date","value","output_type_id","target","output_type"
"US National",2017-05-06,1,2017-05-13,1.0084585232527,0.01,"ili perc","quantile"
"US National",2017-05-06,1,2017-05-13,1.07848089731638,0.025,"ili perc","quantile"
"US National",2017-05-06,1,2017-05-13,1.12770016723851,0.05,"ili perc","quantile"
"US National",2017-05-06,1,2017-05-13,1.14588961496815,0.1,"ili perc","quantile"
"US National",2017-05-06,1,2017-05-13,1.19847655436157,0.15,"ili perc","quantile"
"US National",2017-05-06,1,2017-05-13,1.23042047874211,0.2,"ili perc","quantile"
"US National",2017-05-06,1,2017-05-13,1.25347349434265,0.25,"ili perc","quantile"
"US National",2017-05-06,1,2017-05-13,1.26634387997962,0.3,"ili perc","quantile"
"US National",2017-05-06,1,2017-05-13,1.29017314775196,0.35,"ili perc","quantile"
"US National",2017-05-06,1,2017-05-13,1.3183702462232,0.4,"ili perc","quantile"
"US National",2017-05-06,1,2017-05-13,1.33834018993364,0.45,"ili perc","quantile"
"US National",2017-05-06,1,2017-05-13,1.34907849107802,0.5,"ili perc","quantile"
"US National",2017-05-06,1,2017-05-13,1.36832632457654,0.55,"ili perc","quantile"
"US National",2017-05-06,1,2017-05-13,1.38666040316085,0.6,"ili perc","quantile"
"US National",2017-05-06,1,2017-05-13,1.39948090255807,0.65,"ili perc","quantile"
"US National",2017-05-06,1,2017-05-13,1.43253302436344,0.7,"ili perc","quantile"
"US National",2017-05-06,1,2017-05-13,1.4562556822437,0.75,"ili perc","quantile"
"US National",2017-05-06,1,2017-05-13,1.47551055118686,0.8,"ili perc","quantile"
"US National",2017-05-06,1,2017-05-13,1.51180677309648,0.85,"ili perc","quantile"
"US National",2017-05-06,1,2017-05-13,1.60747517175765,0.9,"ili perc","quantile"
"US National",2017-05-06,1,2017-05-13,1.64677147123309,0.95,"ili perc","quantile"
"US National",2017-05-06,1,2017-05-13,1.76621615773153,0.975,"ili perc","quantile"
"US National",2017-05-06,1,2017-05-13,1.97284183294701,0.99,"ili perc","quantile"
"US National",2017-05-06,2,2017-05-20,0.785633182961411,0.01,"ili perc","quantile"
"US National",2017-05-06,2,2017-05-20,0.863404082767138,0.025,"ili perc","quantile"
"US National",2017-05-06,2,2017-05-20,0.909256116972472,0.05,"ili perc","quantile"
"US National",2017-05-06,2,2017-05-20,1.01441327984526,0.1,"ili perc","quantile"
"US National",2017-05-06,2,2017-05-20,1.0397869106366,0.15,"ili perc","quantile"
"US National",2017-05-06,2,2017-05-20,1.09888507501142,0.2,"ili perc","quantile"
"US National",2017-05-06,2,2017-05-20,1.15017749366141,0.25,"ili perc","quantile"
"US National",2017-05-06,2,2017-05-20,1.20005359906459,0.3,"ili perc","quantile"
"US National",2017-05-06,2,2017-05-20,1.22696405932097,0.35,"ili perc","quantile"
