location,origin_date,target_end_date,horizon,output_type_id,value,target,output_type
HHS Region 1,2019-11-23,2019-11-30,1,0.01,1.01675662307002,ili perc,quantile
HHS Region 1,2019-11-23,2019-11-30,1,0.025,1.03537969291697,ili perc,quantile
HHS Region 1,2019-11-23,2019-11-30,1,0.05,1.10504316241005,ili perc,quantile
HHS Region 1,2019-11-23,2019-11-30,1,0.1,1.20538263949459,ili perc,quantile
HHS Region 1,2019-11-23,2019-11-30,1,0.15,1.27315683335383,ili perc,quantile
HHS Region 1,2019-11-23,2019-11-30,1,0.2,1.34483085299415,ili perc,quantile
HHS Region 1,2019-11-23,2019-11-30,1,0.25,1.42664613364528,ili perc,quantile
HHS Region 1,2019-11-23,2019-11-30,1,0.3,1.4652663861335,ili perc,quantile
HHS Region 1,2019-11-23,2019-11-30,1,0.35,1.49012247452765,ili perc,quantile
HHS Region 1,2019-11-23,2019-11-30,1,0.4,1.53311652244396,ili perc,quantile
HHS Region 1,2019-11-23,2019-11-30,1,0.45,1.60878495956203,ili perc,quantile
HHS Region 1,2019-11-23,2019-11-30,1,0.5,6.21532478442022,ili perc,quantile
HHS Region 1,2019-11-23,2019-11-30,1,0.55,6.21532478442022,ili perc,quantile
HHS Region 1,2019-11-23,2019-11-30,1,0.6,6.21532478442022,ili perc,quantile
HHS Region 1,2019-11-23,2019-11-30,1,0.65,6.21532478442022,ili perc,quantile
HHS Region 1,2019-11-23,2019-11-30,1,0.7,6.21532478442022,ili perc,quantile
HHS Region 1,2019-11-23,2019-11-30,1,0.75,6.21532478442022,ili perc,quantile
HHS Region 1,2019-11-23,2019-11-30,1,0.8,6.21532478442022,ili perc,quantile
HHS Region 1,2019-11-23,2019-11-30,1,0.85,6.21532478442022,ili perc,quantile
HHS Region 1,2019-11-23,2019-11-30,1,0.9,6.21532478442022,ili perc,quantile
HHS Region 1,2019-11-23,2019-11-30,1,0.95,6.21532478442022,ili perc,quantile
HHS Region 1,2019-11-23,2019-11-30,1,0.975,6.21532478442022,ili perc,quantile
HHS Region 1,2019-11-23,2019-11-30,1,0.99,6.21532478442022,ili perc,quantile
HHS Region 1,2019-11-23,2019-12-07,2,0.01,1.0033197309458,ili perc,quantile
HHS Region 1,2019-11-23,2019-12-07,2,0.025,1.03368313717314,ili perc,quantile
HHS Region 1,2019-11-23,2019-12-07,2,0.05,1.08363735376444,ili perc,quantile
HHS Region 1,2019-11-23,2019-12-07,2,0.1,1.16541834698876,ili perc,quantile
HHS Region 1,2019-11-23,2019-12-07,2,0.15,1.22665183123044,ili perc,quantile
HHS Region 1,2019-11-23,2019-12-07,2,0.2,1.30065312881194,ili perc,quantile
HHS Region 1,2019-11-23,2019-12-07,2,0.25,1.38059037360223,ili perc,quantile
HHS Region 1,2019-11-23,2019-12-07,2,0.3,1.42213662906136,ili perc,quantile
HHS Region 1,2019-11-23,2019-12-07,2,0.35,1.46101026749067,ili perc,quantile
HHS Region 1,2019-11-23,2019-12-07,2,0.4,1.5032282041255,ili perc,quantile
HHS Region 1,2019-11-23,2019-12-07,2,0.45,1.57935286603876,ili perc,quantile
HHS Region 1,2019-11-23,2019-12-07,2,0.5,6.1178197715687,ili perc,quantile
HHS Region 1,2019-11-23,2019-12-07,2,0.55,6.1178197715687,ili perc,quantile
HHS Region 1,2019-11-23,2019-12-07,2,0.6,6.1178197715687,ili perc,quantile
HHS Region 1,2019-11-23,2019-12-07,2,0.65,6.1178197715687,ili perc,quantile
HHS Region 1,2019-11-23,2019-12-07,2,0.7,6.1178197715687,ili perc,quantile
HHS Region 1,2019-11-23,2019-12-07,2,0.75,6.1178197715687,ili perc,quantile
HHS Region 1,2019-11-23,2019-12-07,2,0.8,6.1178197715687,ili perc,quantile
HHS Region 1,2019-11-23,2019-12-07,2,0.85,6.1178197715687,ili perc,quantile
HHS Region 1,2019-11-23,2019-12-07,2,0.9,6.1178197715687,ili perc,quantile
HHS Region 1,2019-11-23,2019-12-07,2,0.95,6.1178197715687,ili perc,quantile
HHS Region 1,2019-11-23,2019-12-07,2,0.975,6.1178197715687,ili perc,quantile
HHS Region 1,2019-11-23,2019-12-07,2,0.99,6.1178197715687,ili perc,quantile
HHS Region 1,2019-11-23,2019-12-14,3,0.01,0.99030915360709,ili perc,quantile
HHS Region 1,2019-11-23,2019-12-14,3,0.025,1.03242096194175,ili perc,quantile
HHS Region 1,2019-11-23,2019-12-14,3,0.05,1.06259146400738,ili perc,quantile
HHS Region 1,2019-11-23,2019-12-14,3,0.1,1.12574241536558,ili perc,quantile
HHS Region 1,2019-11-23,2019-12-14,3,0.15,1.18040463199319,ili perc,quantile
HHS Region 1,2019-11-23,2019-12-14,3,0.2,1.25680471549864,ili perc,quantile
HHS Region 1,2019-11-23,2019-12-14,3,0.25,1.33481364119597,ili perc,quantile
HHS Region 1,2019-11-23,2019-12-14,3,0.3,1.3792611233193,ili perc,quantile
HHS Region 1,2019-11-23,2019-12-14,3,0.35,1.4321202492212,ili perc,quantile
HHS Region 1,2019-11-23,2019-12-14,3,0.4,1.47356380328478,ili perc,quantile
HHS Region 1,2019-11-23,2019-12-14,3,0.45,1.55011427333404,ili perc,quantile
HHS Region 1,2019-11-23,2019-12-14,3,0.5,7.07791008147708,ili perc,quantile
HHS Region 1,2019-11-23,2019-12-14,3,0.55,7.07791008147708,ili perc,quantile
HHS Region 1,2019-11-23,2019-12-14,3,0.6,7.07791008147708,ili perc,quantile
HHS Region 1,2019-11-23,2019-12-14,3,0.65,7.07791008147708,ili perc,quantile
HHS Region 1,2019-11-23,2019-12-14,3,0.7,7.07791008147708,ili perc,quantile
HHS Region 1,2019-11-23,2019-12-14,3,0.75,7.07791008147708,ili perc,quantile
HHS Region 1,2019-11-23,2019-12-14,3,0.8,7.07791008147708,ili perc,quantile
HHS Region 1,2019-11-23,2019-12-14,3,0.85,7.07791008147708,ili perc,quantile
HHS Region 1,2019-11-23,2019-12-14,3,0.9,7.07791008147708,ili perc,quantile
HHS Region 1,2019-11-23,2019-12-14,3,0.95,7.07791008147708,ili perc,quantile
HHS Region 1,2019-11-23,2019-12-14,3,0.975,7.07791008147708,ili perc,quantile
HHS Region 1,2019-11-23,2019-12-14,3,0.99,7.07791008147708,ili perc,quantile
HHS Region 1,2019-11-23,2019-12-21,4,0.01,0.977190405833388,ili perc,quantile
HHS Region 1,2019-11-23,2019-12-21,4,0.025,1.0310485697285,ili perc,quantile
HHS Region 1,2019-11-23,2019-12-21,4,0.05,1.04145425069304,ili perc,quantile
HHS Region 1,2019-11-23,2019-12-21,4,0.1,1.08599331686391,ili perc,quantile
HHS Region 1,2019-11-23,2019-12-21,4,0.15,1.13409201947147,ili perc,quantile
HHS Region 1,2019-11-23,2019-12-21,4,0.2,1.21287274491464,ili perc,quantile
HHS Region 1,2019-11-23,2019-12-21,4,0.25,1.28896611007038,ili perc,quantile
HHS Region 1,2019-11-23,2019-12-21,4,0.3,1.33632110544229,ili perc,quantile
HHS Region 1,2019-11-23,2019-12-21,4,0.35,1.40317385416995,ili perc,quantile
HHS Region 1,2019-11-23,2019-12-21,4,0.4,1.44384258703021,ili perc,quantile
HHS Region 1,2019-11-23,2019-12-21,4,0.45,1.52082658294746,ili perc,quantile
HHS Region 1,2019-11-23,2019-12-21,4,0.5,7.76965279942837,ili perc,quantile
HHS Region 1,2019-11-23,2019-12-21,4,0.55,7.76965279942837,ili perc,quantile
HHS Region 1,2019-11-23,2019-12-21,4,0.6,7.76965279942837,ili perc,quantile
HHS Region 1,2019-11-23,2019-12-21,4,0.65,7.76965279942837,ili perc,quantile
HHS Region 1,2019-11-23,2019-12-21,4,0.7,7.76965279942837,ili perc,quantile
HHS Region 1,2019-11-23,2019-12-21,4,0.75,7.76965279942837,ili perc,quantile
HHS Region 1,2019-11-23,2019-12-21,4,0.8,7.76965279942837,ili perc,quantile
HHS Region 1,2019-11-23,2019-12-21,4,0.85,7.76965279942837,ili perc,quantile
HHS Region 1,2019-11-23,2019-12-21,4,0.9,7.76965279942837,ili perc,quantile
HHS Region 1,2019-11-23,2019-12-21,4,0.95,7.76965279942837,ili perc,quantile
HHS Region 1,2019-11-23,2019-12-21,4,0.975,7.76965279942837,ili perc,quantile
HHS Region 1,2019-11-23,2019-12-21,4,0.99,7.76965279942837,ili perc,quantile
HHS Region 10,2019-11-23,2019-11-30,1,0.01,0.911495246588127,ili perc,quantile
HHS Region 10,2019-11-23,2019-11-30,1,0.025,0.911495246588127,ili perc,quantile
HHS Region 10,2019-11-23,2019-11-30,1,0.05,1.02802015156078,ili perc,quantile
HHS Region 10,2019-11-23,2019-11-30,1,0.1,1.21189922693502,ili perc,quantile
HHS Region 10,2019-11-23,2019-11-30,1,0.15,1.27492197395278,ili perc,quantile
HHS Region 10,2019-11-23,2019-11-30,1,0.2,1.39652627475519,ili perc,quantile
HHS Region 10,2019-11-23,2019-11-30,1,0.25,1.47926745580003,ili perc,quantile
HHS Region 10,2019-11-23,2019-11-30,1,0.3,1.53036595052822,ili perc,quantile
HHS Region 10,2019-11-23,2019-11-30,1,0.35,1.59299324771227,ili perc,quantile
HHS Region 10,2019-11-23,2019-11-30,1,0.4,1.67322072826679,ili perc,quantile
HHS Region 10,2019-11-23,2019-11-30,1,0.45,1.77291495293023,ili perc,quantile
HHS Region 10,2019-11-23,2019-11-30,1,0.5,13.9254023885858,ili perc,quantile
HHS Region 10,2019-11-23,2019-11-30,1,0.55,13.9254023885858,ili perc,quantile
HHS Region 10,2019-11-23,2019-11-30,1,0.6,13.9254023885858,ili perc,quantile
HHS Region 10,2019-11-23,2019-11-30,1,0.65,13.9254023885858,ili perc,quantile
HHS Region 10,2019-11-23,2019-11-30,1,0.7,13.9254023885858,ili perc,quantile
HHS Region 10,2019-11-23,2019-11-30,1,0.75,13.9254023885858,ili perc,quantile
HHS Region 10,2019-11-23,2019-11-30,1,0.8,13.9254023885858,ili perc,quantile
HHS Region 10,2019-11-23,2019-11-30,1,0.85,13.9254023885858,ili perc,quantile
HHS Region 10,2019-11-23,2019-11-30,1,0.9,13.9254023885858,ili perc,quantile
HHS Region 10,2019-11-23,2019-11-30,1,0.95,13.9254023885858,ili perc,quantile
HHS Region 10,2019-11-23,2019-11-30,1,0.975,13.9254023885858,ili perc,quantile
HHS Region 10,2019-11-23,2019-11-30,1,0.99,13.9254023885858,ili perc,quantile
HHS Region 10,2019-11-23,2019-12-07,2,0.01,0.906295546960958,ili perc,quantile
HHS Region 10,2019-11-23,2019-12-07,2,0.025,0.906295546960958,ili perc,quantile
HHS Region 10,2019-11-23,2019-12-07,2,0.05,1.00859399067144,ili perc,quantile
HHS Region 10,2019-11-23,2019-12-07,2,0.1,1.17352099449019,ili perc,quantile
HHS Region 10,2019-11-23,2019-12-07,2,0.15,1.22983495493978,ili perc,quantile
HHS Region 10,2019-11-23,2019-12-07,2,0.2,1.35415984623839,ili perc,quantile
HHS Region 10,2019-11-23,2019-12-07,2,0.25,1.43474642053159,ili perc,quantile
HHS Region 10,2019-11-23,2019-12-07,2,0.3,1.48863464208188,ili perc,quantile
HHS Region 10,2019-11-23,2019-12-07,2,0.35,1.5651031368449,ili perc,quantile
HHS Region 10,2019-11-23,2019-12-07,2,0.4,1.64456401447507,ili perc,quantile
HHS Region 10,2019-11-23,2019-12-07,2,0.45,1.74454716437532,ili perc,quantile
HHS Region 10,2019-11-23,2019-12-07,2,0.5,19.6449474787645,ili perc,quantile
HHS Region 10,2019-11-23,2019-12-07,2,0.55,19.6449474787645,ili perc,quantile
HHS Region 10,2019-11-23,2019-12-07,2,0.6,19.6449474787645,ili perc,quantile
HHS Region 10,2019-11-23,2019-12-07,2,0.65,19.6449474787645,ili perc,quantile
HHS Region 10,2019-11-23,2019-12-07,2,0.7,19.6449474787645,ili perc,quantile
HHS Region 10,2019-11-23,2019-12-07,2,0.75,19.6449474787645,ili perc,quantile
HHS Region 10,2019-11-23,2019-12-07,2,0.8,19.6449474787645,ili perc,quantile
HHS Region 10,2019-11-23,2019-12-07,2,0.85,19.6449474787645,ili perc,quantile
HHS Region 10,2019-11-23,2019-12-07,2,0.9,19.6449474787645,ili perc,quantile
HHS Region 10,2019-11-23,2019-12-07,2,0.95,19.6449474787645,ili perc,quantile
HHS Region 10,2019-11-23,2019-12-07,2,0.975,19.6449474787645,ili perc,quantile
HHS Region 10,2019-11-23,2019-12-07,2,0.99,19.6449474787645,ili perc,quantile
HHS Region 10,2019-11-23,2019-12-14,3,0.01,0.89982542691591,ili perc,quantile
HHS Region 10,2019-11-23,2019-12-14,3,0.025,0.89982542691591,ili perc,quantile
HHS Region 10,2019-11-23,2019-12-14,3,0.05,0.988105320655134,ili perc,quantile
HHS Region 10,2019-11-23,2019-12-14,3,0.1,1.13429149783163,ili perc,quantile
HHS Region 10,2019-11-23,2019-12-14,3,0.15,1.18398688134428,ili perc,quantile
HHS Region 10,2019-11-23,2019-12-14,3,0.2,1.31082126589811,ili perc,quantile
HHS Region 10,2019-11-23,2019-12-14,3,0.25,1.38940167353199,ili perc,quantile
HHS Region 10,2019-11-23,2019-12-14,3,0.3,1.44615276352842,ili perc,quantile
HHS Region 10,2019-11-23,2019-12-14,3,0.35,1.53655710709998,ili perc,quantile
HHS Region 10,2019-11-23,2019-12-14,3,0.4,1.61524627851599,ili perc,quantile
HHS Region 10,2019-11-23,2019-12-14,3,0.45,1.71560814604522,ili perc,quantile
HHS Region 10,2019-11-23,2019-12-14,3,0.5,22.2423872313249,ili perc,quantile
HHS Region 10,2019-11-23,2019-12-14,3,0.55,22.2423872313249,ili perc,quantile
