"location","origin_date","target_end_date","horizon","quantile","output_type_id","value","target","output_type","region"
"HHS Region 1",2020-02-08,2020-02-15,1,"1%",0.01,3.91636460337531,"ili perc","quantile","hhs1"
"HHS Region 1",2020-02-08,2020-02-15,1,"2.5%",0.025,3.91636460337531,"ili perc","quantile","hhs1"
"HHS Region 1",2020-02-08,2020-02-15,1,"5%",0.05,3.9730162130063,"ili perc","quantile","hhs1"
"HHS Region 1",2020-02-08,2020-02-15,1,"10%",0.1,4.1479996949015,"ili perc","quantile","hhs1"
"HHS Region 1",2020-02-08,2020-02-15,1,"15%",0.15,4.20647955001232,"ili perc","quantile","hhs1"
"HHS Region 1",2020-02-08,2020-02-15,1,"20%",0.2,4.71866056570161,"ili perc","quantile","hhs1"
"HHS Region 1",2020-02-08,2020-02-15,1,"25%",0.25,4.87115452523449,"ili perc","quantile","hhs1"
"HHS Region 1",2020-02-08,2020-02-15,1,"30%",0.3,4.93433724193983,"ili perc","quantile","hhs1"
"HHS Region 1",2020-02-08,2020-02-15,1,"35%",0.35,4.95037262242477,"ili perc","quantile","hhs1"
"HHS Region 1",2020-02-08,2020-02-15,1,"40%",0.4,5.1238709913805,"ili perc","quantile","hhs1"
"HHS Region 1",2020-02-08,2020-02-15,1,"45%",0.45,5.28124840998316,"ili perc","quantile","hhs1"
"HHS Region 1",2020-02-08,2020-02-15,1,"50%",0.5,3512.13663747587,"ili perc","quantile","hhs1"
"HHS Region 1",2020-02-08,2020-02-15,1,"55%",0.55,3512.13663747587,"ili perc","quantile","hhs1"
"HHS Region 1",2020-02-08,2020-02-15,1,"60%",0.6,3512.13663747587,"ili perc","quantile","hhs1"
"HHS Region 1",2020-02-08,2020-02-15,1,"65%",0.65,3512.13663747587,"ili perc","quantile","hhs1"
"HHS Region 1",2020-02-08,2020-02-15,1,"70%",0.7,3512.13663747587,"ili perc","quantile","hhs1"
"HHS Region 1",2020-02-08,2020-02-15,1,"75%",0.75,3512.13663747587,"ili perc","quantile","hhs1"
"HHS Region 1",2020-02-08,2020-02-15,1,"80%",0.8,3512.13663747587,"ili perc","quantile","hhs1"
"HHS Region 1",2020-02-08,2020-02-15,1,"85%",0.85,3512.13663747587,"ili perc","quantile","hhs1"
"HHS Region 1",2020-02-08,2020-02-15,1,"90%",0.9,3512.13663747587,"ili perc","quantile","hhs1"
"HHS Region 1",2020-02-08,2020-02-15,1,"95%",0.95,3512.13663747587,"ili perc","quantile","hhs1"
"HHS Region 1",2020-02-08,2020-02-15,1,"97.5%",0.975,3512.13663747587,"ili perc","quantile","hhs1"
"HHS Region 1",2020-02-08,2020-02-15,1,"99%",0.99,3512.13663747587,"ili perc","quantile","hhs1"
"HHS Region 1",2020-02-08,2020-02-22,2,"1%",0.01,4.10835487322629,"ili perc","quantile","hhs1"
"HHS Region 1",2020-02-08,2020-02-22,2,"2.5%",0.025,4.10835487322629,"ili perc","quantile","hhs1"
"HHS Region 1",2020-02-08,2020-02-22,2,"5%",0.05,4.1185087981994,"ili perc","quantile","hhs1"
"HHS Region 1",2020-02-08,2020-02-22,2,"10%",0.1,4.24175155259309,"ili perc","quantile","hhs1"
"HHS Region 1",2020-02-08,2020-02-22,2,"15%",0.15,4.27952061504448,"ili perc","quantile","hhs1"
"HHS Region 1",2020-02-08,2020-02-22,2,"20%",0.2,4.82718795603614,"ili perc","quantile","hhs1"
"HHS Region 1",2020-02-08,2020-02-22,2,"25%",0.25,4.95448698542259,"ili perc","quantile","hhs1"
"HHS Region 1",2020-02-08,2020-02-22,2,"30%",0.3,5.00910665595757,"ili perc","quantile","hhs1"
"HHS Region 1",2020-02-08,2020-02-22,2,"35%",0.35,5.02429181942443,"ili perc","quantile","hhs1"
"HHS Region 1",2020-02-08,2020-02-22,2,"40%",0.4,5.19781569927045,"ili perc","quantile","hhs1"
"HHS Region 1",2020-02-08,2020-02-22,2,"45%",0.45,5.3415447993234,"ili perc","quantile","hhs1"
"HHS Region 1",2020-02-08,2020-02-22,2,"50%",0.5,4002.45785266507,"ili perc","quantile","hhs1"
"HHS Region 1",2020-02-08,2020-02-22,2,"55%",0.55,4002.45785266507,"ili perc","quantile","hhs1"
"HHS Region 1",2020-02-08,2020-02-22,2,"60%",0.6,4002.45785266507,"ili perc","quantile","hhs1"
"HHS Region 1",2020-02-08,2020-02-22,2,"65%",0.65,4002.45785266507,"ili perc","quantile","hhs1"
"HHS Region 1",2020-02-08,2020-02-22,2,"70%",0.7,4002.45785266507,"ili perc","quantile","hhs1"
"HHS Region 1",2020-02-08,2020-02-22,2,"75%",0.75,4002.45785266507,"ili perc","quantile","hhs1"
"HHS Region 1",2020-02-08,2020-02-22,2,"80%",0.8,4002.45785266507,"ili perc","quantile","hhs1"
"HHS Region 1",2020-02-08,2020-02-22,2,"85%",0.85,4002.45785266507,"ili perc","quantile","hhs1"
"HHS Region 1",2020-02-08,2020-02-22,2,"90%",0.9,4002.45785266507,"ili perc","quantile","hhs1"
"HHS Region 1",2020-02-08,2020-02-22,2,"95%",0.95,4002.45785266507,"ili perc","quantile","hhs1"
"HHS Region 1",2020-02-08,2020-02-22,2,"97.5%",0.975,4002.45785266507,"ili perc","quantile","hhs1"
"HHS Region 1",2020-02-08,2020-02-22,2,"99%",0.99,4002.45785266507,"ili perc","quantile","hhs1"
"HHS Region 1",2020-02-08,2020-02-29,3,"1%",0.01,3.98957923432658,"ili perc","quantile","hhs1"
"HHS Region 1",2020-02-08,2020-02-29,3,"2.5%",0.025,3.98957923432658,"ili perc","quantile","hhs1"
"HHS Region 1",2020-02-08,2020-02-29,3,"5%",0.05,4.00409402536616,"ili perc","quantile","hhs1"
"HHS Region 1",2020-02-08,2020-02-29,3,"10%",0.1,4.12727006229443,"ili perc","quantile","hhs1"
"HHS Region 1",2020-02-08,2020-02-29,3,"15%",0.15,4.16639510434061,"ili perc","quantile","hhs1"
"HHS Region 1",2020-02-08,2020-02-29,3,"20%",0.2,4.69791088367765,"ili perc","quantile","hhs1"
"HHS Region 1",2020-02-08,2020-02-29,3,"25%",0.25,4.83632589191893,"ili perc","quantile","hhs1"
"HHS Region 1",2020-02-08,2020-02-29,3,"30%",0.3,4.90027417084002,"ili perc","quantile","hhs1"
"HHS Region 1",2020-02-08,2020-02-29,3,"35%",0.35,4.93776237817792,"ili perc","quantile","hhs1"
"HHS Region 1",2020-02-08,2020-02-29,3,"40%",0.4,5.11006341956818,"ili perc","quantile","hhs1"
"HHS Region 1",2020-02-08,2020-02-29,3,"45%",0.45,5.26210890973471,"ili perc","quantile","hhs1"
"HHS Region 1",2020-02-08,2020-02-29,3,"50%",0.5,3729.06031081561,"ili perc","quantile","hhs1"
"HHS Region 1",2020-02-08,2020-02-29,3,"55%",0.55,3729.06031081561,"ili perc","quantile","hhs1"
"HHS Region 1",2020-02-08,2020-02-29,3,"60%",0.6,3729.06031081561,"ili perc","quantile","hhs1"
"HHS Region 1",2020-02-08,2020-02-29,3,"65%",0.65,3729.06031081561,"ili perc","quantile","hhs1"
