"location","origin_date","horizon","target_end_date","value","output_type_id","target","output_type"
"HHS Region 1",2019-12-14,1,2019-12-21,1.27232673089123,0.01,"ili perc","quantile"
"HHS Region 1",2019-12-14,1,2019-12-21,1.45553183545123,0.025,"ili perc","quantile"
"HHS Region 1",2019-12-14,1,2019-12-21,1.56071296993886,0.05,"ili perc","quantile"
"HHS Region 1",2019-12-14,1,2019-12-21,1.59712000541026,0.1,"ili perc","quantile"
"HHS Region 1",2019-12-14,1,2019-12-21,1.65970075758983,0.15,"ili perc","quantile"
"HHS Region 1",2019-12-14,1,2019-12-21,1.7364492099193,0.2,"ili perc","quantile"
"HHS Region 1",2019-12-14,1,2019-12-21,1.78675089359075,0.25,"ili perc","quantile"
"HHS Region 1",2019-12-14,1,2019-12-21,1.82872162026579,0.3,"ili perc","quantile"
"HHS Region 1",2019-12-14,1,2019-12-21,1.92160505596412,0.35,"ili perc","quantile"
"HHS Region 1",2019-12-14,1,2019-12-21,1.98166238033121,0.4,"ili perc","quantile"
"HHS Region 1",2019-12-14,1,2019-12-21,2.03248428059172,0.45,"ili perc","quantile"
"HHS Region 1",2019-12-14,1,2019-12-21,2.05274546429733,0.5,"ili perc","quantile"
"HHS Region 1",2019-12-14,1,2019-12-21,2.09083222385953,0.55,"ili perc","quantile"
"HHS Region 1",2019-12-14,1,2019-12-21,2.13617503381774,0.6,"ili perc","quantile"
"HHS Region 1",2019-12-14,1,2019-12-21,2.18027751061513,0.65,"ili perc","quantile"
"HHS Region 1",2019-12-14,1,2019-12-21,2.21872950836716,0.7,"ili perc","quantile"
"HHS Region 1",2019-12-14,1,2019-12-21,2.26549129163599,0.75,"ili perc","quantile"
"HHS Region 1",2019-12-14,1,2019-12-21,2.32965450846885,0.8,"ili perc","quantile"
"HHS Region 1",2019-12-14,1,2019-12-21,2.41858199455894,0.85,"ili perc","quantile"
"HHS Region 1",2019-12-14,1,2019-12-21,2.58106572763725,0.9,"ili perc","quantile"
"HHS Region 1",2019-12-14,1,2019-12-21,2.59341587684957,0.95,"ili perc","quantile"
"HHS Region 1",2019-12-14,1,2019-12-21,2.66172802098558,0.975,"ili perc","quantile"
"HHS Region 1",2019-12-14,1,2019-12-21,3.00708801267782,0.99,"ili perc","quantile"
"HHS Region 1",2019-12-14,2,2019-12-28,0.870155603341344,0.01,"ili perc","quantile"
"HHS Region 1",2019-12-14,2,2019-12-28,1.10801842827128,0.025,"ili perc","quantile"
"HHS Region 1",2019-12-14,2,2019-12-28,1.44975587480969,0.05,"ili perc","quantile"
"HHS Region 1",2019-12-14,2,2019-12-28,1.59171449419274,0.1,"ili perc","quantile"
"HHS Region 1",2019-12-14,2,2019-12-28,1.63184893464639,0.15,"ili perc","quantile"
"HHS Region 1",2019-12-14,2,2019-12-28,1.77600876411408,0.2,"ili perc","quantile"
"HHS Region 1",2019-12-14,2,2019-12-28,1.8302420169753,0.25,"ili perc","quantile"
"HHS Region 1",2019-12-14,2,2019-12-28,1.92795094816382,0.3,"ili perc","quantile"
"HHS Region 1",2019-12-14,2,2019-12-28,2.01565309550034,0.35,"ili perc","quantile"
"HHS Region 1",2019-12-14,2,2019-12-28,2.09384242637412,0.4,"ili perc","quantile"
"HHS Region 1",2019-12-14,2,2019-12-28,2.13415927483108,0.45,"ili perc","quantile"
"HHS Region 1",2019-12-14,2,2019-12-28,2.20554313004793,0.5,"ili perc","quantile"
"HHS Region 1",2019-12-14,2,2019-12-28,2.24909821332947,0.55,"ili perc","quantile"
"HHS Region 1",2019-12-14,2,2019-12-28,2.33018474423644,0.6,"ili perc","quantile"
"HHS Region 1",2019-12-14,2,2019-12-28,2.41598338466789,0.65,"ili perc","quantile"
"HHS Region 1",2019-12-14,2,2019-12-28,2.43733343391215,0.7,"ili perc","quantile"
"HHS Region 1",2019-12-14,2,2019-12-28,2.5182942026445,0.75,"ili perc","quantile"
"HHS Region 1",2019-12-14,2,2019-12-28,2.56733694760124,0.8,"ili perc","quantile"
"HHS Region 1",2019-12-14,2,2019-12-28,2.73555261341606,0.85,"ili perc","quantile"
"HHS Region 1",2019-12-14,2,2019-12-28,2.86323267987569,0.9,"ili perc","quantile"
"HHS Region 1",2019-12-14,2,2019-12-28,3.05099358285986,0.95,"ili perc","quantile"
"HHS Region 1",2019-12-14,2,2019-12-28,3.15517867262029,0.975,"ili perc","quantile"
"HHS Region 1",2019-12-14,2,2019-12-28,4.03235790049492,0.99,"ili perc","quantile"
"HHS Region 1",2019-12-14,3,2020-01-04,0.96481676589598,0.01,"ili perc","quantile"
"HHS Region 1",2019-12-14,3,2020-01-04,1.03689041359361,0.025,"ili perc","quantile"
"HHS Region 1",2019-12-14,3,2020-01-04,1.26576484071177,0.05,"ili perc","quantile"
"HHS Region 1",2019-12-14,3,2020-01-04,1.52905219771335,0.1,"ili perc","quantile"
"HHS Region 1",2019-12-14,3,2020-01-04,1.67389448041801,0.15,"ili perc","quantile"
"HHS Region 1",2019-12-14,3,2020-01-04,1.76492960589131,0.2,"ili perc","quantile"
"HHS Region 1",2019-12-14,3,2020-01-04,1.91457674362743,0.25,"ili perc","quantile"
"HHS Region 1",2019-12-14,3,2020-01-04,1.95080066237492,0.3,"ili perc","quantile"
"HHS Region 1",2019-12-14,3,2020-01-04,2.00194465738727,0.35,"ili perc","quantile"
"HHS Region 1",2019-12-14,3,2020-01-04,2.09213892807565,0.4,"ili perc","quantile"
