"location","origin_date","horizon","target_end_date","value","output_type_id","target","output_type"
"US National",2016-01-30,4,2016-02-27,0.912164760346522,0.01,"ili perc","quantile"
"US National",2016-01-30,4,2016-02-27,1.00975783646246,0.025,"ili perc","quantile"
"US National",2016-01-30,4,2016-02-27,1.23267583224488,0.05,"ili perc","quantile"
"US National",2016-01-30,4,2016-02-27,1.39974487181687,0.1,"ili perc","quantile"
"US National",2016-01-30,4,2016-02-27,1.51102368683951,0.15,"ili perc","quantile"
"US National",2016-01-30,4,2016-02-27,1.55971142517742,0.2,"ili perc","quantile"
"US National",2016-01-30,4,2016-02-27,1.68814937749803,0.25,"ili perc","quantile"
"US National",2016-01-30,4,2016-02-27,1.70763766863274,0.3,"ili perc","quantile"
"US National",2016-01-30,4,2016-02-27,1.80285912871559,0.35,"ili perc","quantile"
"US National",2016-01-30,4,2016-02-27,1.94525483959797,0.4,"ili perc","quantile"
"US National",2016-01-30,4,2016-02-27,1.97501094850461,0.45,"ili perc","quantile"
"US National",2016-01-30,4,2016-02-27,2.11751986002231,0.5,"ili perc","quantile"
"US National",2016-01-30,4,2016-02-27,2.20643931588154,0.55,"ili perc","quantile"
"US National",2016-01-30,4,2016-02-27,2.24378371797846,0.6,"ili perc","quantile"
"US National",2016-01-30,4,2016-02-27,2.32870759269755,0.65,"ili perc","quantile"
"US National",2016-01-30,4,2016-02-27,2.37632987784067,0.7,"ili perc","quantile"
"US National",2016-01-30,4,2016-02-27,2.46374148306977,0.75,"ili perc","quantile"
"US National",2016-01-30,4,2016-02-27,2.5812504895448,0.8,"ili perc","quantile"
"US National",2016-01-30,4,2016-02-27,2.75131027065585,0.85,"ili perc","quantile"
"US National",2016-01-30,4,2016-02-27,2.95250978515933,0.9,"ili perc","quantile"
"US National",2016-01-30,4,2016-02-27,3.34462161845597,0.95,"ili perc","quantile"
"US National",2016-01-30,4,2016-02-27,3.70456862586077,0.975,"ili perc","quantile"
"US National",2016-01-30,4,2016-02-27,4.39205391284401,0.99,"ili perc","quantile"
