"location","origin_date","horizon","target_end_date","value","output_type_id","target","output_type"
"HHS Region 1",2019-02-02,1,2019-02-09,2.27093232318884,0.01,"ili perc","quantile"
"HHS Region 1",2019-02-02,1,2019-02-09,2.77008704384548,0.025,"ili perc","quantile"
"HHS Region 1",2019-02-02,1,2019-02-09,2.8730960235069,0.05,"ili perc","quantile"
"HHS Region 1",2019-02-02,1,2019-02-09,2.91755781100714,0.1,"ili perc","quantile"
"HHS Region 1",2019-02-02,1,2019-02-09,3.16102672250954,0.15,"ili perc","quantile"
"HHS Region 1",2019-02-02,1,2019-02-09,3.30846989490412,0.2,"ili perc","quantile"
"HHS Region 1",2019-02-02,1,2019-02-09,3.38184716264168,0.25,"ili perc","quantile"
"HHS Region 1",2019-02-02,1,2019-02-09,3.49976466543486,0.3,"ili perc","quantile"
"HHS Region 1",2019-02-02,1,2019-02-09,3.6108392572081,0.35,"ili perc","quantile"
"HHS Region 1",2019-02-02,1,2019-02-09,3.70725594112958,0.4,"ili perc","quantile"
"HHS Region 1",2019-02-02,1,2019-02-09,3.76821201055521,0.45,"ili perc","quantile"
"HHS Region 1",2019-02-02,1,2019-02-09,3.84104961182045,0.5,"ili perc","quantile"
"HHS Region 1",2019-02-02,1,2019-02-09,3.89125959203117,0.55,"ili perc","quantile"
"HHS Region 1",2019-02-02,1,2019-02-09,3.93039042751843,0.6,"ili perc","quantile"
"HHS Region 1",2019-02-02,1,2019-02-09,3.96585056667958,0.65,"ili perc","quantile"
"HHS Region 1",2019-02-02,1,2019-02-09,4.08663577743574,0.7,"ili perc","quantile"
"HHS Region 1",2019-02-02,1,2019-02-09,4.14964336362769,0.75,"ili perc","quantile"
"HHS Region 1",2019-02-02,1,2019-02-09,4.2320101594247,0.8,"ili perc","quantile"
"HHS Region 1",2019-02-02,1,2019-02-09,4.44135184714347,0.85,"ili perc","quantile"
"HHS Region 1",2019-02-02,1,2019-02-09,4.68716986319948,0.9,"ili perc","quantile"
"HHS Region 1",2019-02-02,1,2019-02-09,5.16826722488235,0.95,"ili perc","quantile"
"HHS Region 1",2019-02-02,1,2019-02-09,5.47424864398271,0.975,"ili perc","quantile"
"HHS Region 1",2019-02-02,1,2019-02-09,5.56110283734549,0.99,"ili perc","quantile"
"HHS Region 1",2019-02-02,2,2019-02-16,1.43979316266538,0.01,"ili perc","quantile"
"HHS Region 1",2019-02-02,2,2019-02-16,1.67596432424218,0.025,"ili perc","quantile"
"HHS Region 1",2019-02-02,2,2019-02-16,2.46073548720721,0.05,"ili perc","quantile"
"HHS Region 1",2019-02-02,2,2019-02-16,2.65443626042722,0.1,"ili perc","quantile"
"HHS Region 1",2019-02-02,2,2019-02-16,2.8690479935141,0.15,"ili perc","quantile"
"HHS Region 1",2019-02-02,2,2019-02-16,2.95022665462859,0.2,"ili perc","quantile"
"HHS Region 1",2019-02-02,2,2019-02-16,3.07917045862653,0.25,"ili perc","quantile"
"HHS Region 1",2019-02-02,2,2019-02-16,3.22348429656868,0.3,"ili perc","quantile"
"HHS Region 1",2019-02-02,2,2019-02-16,3.35658981139689,0.35,"ili perc","quantile"
"HHS Region 1",2019-02-02,2,2019-02-16,3.44909864420066,0.4,"ili perc","quantile"
"HHS Region 1",2019-02-02,2,2019-02-16,3.52652772440457,0.45,"ili perc","quantile"
"HHS Region 1",2019-02-02,2,2019-02-16,3.63209601493534,0.5,"ili perc","quantile"
"HHS Region 1",2019-02-02,2,2019-02-16,3.68120811438717,0.55,"ili perc","quantile"
"HHS Region 1",2019-02-02,2,2019-02-16,3.84215652468669,0.6,"ili perc","quantile"
"HHS Region 1",2019-02-02,2,2019-02-16,4.04001691558858,0.65,"ili perc","quantile"
"HHS Region 1",2019-02-02,2,2019-02-16,4.17957039909308,0.7,"ili perc","quantile"
"HHS Region 1",2019-02-02,2,2019-02-16,4.309421443217,0.75,"ili perc","quantile"
"HHS Region 1",2019-02-02,2,2019-02-16,4.75597739618392,0.8,"ili perc","quantile"
"HHS Region 1",2019-02-02,2,2019-02-16,5.09100912271084,0.85,"ili perc","quantile"
"HHS Region 1",2019-02-02,2,2019-02-16,5.47621550993304,0.9,"ili perc","quantile"
"HHS Region 1",2019-02-02,2,2019-02-16,5.70371720507956,0.95,"ili perc","quantile"
"HHS Region 1",2019-02-02,2,2019-02-16,6.80227912843751,0.975,"ili perc","quantile"
"HHS Region 1",2019-02-02,2,2019-02-16,7.14222059052522,0.99,"ili perc","quantile"
"HHS Region 1",2019-02-02,3,2019-02-23,1.51441993888081,0.01,"ili perc","quantile"
"HHS Region 1",2019-02-02,3,2019-02-23,1.62640474444254,0.025,"ili perc","quantile"
"HHS Region 1",2019-02-02,3,2019-02-23,1.7526128609657,0.05,"ili perc","quantile"
"HHS Region 1",2019-02-02,3,2019-02-23,2.45959746508719,0.1,"ili perc","quantile"
"HHS Region 1",2019-02-02,3,2019-02-23,2.62891884826775,0.15,"ili perc","quantile"
"HHS Region 1",2019-02-02,3,2019-02-23,2.82138328754831,0.2,"ili perc","quantile"
"HHS Region 1",2019-02-02,3,2019-02-23,2.91636323571505,0.25,"ili perc","quantile"
"HHS Region 1",2019-02-02,3,2019-02-23,3.0816508492407,0.3,"ili perc","quantile"
"HHS Region 1",2019-02-02,3,2019-02-23,3.15753893590839,0.35,"ili perc","quantile"
"HHS Region 1",2019-02-02,3,2019-02-23,3.32391146483229,0.4,"ili perc","quantile"
"HHS Region 1",2019-02-02,3,2019-02-23,3.56443160905139,0.45,"ili perc","quantile"
"HHS Region 1",2019-02-02,3,2019-02-23,3.76310052944651,0.5,"ili perc","quantile"
"HHS Region 1",2019-02-02,3,2019-02-23,3.95669136776301,0.55,"ili perc","quantile"
"HHS Region 1",2019-02-02,3,2019-02-23,4.05381201356043,0.6,"ili perc","quantile"
"HHS Region 1",2019-02-02,3,2019-02-23,4.26221743023402,0.65,"ili perc","quantile"
"HHS Region 1",2019-02-02,3,2019-02-23,4.41460788911318,0.7,"ili perc","quantile"
"HHS Region 1",2019-02-02,3,2019-02-23,4.61837722423063,0.75,"ili perc","quantile"
"HHS Region 1",2019-02-02,3,2019-02-23,4.818245354874,0.8,"ili perc","quantile"
"HHS Region 1",2019-02-02,3,2019-02-23,5.05833997360367,0.85,"ili perc","quantile"
"HHS Region 1",2019-02-02,3,2019-02-23,5.74136767003191,0.9,"ili perc","quantile"
"HHS Region 1",2019-02-02,3,2019-02-23,6.76841058570144,0.95,"ili perc","quantile"
"HHS Region 1",2019-02-02,3,2019-02-23,7.27093996654702,0.975,"ili perc","quantile"
"HHS Region 1",2019-02-02,3,2019-02-23,7.93267235194583,0.99,"ili perc","quantile"
"HHS Region 1",2019-02-02,4,2019-03-02,1.09806303621267,0.01,"ili perc","quantile"
"HHS Region 1",2019-02-02,4,2019-03-02,1.19609353598105,0.025,"ili perc","quantile"
"HHS Region 1",2019-02-02,4,2019-03-02,1.40463548785619,0.05,"ili perc","quantile"
"HHS Region 1",2019-02-02,4,2019-03-02,2.12591015781873,0.1,"ili perc","quantile"
"HHS Region 1",2019-02-02,4,2019-03-02,2.41465765462163,0.15,"ili perc","quantile"
"HHS Region 1",2019-02-02,4,2019-03-02,2.59486583497295,0.2,"ili perc","quantile"
"HHS Region 1",2019-02-02,4,2019-03-02,2.79218946493565,0.25,"ili perc","quantile"
"HHS Region 1",2019-02-02,4,2019-03-02,3.05508655774268,0.3,"ili perc","quantile"
"HHS Region 1",2019-02-02,4,2019-03-02,3.23611071759665,0.35,"ili perc","quantile"
"HHS Region 1",2019-02-02,4,2019-03-02,3.43299385060462,0.4,"ili perc","quantile"
"HHS Region 1",2019-02-02,4,2019-03-02,3.49686136043966,0.45,"ili perc","quantile"
"HHS Region 1",2019-02-02,4,2019-03-02,3.65955348361392,0.5,"ili perc","quantile"
"HHS Region 1",2019-02-02,4,2019-03-02,4.03484246590122,0.55,"ili perc","quantile"
"HHS Region 1",2019-02-02,4,2019-03-02,4.15556227698001,0.6,"ili perc","quantile"
"HHS Region 1",2019-02-02,4,2019-03-02,4.45459149084041,0.65,"ili perc","quantile"
"HHS Region 1",2019-02-02,4,2019-03-02,4.61427487920918,0.7,"ili perc","quantile"
"HHS Region 1",2019-02-02,4,2019-03-02,5.02205911165987,0.75,"ili perc","quantile"
"HHS Region 1",2019-02-02,4,2019-03-02,5.29630590700963,0.8,"ili perc","quantile"
"HHS Region 1",2019-02-02,4,2019-03-02,5.5757736174164,0.85,"ili perc","quantile"
"HHS Region 1",2019-02-02,4,2019-03-02,6.26838110983925,0.9,"ili perc","quantile"
"HHS Region 1",2019-02-02,4,2019-03-02,7.35909529669167,0.95,"ili perc","quantile"
"HHS Region 1",2019-02-02,4,2019-03-02,8.1111033598205,0.975,"ili perc","quantile"
"HHS Region 1",2019-02-02,4,2019-03-02,8.46272987765623,0.99,"ili perc","quantile"
"HHS Region 10",2019-02-02,1,2019-02-09,1.20784685273855,0.01,"ili perc","quantile"
"HHS Region 10",2019-02-02,1,2019-02-09,1.46587175281978,0.025,"ili perc","quantile"
"HHS Region 10",2019-02-02,1,2019-02-09,1.65338443011681,0.05,"ili perc","quantile"
"HHS Region 10",2019-02-02,1,2019-02-09,1.78863727894754,0.1,"ili perc","quantile"
"HHS Region 10",2019-02-02,1,2019-02-09,1.97679798920289,0.15,"ili perc","quantile"
"HHS Region 10",2019-02-02,1,2019-02-09,2.05807311828194,0.2,"ili perc","quantile"
"HHS Region 10",2019-02-02,1,2019-02-09,2.17165664213815,0.25,"ili perc","quantile"
"HHS Region 10",2019-02-02,1,2019-02-09,2.26889898354691,0.3,"ili perc","quantile"
"HHS Region 10",2019-02-02,1,2019-02-09,2.34607221676015,0.35,"ili perc","quantile"
"HHS Region 10",2019-02-02,1,2019-02-09,2.36444299718019,0.4,"ili perc","quantile"
"HHS Region 10",2019-02-02,1,2019-02-09,2.4865175164559,0.45,"ili perc","quantile"
"HHS Region 10",2019-02-02,1,2019-02-09,2.60378112875576,0.5,"ili perc","quantile"
"HHS Region 10",2019-02-02,1,2019-02-09,2.65085116951903,0.55,"ili perc","quantile"
"HHS Region 10",2019-02-02,1,2019-02-09,2.68940588805314,0.6,"ili perc","quantile"
"HHS Region 10",2019-02-02,1,2019-02-09,2.75905742196636,0.65,"ili perc","quantile"
"HHS Region 10",2019-02-02,1,2019-02-09,2.82851449281294,0.7,"ili perc","quantile"
"HHS Region 10",2019-02-02,1,2019-02-09,2.88046980533559,0.75,"ili perc","quantile"
"HHS Region 10",2019-02-02,1,2019-02-09,2.96276755076618,0.8,"ili perc","quantile"
"HHS Region 10",2019-02-02,1,2019-02-09,3.18916750447219,0.85,"ili perc","quantile"
"HHS Region 10",2019-02-02,1,2019-02-09,3.47780524604573,0.9,"ili perc","quantile"
"HHS Region 10",2019-02-02,1,2019-02-09,4.05543161462755,0.95,"ili perc","quantile"
"HHS Region 10",2019-02-02,1,2019-02-09,4.46353071428364,0.975,"ili perc","quantile"
"HHS Region 10",2019-02-02,1,2019-02-09,5.67191787918617,0.99,"ili perc","quantile"
"HHS Region 10",2019-02-02,2,2019-02-16,1.12300782131705,0.01,"ili perc","quantile"
"HHS Region 10",2019-02-02,2,2019-02-16,1.26122930245173,0.025,"ili perc","quantile"
"HHS Region 10",2019-02-02,2,2019-02-16,1.43577742446725,0.05,"ili perc","quantile"
