"location","origin_date","target_end_date","horizon","quantile","output_type_id","value","target","output_type","region"
"HHS Region 1",2019-04-27,2019-05-04,1,"1%",0.01,0.596320156755056,"ili perc","quantile","hhs1"
"HHS Region 1",2019-04-27,2019-05-04,1,"2.5%",0.025,0.596320156755056,"ili perc","quantile","hhs1"
"HHS Region 1",2019-04-27,2019-05-04,1,"5%",0.05,0.709175421204731,"ili perc","quantile","hhs1"
"HHS Region 1",2019-04-27,2019-05-04,1,"10%",0.1,0.778559387765961,"ili perc","quantile","hhs1"
"HHS Region 1",2019-04-27,2019-05-04,1,"15%",0.15,0.843691790303433,"ili perc","quantile","hhs1"
"HHS Region 1",2019-04-27,2019-05-04,1,"20%",0.2,0.869999493324089,"ili perc","quantile","hhs1"
"HHS Region 1",2019-04-27,2019-05-04,1,"25%",0.25,0.87844051497806,"ili perc","quantile","hhs1"
"HHS Region 1",2019-04-27,2019-05-04,1,"30%",0.3,0.87844051497806,"ili perc","quantile","hhs1"
"HHS Region 1",2019-04-27,2019-05-04,1,"35%",0.35,0.87844051497806,"ili perc","quantile","hhs1"
"HHS Region 1",2019-04-27,2019-05-04,1,"40%",0.4,0.87844051497806,"ili perc","quantile","hhs1"
"HHS Region 1",2019-04-27,2019-05-04,1,"45%",0.45,0.911749704959201,"ili perc","quantile","hhs1"
"HHS Region 1",2019-04-27,2019-05-04,1,"50%",0.5,3.30350139058055,"ili perc","quantile","hhs1"
"HHS Region 1",2019-04-27,2019-05-04,1,"55%",0.55,3.30350139058055,"ili perc","quantile","hhs1"
"HHS Region 1",2019-04-27,2019-05-04,1,"60%",0.6,3.30350139058055,"ili perc","quantile","hhs1"
"HHS Region 1",2019-04-27,2019-05-04,1,"65%",0.65,3.30350139058055,"ili perc","quantile","hhs1"
"HHS Region 1",2019-04-27,2019-05-04,1,"70%",0.7,3.30350139058055,"ili perc","quantile","hhs1"
"HHS Region 1",2019-04-27,2019-05-04,1,"75%",0.75,3.30350139058055,"ili perc","quantile","hhs1"
"HHS Region 1",2019-04-27,2019-05-04,1,"80%",0.8,3.30350139058055,"ili perc","quantile","hhs1"
"HHS Region 1",2019-04-27,2019-05-04,1,"85%",0.85,3.30350139058055,"ili perc","quantile","hhs1"
"HHS Region 1",2019-04-27,2019-05-04,1,"90%",0.9,3.30350139058055,"ili perc","quantile","hhs1"
"HHS Region 1",2019-04-27,2019-05-04,1,"95%",0.95,3.30350139058055,"ili perc","quantile","hhs1"
"HHS Region 1",2019-04-27,2019-05-04,1,"97.5%",0.975,3.30350139058055,"ili perc","quantile","hhs1"
"HHS Region 1",2019-04-27,2019-05-04,1,"99%",0.99,3.30350139058055,"ili perc","quantile","hhs1"
"HHS Region 1",2019-04-27,2019-05-11,2,"1%",0.01,0.588357049185132,"ili perc","quantile","hhs1"
"HHS Region 1",2019-04-27,2019-05-11,2,"2.5%",0.025,0.588357049185132,"ili perc","quantile","hhs1"
"HHS Region 1",2019-04-27,2019-05-11,2,"5%",0.05,0.687438099286043,"ili perc","quantile","hhs1"
"HHS Region 1",2019-04-27,2019-05-11,2,"10%",0.1,0.738329492472734,"ili perc","quantile","hhs1"
"HHS Region 1",2019-04-27,2019-05-11,2,"15%",0.15,0.796949331682745,"ili perc","quantile","hhs1"
"HHS Region 1",2019-04-27,2019-05-11,2,"20%",0.2,0.825518448234083,"ili perc","quantile","hhs1"
"HHS Region 1",2019-04-27,2019-05-11,2,"25%",0.25,0.840952444854257,"ili perc","quantile","hhs1"
"HHS Region 1",2019-04-27,2019-05-11,2,"30%",0.3,0.840952444854257,"ili perc","quantile","hhs1"
"HHS Region 1",2019-04-27,2019-05-11,2,"35%",0.35,0.840952444854257,"ili perc","quantile","hhs1"
"HHS Region 1",2019-04-27,2019-05-11,2,"40%",0.4,0.841816592970243,"ili perc","quantile","hhs1"
"HHS Region 1",2019-04-27,2019-05-11,2,"45%",0.45,0.882139382141096,"ili perc","quantile","hhs1"
"HHS Region 1",2019-04-27,2019-05-11,2,"50%",0.5,2.23186887790846,"ili perc","quantile","hhs1"
"HHS Region 1",2019-04-27,2019-05-11,2,"55%",0.55,2.23186887790846,"ili perc","quantile","hhs1"
"HHS Region 1",2019-04-27,2019-05-11,2,"60%",0.6,2.23186887790846,"ili perc","quantile","hhs1"
"HHS Region 1",2019-04-27,2019-05-11,2,"65%",0.65,2.23186887790846,"ili perc","quantile","hhs1"
"HHS Region 1",2019-04-27,2019-05-11,2,"70%",0.7,2.23186887790846,"ili perc","quantile","hhs1"
"HHS Region 1",2019-04-27,2019-05-11,2,"75%",0.75,2.23186887790846,"ili perc","quantile","hhs1"
"HHS Region 1",2019-04-27,2019-05-11,2,"80%",0.8,2.23186887790846,"ili perc","quantile","hhs1"
"HHS Region 1",2019-04-27,2019-05-11,2,"85%",0.85,2.23186887790846,"ili perc","quantile","hhs1"
"HHS Region 1",2019-04-27,2019-05-11,2,"90%",0.9,2.23186887790846,"ili perc","quantile","hhs1"
"HHS Region 1",2019-04-27,2019-05-11,2,"95%",0.95,2.23186887790846,"ili perc","quantile","hhs1"
"HHS Region 1",2019-04-27,2019-05-11,2,"97.5%",0.975,2.23186887790846,"ili perc","quantile","hhs1"
"HHS Region 1",2019-04-27,2019-05-11,2,"99%",0.99,2.23186887790846,"ili perc","quantile","hhs1"
"HHS Region 1",2019-04-27,2019-05-18,3,"1%",0.01,0.580750171519406,"ili perc","quantile","hhs1"
"HHS Region 1",2019-04-27,2019-05-18,3,"2.5%",0.025,0.581417364296201,"ili perc","quantile","hhs1"
"HHS Region 1",2019-04-27,2019-05-18,3,"5%",0.05,0.666277709791915,"ili perc","quantile","hhs1"
"HHS Region 1",2019-04-27,2019-05-18,3,"10%",0.1,0.6985618256106,"ili perc","quantile","hhs1"
"HHS Region 1",2019-04-27,2019-05-18,3,"15%",0.15,0.75062011851508,"ili perc","quantile","hhs1"
"HHS Region 1",2019-04-27,2019-05-18,3,"20%",0.2,0.781565272405936,"ili perc","quantile","hhs1"
"HHS Region 1",2019-04-27,2019-05-18,3,"25%",0.25,0.801691581279051,"ili perc","quantile","hhs1"
"HHS Region 1",2019-04-27,2019-05-18,3,"30%",0.3,0.801691581279051,"ili perc","quantile","hhs1"
"HHS Region 1",2019-04-27,2019-05-18,3,"35%",0.35,0.801691581279051,"ili perc","quantile","hhs1"
"HHS Region 1",2019-04-27,2019-05-18,3,"40%",0.4,0.812080958045561,"ili perc","quantile","hhs1"
"HHS Region 1",2019-04-27,2019-05-18,3,"45%",0.45,0.852839231697811,"ili perc","quantile","hhs1"
"HHS Region 1",2019-04-27,2019-05-18,3,"50%",0.5,2.85551008709694,"ili perc","quantile","hhs1"
"HHS Region 1",2019-04-27,2019-05-18,3,"55%",0.55,2.85551008709694,"ili perc","quantile","hhs1"
"HHS Region 1",2019-04-27,2019-05-18,3,"60%",0.6,2.85551008709694,"ili perc","quantile","hhs1"
"HHS Region 1",2019-04-27,2019-05-18,3,"65%",0.65,2.85551008709694,"ili perc","quantile","hhs1"
"HHS Region 1",2019-04-27,2019-05-18,3,"70%",0.7,2.85551008709694,"ili perc","quantile","hhs1"
"HHS Region 1",2019-04-27,2019-05-18,3,"75%",0.75,2.85551008709694,"ili perc","quantile","hhs1"
"HHS Region 1",2019-04-27,2019-05-18,3,"80%",0.8,2.85551008709694,"ili perc","quantile","hhs1"
"HHS Region 1",2019-04-27,2019-05-18,3,"85%",0.85,2.85551008709694,"ili perc","quantile","hhs1"
"HHS Region 1",2019-04-27,2019-05-18,3,"90%",0.9,2.85551008709694,"ili perc","quantile","hhs1"
"HHS Region 1",2019-04-27,2019-05-18,3,"95%",0.95,2.85551008709694,"ili perc","quantile","hhs1"
"HHS Region 1",2019-04-27,2019-05-18,3,"97.5%",0.975,2.85551008709694,"ili perc","quantile","hhs1"
"HHS Region 1",2019-04-27,2019-05-18,3,"99%",0.99,2.85551008709694,"ili perc","quantile","hhs1"
"HHS Region 1",2019-04-27,2019-05-25,4,"1%",0.01,0.56685025139508,"ili perc","quantile","hhs1"
"HHS Region 1",2019-04-27,2019-05-25,4,"2.5%",0.025,0.579249020224154,"ili perc","quantile","hhs1"
"HHS Region 1",2019-04-27,2019-05-25,4,"5%",0.05,0.644480986899773,"ili perc","quantile","hhs1"
"HHS Region 1",2019-04-27,2019-05-25,4,"10%",0.1,0.658284339269279,"ili perc","quantile","hhs1"
"HHS Region 1",2019-04-27,2019-05-25,4,"15%",0.15,0.703835112134655,"ili perc","quantile","hhs1"
"HHS Region 1",2019-04-27,2019-05-25,4,"20%",0.2,0.737029877886648,"ili perc","quantile","hhs1"
"HHS Region 1",2019-04-27,2019-05-25,4,"25%",0.25,0.761985497622511,"ili perc","quantile","hhs1"
