location,origin_date,target_end_date,horizon,output_type_id,value,target,output_type
HHS Region 1,2020-02-22,2020-02-29,1,0.01,2.43052589455829,ili perc,quantile
HHS Region 1,2020-02-22,2020-02-29,1,0.025,2.4550058258236,ili perc,quantile
HHS Region 1,2020-02-22,2020-02-29,1,0.05,2.57610748068055,ili perc,quantile
HHS Region 1,2020-02-22,2020-02-29,1,0.1,2.77116852346501,ili perc,quantile
HHS Region 1,2020-02-22,2020-02-29,1,0.15,2.87644565007304,ili perc,quantile
HHS Region 1,2020-02-22,2020-02-29,1,0.2,3.1037137668875,ili perc,quantile
HHS Region 1,2020-02-22,2020-02-29,1,0.25,3.26185126763244,ili perc,quantile
HHS Region 1,2020-02-22,2020-02-29,1,0.3,3.32473597823582,ili perc,quantile
HHS Region 1,2020-02-22,2020-02-29,1,0.35,3.32473597823582,ili perc,quantile
HHS Region 1,2020-02-22,2020-02-29,1,0.4,3.44183447426997,ili perc,quantile
HHS Region 1,2020-02-22,2020-02-29,1,0.45,3.62081958313024,ili perc,quantile
HHS Region 1,2020-02-22,2020-02-29,1,0.5,972.374999484864,ili perc,quantile
HHS Region 1,2020-02-22,2020-02-29,1,0.55,972.374999484864,ili perc,quantile
HHS Region 1,2020-02-22,2020-02-29,1,0.6,972.374999484864,ili perc,quantile
HHS Region 1,2020-02-22,2020-02-29,1,0.65,972.374999484864,ili perc,quantile
HHS Region 1,2020-02-22,2020-02-29,1,0.7,972.374999484864,ili perc,quantile
HHS Region 1,2020-02-22,2020-02-29,1,0.75,972.374999484864,ili perc,quantile
HHS Region 1,2020-02-22,2020-02-29,1,0.8,972.374999484864,ili perc,quantile
HHS Region 1,2020-02-22,2020-02-29,1,0.85,972.374999484864,ili perc,quantile
HHS Region 1,2020-02-22,2020-02-29,1,0.9,972.374999484864,ili perc,quantile
HHS Region 1,2020-02-22,2020-02-29,1,0.95,972.374999484864,ili perc,quantile
HHS Region 1,2020-02-22,2020-02-29,1,0.975,972.374999484864,ili perc,quantile
HHS Region 1,2020-02-22,2020-02-29,1,0.99,972.374999484864,ili perc,quantile
HHS Region 1,2020-02-22,2020-03-07,2,0.01,2.40771927395519,ili perc,quantile
HHS Region 1,2020-02-22,2020-03-07,2,0.025,2.44376226960912,ili perc,quantile
HHS Region 1,2020-02-22,2020-03-07,2,0.05,2.54679122094399,ili perc,quantile
HHS Region 1,2020-02-22,2020-03-07,2,0.1,2.72486651229167,ili perc,quantile
HHS Region 1,2020-02-22,2020-03-07,2,0.15,2.82427454598428,ili perc,quantile
HHS Region 1,2020-02-22,2020-03-07,2,0.2,3.05229830774613,ili perc,quantile
HHS Region 1,2020-02-22,2020-03-07,2,0.25,3.20966291898651,ili perc,quantile
HHS Region 1,2020-02-22,2020-03-07,2,0.3,3.28337929418063,ili perc,quantile
HHS Region 1,2020-02-22,2020-03-07,2,0.35,3.28337929418063,ili perc,quantile
HHS Region 1,2020-02-22,2020-03-07,2,0.4,3.40702480196751,ili perc,quantile
HHS Region 1,2020-02-22,2020-03-07,2,0.45,3.58713464595257,ili perc,quantile
HHS Region 1,2020-02-22,2020-03-07,2,0.5,949.033212660692,ili perc,quantile
HHS Region 1,2020-02-22,2020-03-07,2,0.55,949.033212660692,ili perc,quantile
HHS Region 1,2020-02-22,2020-03-07,2,0.6,949.033212660692,ili perc,quantile
HHS Region 1,2020-02-22,2020-03-07,2,0.65,949.033212660692,ili perc,quantile
HHS Region 1,2020-02-22,2020-03-07,2,0.7,949.033212660692,ili perc,quantile
HHS Region 1,2020-02-22,2020-03-07,2,0.75,949.033212660692,ili perc,quantile
HHS Region 1,2020-02-22,2020-03-07,2,0.8,949.033212660692,ili perc,quantile
HHS Region 1,2020-02-22,2020-03-07,2,0.85,949.033212660692,ili perc,quantile
HHS Region 1,2020-02-22,2020-03-07,2,0.9,949.033212660692,ili perc,quantile
HHS Region 1,2020-02-22,2020-03-07,2,0.95,949.033212660692,ili perc,quantile
HHS Region 1,2020-02-22,2020-03-07,2,0.975,949.033212660692,ili perc,quantile
HHS Region 1,2020-02-22,2020-03-07,2,0.99,949.033212660692,ili perc,quantile
HHS Region 1,2020-02-22,2020-03-14,3,0.01,2.36777232813029,ili perc,quantile
