location,origin_date,horizon,target_end_date,value,output_type_id,target,output_type
HHS Region 1,2017-03-04,1,2017-03-11,1.2063775279080913,0.01,ili perc,quantile
HHS Region 1,2017-03-04,1,2017-03-11,1.2855366326172133,0.025,ili perc,quantile
HHS Region 1,2017-03-04,1,2017-03-11,1.3244987751939288,0.05,ili perc,quantile
HHS Region 1,2017-03-04,1,2017-03-11,1.4430378908003278,0.1,ili perc,quantile
HHS Region 1,2017-03-04,1,2017-03-11,1.4961767406916613,0.15,ili perc,quantile
HHS Region 1,2017-03-04,1,2017-03-11,1.5883504196761735,0.2,ili perc,quantile
HHS Region 1,2017-03-04,1,2017-03-11,1.624100471640876,0.25,ili perc,quantile
HHS Region 1,2017-03-04,1,2017-03-11,1.6515079207960326,0.3,ili perc,quantile
HHS Region 1,2017-03-04,1,2017-03-11,1.6750935443804094,0.35,ili perc,quantile
HHS Region 1,2017-03-04,1,2017-03-11,1.710778219242285,0.4,ili perc,quantile
HHS Region 1,2017-03-04,1,2017-03-11,1.7433882645199381,0.45,ili perc,quantile
HHS Region 1,2017-03-04,1,2017-03-11,1.7548613029876914,0.5,ili perc,quantile
HHS Region 1,2017-03-04,1,2017-03-11,1.7658023050276963,0.55,ili perc,quantile
HHS Region 1,2017-03-04,1,2017-03-11,1.7736938210456004,0.6,ili perc,quantile
HHS Region 1,2017-03-04,1,2017-03-11,1.7853906805909032,0.65,ili perc,quantile
HHS Region 1,2017-03-04,1,2017-03-11,1.8179114367193343,0.7,ili perc,quantile
HHS Region 1,2017-03-04,1,2017-03-11,1.8538793719893907,0.75,ili perc,quantile
HHS Region 1,2017-03-04,1,2017-03-11,1.8628879765263469,0.8,ili perc,quantile
HHS Region 1,2017-03-04,1,2017-03-11,1.9163415113820594,0.85,ili perc,quantile
HHS Region 1,2017-03-04,1,2017-03-11,1.9345718904889704,0.9,ili perc,quantile
HHS Region 1,2017-03-04,1,2017-03-11,2.0277703077342055,0.95,ili perc,quantile
HHS Region 1,2017-03-04,1,2017-03-11,2.0999158383455874,0.975,ili perc,quantile
HHS Region 1,2017-03-04,1,2017-03-11,2.188133436311121,0.99,ili perc,quantile
HHS Region 1,2017-03-04,2,2017-03-18,0.8754685424110918,0.01,ili perc,quantile
HHS Region 1,2017-03-04,2,2017-03-18,0.9310438795803416,0.025,ili perc,quantile
HHS Region 1,2017-03-04,2,2017-03-18,1.1103296817099977,0.05,ili perc,quantile
HHS Region 1,2017-03-04,2,2017-03-18,1.1497150323123035,0.1,ili perc,quantile
HHS Region 1,2017-03-04,2,2017-03-18,1.1755985795080128,0.15,ili perc,quantile
HHS Region 1,2017-03-04,2,2017-03-18,1.2158765689064923,0.2,ili perc,quantile
HHS Region 1,2017-03-04,2,2017-03-18,1.2545833665801631,0.25,ili perc,quantile
HHS Region 1,2017-03-04,2,2017-03-18,1.296574502332133,0.3,ili perc,quantile
HHS Region 1,2017-03-04,2,2017-03-18,1.3302709271697246,0.35,ili perc,quantile
HHS Region 1,2017-03-04,2,2017-03-18,1.3611941175744642,0.4,ili perc,quantile
HHS Region 1,2017-03-04,2,2017-03-18,1.4067301561545138,0.45,ili perc,quantile
HHS Region 1,2017-03-04,2,2017-03-18,1.4534971163041746,0.5,ili perc,quantile
HHS Region 1,2017-03-04,2,2017-03-18,1.52175921558893,0.55,ili perc,quantile
HHS Region 1,2017-03-04,2,2017-03-18,1.573510180244865,0.6,ili perc,quantile
HHS Region 1,2017-03-04,2,2017-03-18,1.6187847791300682,0.65,ili perc,quantile
HHS Region 1,2017-03-04,2,2017-03-18,1.6391275502420593,0.7,ili perc,quantile
HHS Region 1,2017-03-04,2,2017-03-18,1.7228496376890536,0.75,ili perc,quantile
HHS Region 1,2017-03-04,2,2017-03-18,1.750821231348201,0.8,ili perc,quantile
HHS Region 1,2017-03-04,2,2017-03-18,1.8057077685540095,0.85,ili perc,quantile
HHS Region 1,2017-03-04,2,2017-03-18,1.8374126551098204,0.9,ili perc,quantile
