"location","origin_date","horizon","target_end_date","output_type_id","target","output_type","value"
"HHS Region 1",2017-11-11,1,2017-11-18,0.01,"ili perc","quantile",0.0454816975434135
"HHS Region 1",2017-11-11,1,2017-11-18,0.025,"ili perc","quantile",0.346595966685703
"HHS Region 1",2017-11-11,1,2017-11-18,0.05,"ili perc","quantile",0.577740102684549
"HHS Region 1",2017-11-11,1,2017-11-18,0.1,"ili perc","quantile",0.829709908110639
"HHS Region 1",2017-11-11,1,2017-11-18,0.15,"ili perc","quantile",0.906988897111357
"HHS Region 1",2017-11-11,1,2017-11-18,0.2,"ili perc","quantile",0.950934097834154
"HHS Region 1",2017-11-11,1,2017-11-18,0.25,"ili perc","quantile",0.997773622163511
"HHS Region 1",2017-11-11,1,2017-11-18,0.3,"ili perc","quantile",1.04494884409684
"HHS Region 1",2017-11-11,1,2017-11-18,0.35,"ili perc","quantile",1.06960221472065
"HHS Region 1",2017-11-11,1,2017-11-18,0.4,"ili perc","quantile",1.09741807298576
"HHS Region 1",2017-11-11,1,2017-11-18,0.45,"ili perc","quantile",1.13627529311025
"HHS Region 1",2017-11-11,1,2017-11-18,0.5,"ili perc","quantile",1.16618208326568
"HHS Region 1",2017-11-11,1,2017-11-18,0.55,"ili perc","quantile",1.18777588314752
"HHS Region 1",2017-11-11,1,2017-11-18,0.6,"ili perc","quantile",1.2154912535636
"HHS Region 1",2017-11-11,1,2017-11-18,0.65,"ili perc","quantile",1.24154740196422
"HHS Region 1",2017-11-11,1,2017-11-18,0.7,"ili perc","quantile",1.26456786816489
"HHS Region 1",2017-11-11,1,2017-11-18,0.75,"ili perc","quantile",1.29986951826699
"HHS Region 1",2017-11-11,1,2017-11-18,0.8,"ili perc","quantile",1.39475911799993
"HHS Region 1",2017-11-11,1,2017-11-18,0.85,"ili perc","quantile",1.47280717352726
"HHS Region 1",2017-11-11,1,2017-11-18,0.9,"ili perc","quantile",1.58866710926248
"HHS Region 1",2017-11-11,1,2017-11-18,0.95,"ili perc","quantile",1.81197935882168
"HHS Region 1",2017-11-11,1,2017-11-18,0.975,"ili perc","quantile",2.08278138630542
"HHS Region 1",2017-11-11,1,2017-11-18,0.99,"ili perc","quantile",2.35439757406521
"HHS Region 1",2017-11-11,2,2017-11-25,0.01,"ili perc","quantile",0.304388879536137
"HHS Region 1",2017-11-11,2,2017-11-25,0.025,"ili perc","quantile",0.403409038269004
"HHS Region 1",2017-11-11,2,2017-11-25,0.05,"ili perc","quantile",0.58015835899635
"HHS Region 1",2017-11-11,2,2017-11-25,0.1,"ili perc","quantile",0.733414224321263
"HHS Region 1",2017-11-11,2,2017-11-25,0.15,"ili perc","quantile",0.851233088594211
"HHS Region 1",2017-11-11,2,2017-11-25,0.2,"ili perc","quantile",0.975466757864148
"HHS Region 1",2017-11-11,2,2017-11-25,0.25,"ili perc","quantile",1.02175112300264
"HHS Region 1",2017-11-11,2,2017-11-25,0.3,"ili perc","quantile",1.06213755674973
"HHS Region 1",2017-11-11,2,2017-11-25,0.35,"ili perc","quantile",1.09189965673602
"HHS Region 1",2017-11-11,2,2017-11-25,0.4,"ili perc","quantile",1.14608431002675
"HHS Region 1",2017-11-11,2,2017-11-25,0.45,"ili perc","quantile",1.18622736906269
"HHS Region 1",2017-11-11,2,2017-11-25,0.5,"ili perc","quantile",1.22332895676179
"HHS Region 1",2017-11-11,2,2017-11-25,0.55,"ili perc","quantile",1.26494416869313
"HHS Region 1",2017-11-11,2,2017-11-25,0.6,"ili perc","quantile",1.3055948318008
"HHS Region 1",2017-11-11,2,2017-11-25,0.65,"ili perc","quantile",1.34430307824522
"HHS Region 1",2017-11-11,2,2017-11-25,0.7,"ili perc","quantile",1.38354834607766
"HHS Region 1",2017-11-11,2,2017-11-25,0.75,"ili perc","quantile",1.43163835071403
"HHS Region 1",2017-11-11,2,2017-11-25,0.8,"ili perc","quantile",1.50619955739053
"HHS Region 1",2017-11-11,2,2017-11-25,0.85,"ili perc","quantile",1.58054291221694
"HHS Region 1",2017-11-11,2,2017-11-25,0.9,"ili perc","quantile",1.71005258778247
"HHS Region 1",2017-11-11,2,2017-11-25,0.95,"ili perc","quantile",2.17803414007313
"HHS Region 1",2017-11-11,2,2017-11-25,0.975,"ili perc","quantile",2.52348354372212
"HHS Region 1",2017-11-11,2,2017-11-25,0.99,"ili perc","quantile",3.51789834886865
"HHS Region 1",2017-11-11,3,2017-12-02,0.01,"ili perc","quantile",0.265344849674479
"HHS Region 1",2017-11-11,3,2017-12-02,0.025,"ili perc","quantile",0.381702581665414
"HHS Region 1",2017-11-11,3,2017-12-02,0.05,"ili perc","quantile",0.47654836115041
"HHS Region 1",2017-11-11,3,2017-12-02,0.1,"ili perc","quantile",0.62512459578137
"HHS Region 1",2017-11-11,3,2017-12-02,0.15,"ili perc","quantile",0.779640636485673
"HHS Region 1",2017-11-11,3,2017-12-02,0.2,"ili perc","quantile",0.864414997279302
"HHS Region 1",2017-11-11,3,2017-12-02,0.25,"ili perc","quantile",0.951738174253018
"HHS Region 1",2017-11-11,3,2017-12-02,0.3,"ili perc","quantile",1.02917830744892
"HHS Region 1",2017-11-11,3,2017-12-02,0.35,"ili perc","quantile",1.06918056022404
"HHS Region 1",2017-11-11,3,2017-12-02,0.4,"ili perc","quantile",1.11506248358449
"HHS Region 1",2017-11-11,3,2017-12-02,0.45,"ili perc","quantile",1.15094103209502
"HHS Region 1",2017-11-11,3,2017-12-02,0.5,"ili perc","quantile",1.19622672854576
"HHS Region 1",2017-11-11,3,2017-12-02,0.55,"ili perc","quantile",1.2460310337286
"HHS Region 1",2017-11-11,3,2017-12-02,0.6,"ili perc","quantile",1.30550499866857
"HHS Region 1",2017-11-11,3,2017-12-02,0.65,"ili perc","quantile",1.34811037279374
"HHS Region 1",2017-11-11,3,2017-12-02,0.7,"ili perc","quantile",1.41309596710057
"HHS Region 1",2017-11-11,3,2017-12-02,0.75,"ili perc","quantile",1.50051739618782
"HHS Region 1",2017-11-11,3,2017-12-02,0.8,"ili perc","quantile",1.59111755413574
"HHS Region 1",2017-11-11,3,2017-12-02,0.85,"ili perc","quantile",1.69883869035522
"HHS Region 1",2017-11-11,3,2017-12-02,0.9,"ili perc","quantile",1.79769541736909
"HHS Region 1",2017-11-11,3,2017-12-02,0.95,"ili perc","quantile",2.14889068266007
"HHS Region 1",2017-11-11,3,2017-12-02,0.975,"ili perc","quantile",2.76027170332337
"HHS Region 1",2017-11-11,3,2017-12-02,0.99,"ili perc","quantile",3.23624471622922
"HHS Region 1",2017-11-11,4,2017-12-09,0.01,"ili perc","quantile",0.289529807255556
"HHS Region 1",2017-11-11,4,2017-12-09,0.025,"ili perc","quantile",0.372957127472731
"HHS Region 1",2017-11-11,4,2017-12-09,0.05,"ili perc","quantile",0.513811421691752
"HHS Region 1",2017-11-11,4,2017-12-09,0.1,"ili perc","quantile",0.701044862124936
"HHS Region 1",2017-11-11,4,2017-12-09,0.15,"ili perc","quantile",0.8234004305474
"HHS Region 1",2017-11-11,4,2017-12-09,0.2,"ili perc","quantile",0.869237346060843
"HHS Region 1",2017-11-11,4,2017-12-09,0.25,"ili perc","quantile",0.921736662862924
"HHS Region 1",2017-11-11,4,2017-12-09,0.3,"ili perc","quantile",0.989126837015212
"HHS Region 1",2017-11-11,4,2017-12-09,0.35,"ili perc","quantile",1.06738186550931
