"location","origin_date","horizon","target_end_date","value","output_type_id","target","output_type"
"HHS Region 1",2018-12-15,1,2018-12-22,1.22987050700361,0.01,"ili perc","quantile"
"HHS Region 1",2018-12-15,1,2018-12-22,1.24157398607083,0.025,"ili perc","quantile"
"HHS Region 1",2018-12-15,1,2018-12-22,1.34119198067437,0.05,"ili perc","quantile"
"HHS Region 1",2018-12-15,1,2018-12-22,1.48218789154367,0.1,"ili perc","quantile"
"HHS Region 1",2018-12-15,1,2018-12-22,1.66963682888245,0.15,"ili perc","quantile"
"HHS Region 1",2018-12-15,1,2018-12-22,1.76912134271059,0.2,"ili perc","quantile"
"HHS Region 1",2018-12-15,1,2018-12-22,1.83823554952901,0.25,"ili perc","quantile"
"HHS Region 1",2018-12-15,1,2018-12-22,1.87721745725007,0.3,"ili perc","quantile"
"HHS Region 1",2018-12-15,1,2018-12-22,1.89440518016839,0.35,"ili perc","quantile"
"HHS Region 1",2018-12-15,1,2018-12-22,1.90702070773939,0.4,"ili perc","quantile"
"HHS Region 1",2018-12-15,1,2018-12-22,1.9286041122868,0.45,"ili perc","quantile"
"HHS Region 1",2018-12-15,1,2018-12-22,1.95622907813453,0.5,"ili perc","quantile"
"HHS Region 1",2018-12-15,1,2018-12-22,2.00518005570628,0.55,"ili perc","quantile"
"HHS Region 1",2018-12-15,1,2018-12-22,2.05571056859027,0.6,"ili perc","quantile"
"HHS Region 1",2018-12-15,1,2018-12-22,2.0994497532524,0.65,"ili perc","quantile"
"HHS Region 1",2018-12-15,1,2018-12-22,2.12295690151193,0.7,"ili perc","quantile"
"HHS Region 1",2018-12-15,1,2018-12-22,2.1391038519597,0.75,"ili perc","quantile"
"HHS Region 1",2018-12-15,1,2018-12-22,2.17632336614921,0.8,"ili perc","quantile"
"HHS Region 1",2018-12-15,1,2018-12-22,2.21977229424779,0.85,"ili perc","quantile"
"HHS Region 1",2018-12-15,1,2018-12-22,2.38187363173206,0.9,"ili perc","quantile"
"HHS Region 1",2018-12-15,1,2018-12-22,2.8639032601903,0.95,"ili perc","quantile"
"HHS Region 1",2018-12-15,1,2018-12-22,3.03714923865441,0.975,"ili perc","quantile"
"HHS Region 1",2018-12-15,1,2018-12-22,4.08413444189997,0.99,"ili perc","quantile"
"HHS Region 1",2018-12-15,2,2018-12-29,0.935510503776243,0.01,"ili perc","quantile"
"HHS Region 1",2018-12-15,2,2018-12-29,1.18695121768822,0.025,"ili perc","quantile"
"HHS Region 1",2018-12-15,2,2018-12-29,1.28110627789768,0.05,"ili perc","quantile"
"HHS Region 1",2018-12-15,2,2018-12-29,1.40706837686246,0.1,"ili perc","quantile"
"HHS Region 1",2018-12-15,2,2018-12-29,1.45750547771167,0.15,"ili perc","quantile"
"HHS Region 1",2018-12-15,2,2018-12-29,1.62188958588046,0.2,"ili perc","quantile"
"HHS Region 1",2018-12-15,2,2018-12-29,1.70295713577948,0.25,"ili perc","quantile"
"HHS Region 1",2018-12-15,2,2018-12-29,1.76302558224334,0.3,"ili perc","quantile"
"HHS Region 1",2018-12-15,2,2018-12-29,1.8872847826595,0.35,"ili perc","quantile"
