"location","origin_date","horizon","target_end_date","value","output_type_id","target","output_type"
"US National",2016-12-10,1,2016-12-17,1.94482312144432,0.01,"ili perc","quantile"
"US National",2016-12-10,1,2016-12-17,1.95145385683392,0.025,"ili perc","quantile"
"US National",2016-12-10,1,2016-12-17,2.00750733611929,0.05,"ili perc","quantile"
"US National",2016-12-10,1,2016-12-17,2.11407438597732,0.1,"ili perc","quantile"
"US National",2016-12-10,1,2016-12-17,2.15783858096641,0.15,"ili perc","quantile"
"US National",2016-12-10,1,2016-12-17,2.1755230419321,0.2,"ili perc","quantile"
"US National",2016-12-10,1,2016-12-17,2.1866834942562,0.25,"ili perc","quantile"
"US National",2016-12-10,1,2016-12-17,2.20226373574722,0.3,"ili perc","quantile"
"US National",2016-12-10,1,2016-12-17,2.21242012331193,0.35,"ili perc","quantile"
"US National",2016-12-10,1,2016-12-17,2.22680234488392,0.4,"ili perc","quantile"
"US National",2016-12-10,1,2016-12-17,2.23897259001176,0.45,"ili perc","quantile"
"US National",2016-12-10,1,2016-12-17,2.25830885166888,0.5,"ili perc","quantile"
"US National",2016-12-10,1,2016-12-17,2.26836262844048,0.55,"ili perc","quantile"
"US National",2016-12-10,1,2016-12-17,2.27601420972191,0.6,"ili perc","quantile"
"US National",2016-12-10,1,2016-12-17,2.29812356916222,0.65,"ili perc","quantile"
"US National",2016-12-10,1,2016-12-17,2.31066216801373,0.7,"ili perc","quantile"
"US National",2016-12-10,1,2016-12-17,2.31904069378819,0.75,"ili perc","quantile"
"US National",2016-12-10,1,2016-12-17,2.32804269669385,0.8,"ili perc","quantile"
"US National",2016-12-10,1,2016-12-17,2.34837612030523,0.85,"ili perc","quantile"
"US National",2016-12-10,1,2016-12-17,2.39178915300943,0.9,"ili perc","quantile"
"US National",2016-12-10,1,2016-12-17,2.41779266082015,0.95,"ili perc","quantile"
"US National",2016-12-10,1,2016-12-17,2.46174508704621,0.975,"ili perc","quantile"
"US National",2016-12-10,1,2016-12-17,2.46818607098471,0.99,"ili perc","quantile"
"US National",2016-12-10,2,2016-12-24,2.07285166434689,0.01,"ili perc","quantile"
"US National",2016-12-10,2,2016-12-24,2.12217642777908,0.025,"ili perc","quantile"
"US National",2016-12-10,2,2016-12-24,2.1519340705914,0.05,"ili perc","quantile"
"US National",2016-12-10,2,2016-12-24,2.28893287364146,0.1,"ili perc","quantile"
"US National",2016-12-10,2,2016-12-24,2.35076407463871,0.15,"ili perc","quantile"
"US National",2016-12-10,2,2016-12-24,2.42892373594528,0.2,"ili perc","quantile"
"US National",2016-12-10,2,2016-12-24,2.45729474030806,0.25,"ili perc","quantile"
"US National",2016-12-10,2,2016-12-24,2.48340714590503,0.3,"ili perc","quantile"
"US National",2016-12-10,2,2016-12-24,2.5021353225313,0.35,"ili perc","quantile"
"US National",2016-12-10,2,2016-12-24,2.5188678648028,0.4,"ili perc","quantile"
"US National",2016-12-10,2,2016-12-24,2.53242083672955,0.45,"ili perc","quantile"
"US National",2016-12-10,2,2016-12-24,2.5494377127846,0.5,"ili perc","quantile"
"US National",2016-12-10,2,2016-12-24,2.58291617973492,0.55,"ili perc","quantile"
"US National",2016-12-10,2,2016-12-24,2.5945494573913,0.6,"ili perc","quantile"
"US National",2016-12-10,2,2016-12-24,2.63275432181203,0.65,"ili perc","quantile"
"US National",2016-12-10,2,2016-12-24,2.65351165859,0.7,"ili perc","quantile"
"US National",2016-12-10,2,2016-12-24,2.69474076607056,0.75,"ili perc","quantile"
"US National",2016-12-10,2,2016-12-24,2.7227328559665,0.8,"ili perc","quantile"
"US National",2016-12-10,2,2016-12-24,2.77426431813075,0.85,"ili perc","quantile"
"US National",2016-12-10,2,2016-12-24,2.85958490241337,0.9,"ili perc","quantile"
"US National",2016-12-10,2,2016-12-24,2.9474214828779,0.95,"ili perc","quantile"
"US National",2016-12-10,2,2016-12-24,3.01915006776227,0.975,"ili perc","quantile"
"US National",2016-12-10,2,2016-12-24,3.03382761837374,0.99,"ili perc","quantile"
"US National",2016-12-10,3,2016-12-31,2.29206090399778,0.01,"ili perc","quantile"
"US National",2016-12-10,3,2016-12-31,2.36401162002346,0.025,"ili perc","quantile"
"US National",2016-12-10,3,2016-12-31,2.42104600017094,0.05,"ili perc","quantile"
"US National",2016-12-10,3,2016-12-31,2.50652512727675,0.1,"ili perc","quantile"
"US National",2016-12-10,3,2016-12-31,2.75846331530636,0.15,"ili perc","quantile"
"US National",2016-12-10,3,2016-12-31,2.79303171124243,0.2,"ili perc","quantile"
"US National",2016-12-10,3,2016-12-31,2.81865588836797,0.25,"ili perc","quantile"
"US National",2016-12-10,3,2016-12-31,2.84186341533496,0.3,"ili perc","quantile"
"US National",2016-12-10,3,2016-12-31,2.86800747785683,0.35,"ili perc","quantile"
"US National",2016-12-10,3,2016-12-31,2.89545044662626,0.4,"ili perc","quantile"
"US National",2016-12-10,3,2016-12-31,2.92153977021481,0.45,"ili perc","quantile"
