"location","origin_date","horizon","target_end_date","value","output_type_id","target","output_type"
"US National",2015-10-31,4,2015-11-28,1.04579783170806,0.01,"ili perc","quantile"
"US National",2015-10-31,4,2015-11-28,1.22644601650943,0.025,"ili perc","quantile"
"US National",2015-10-31,4,2015-11-28,1.38872041227131,0.05,"ili perc","quantile"
"US National",2015-10-31,4,2015-11-28,1.4567626941579,0.1,"ili perc","quantile"
"US National",2015-10-31,4,2015-11-28,1.52112961467116,0.15,"ili perc","quantile"
"US National",2015-10-31,4,2015-11-28,1.5660007673526,0.2,"ili perc","quantile"
"US National",2015-10-31,4,2015-11-28,1.60646798489153,0.25,"ili perc","quantile"
"US National",2015-10-31,4,2015-11-28,1.64119153526355,0.3,"ili perc","quantile"
"US National",2015-10-31,4,2015-11-28,1.67537315932424,0.35,"ili perc","quantile"
"US National",2015-10-31,4,2015-11-28,1.74586928809707,0.4,"ili perc","quantile"
"US National",2015-10-31,4,2015-11-28,1.78752556805435,0.45,"ili perc","quantile"
"US National",2015-10-31,4,2015-11-28,1.83493780243422,0.5,"ili perc","quantile"
"US National",2015-10-31,4,2015-11-28,1.88828298595463,0.55,"ili perc","quantile"
"US National",2015-10-31,4,2015-11-28,1.95154006027639,0.6,"ili perc","quantile"
"US National",2015-10-31,4,2015-11-28,2.0091841828653,0.65,"ili perc","quantile"
"US National",2015-10-31,4,2015-11-28,2.04892703849191,0.7,"ili perc","quantile"
"US National",2015-10-31,4,2015-11-28,2.13755922898314,0.75,"ili perc","quantile"
"US National",2015-10-31,4,2015-11-28,2.22863763082816,0.8,"ili perc","quantile"
"US National",2015-10-31,4,2015-11-28,2.39659265248269,0.85,"ili perc","quantile"
"US National",2015-10-31,4,2015-11-28,2.5739035789406,0.9,"ili perc","quantile"
"US National",2015-10-31,4,2015-11-28,2.64709536920833,0.95,"ili perc","quantile"
"US National",2015-10-31,4,2015-11-28,2.75845387625242,0.975,"ili perc","quantile"
"US National",2015-10-31,4,2015-11-28,4.34590749237747,0.99,"ili perc","quantile"
