"location","origin_date","horizon","target_end_date","value","output_type_id","target","output_type"
"HHS Region 1",2016-12-10,1,2016-12-17,0.611209178431574,0.01,"ili perc","quantile"
"HHS Region 1",2016-12-10,1,2016-12-17,0.672420254043559,0.025,"ili perc","quantile"
"HHS Region 1",2016-12-10,1,2016-12-17,0.735374921795978,0.05,"ili perc","quantile"
"HHS Region 1",2016-12-10,1,2016-12-17,0.85772796492791,0.1,"ili perc","quantile"
"HHS Region 1",2016-12-10,1,2016-12-17,0.922394235507752,0.15,"ili perc","quantile"
"HHS Region 1",2016-12-10,1,2016-12-17,0.948407357444872,0.2,"ili perc","quantile"
"HHS Region 1",2016-12-10,1,2016-12-17,0.978746531488622,0.25,"ili perc","quantile"
"HHS Region 1",2016-12-10,1,2016-12-17,1.00250440224064,0.3,"ili perc","quantile"
"HHS Region 1",2016-12-10,1,2016-12-17,1.0310438998867,0.35,"ili perc","quantile"
"HHS Region 1",2016-12-10,1,2016-12-17,1.03812151446148,0.4,"ili perc","quantile"
"HHS Region 1",2016-12-10,1,2016-12-17,1.05162053607708,0.45,"ili perc","quantile"
"HHS Region 1",2016-12-10,1,2016-12-17,1.0645845404156,0.5,"ili perc","quantile"
"HHS Region 1",2016-12-10,1,2016-12-17,1.08358896463831,0.55,"ili perc","quantile"
"HHS Region 1",2016-12-10,1,2016-12-17,1.10115705860275,0.6,"ili perc","quantile"
"HHS Region 1",2016-12-10,1,2016-12-17,1.1270852884342,0.65,"ili perc","quantile"
"HHS Region 1",2016-12-10,1,2016-12-17,1.14868433548737,0.7,"ili perc","quantile"
"HHS Region 1",2016-12-10,1,2016-12-17,1.19122125000641,0.75,"ili perc","quantile"
"HHS Region 1",2016-12-10,1,2016-12-17,1.22851956838054,0.8,"ili perc","quantile"
"HHS Region 1",2016-12-10,1,2016-12-17,1.26509073594475,0.85,"ili perc","quantile"
"HHS Region 1",2016-12-10,1,2016-12-17,1.40458362998655,0.9,"ili perc","quantile"
"HHS Region 1",2016-12-10,1,2016-12-17,1.50324217809029,0.95,"ili perc","quantile"
"HHS Region 1",2016-12-10,1,2016-12-17,1.78283960888667,0.975,"ili perc","quantile"
"HHS Region 1",2016-12-10,1,2016-12-17,2.26371824781706,0.99,"ili perc","quantile"
"HHS Region 1",2016-12-10,2,2016-12-24,0.45893333361823,0.01,"ili perc","quantile"
"HHS Region 1",2016-12-10,2,2016-12-24,0.506514810648354,0.025,"ili perc","quantile"
"HHS Region 1",2016-12-10,2,2016-12-24,0.558801869355577,0.05,"ili perc","quantile"
"HHS Region 1",2016-12-10,2,2016-12-24,0.687959664043929,0.1,"ili perc","quantile"
"HHS Region 1",2016-12-10,2,2016-12-24,0.764614596123366,0.15,"ili perc","quantile"
"HHS Region 1",2016-12-10,2,2016-12-24,0.839455552522351,0.2,"ili perc","quantile"
"HHS Region 1",2016-12-10,2,2016-12-24,0.857741727617918,0.25,"ili perc","quantile"
"HHS Region 1",2016-12-10,2,2016-12-24,0.871164867735602,0.3,"ili perc","quantile"
"HHS Region 1",2016-12-10,2,2016-12-24,0.938039097987829,0.35,"ili perc","quantile"
"HHS Region 1",2016-12-10,2,2016-12-24,0.984437598822072,0.4,"ili perc","quantile"
"HHS Region 1",2016-12-10,2,2016-12-24,1.01198683971146,0.45,"ili perc","quantile"
"HHS Region 1",2016-12-10,2,2016-12-24,1.03860265094247,0.5,"ili perc","quantile"
"HHS Region 1",2016-12-10,2,2016-12-24,1.0867640604781,0.55,"ili perc","quantile"
"HHS Region 1",2016-12-10,2,2016-12-24,1.11344291654312,0.6,"ili perc","quantile"
"HHS Region 1",2016-12-10,2,2016-12-24,1.17473363858093,0.65,"ili perc","quantile"
"HHS Region 1",2016-12-10,2,2016-12-24,1.23692411321545,0.7,"ili perc","quantile"
"HHS Region 1",2016-12-10,2,2016-12-24,1.2845988375003,0.75,"ili perc","quantile"
"HHS Region 1",2016-12-10,2,2016-12-24,1.36182734859179,0.8,"ili perc","quantile"
"HHS Region 1",2016-12-10,2,2016-12-24,1.40536546824555,0.85,"ili perc","quantile"
"HHS Region 1",2016-12-10,2,2016-12-24,1.51312877909922,0.9,"ili perc","quantile"
"HHS Region 1",2016-12-10,2,2016-12-24,1.7787600770777,0.95,"ili perc","quantile"
"HHS Region 1",2016-12-10,2,2016-12-24,1.92480251680229,0.975,"ili perc","quantile"
"HHS Region 1",2016-12-10,2,2016-12-24,2.19191810253751,0.99,"ili perc","quantile"
"HHS Region 1",2016-12-10,3,2016-12-31,0.399014074660438,0.01,"ili perc","quantile"
"HHS Region 1",2016-12-10,3,2016-12-31,0.456969997144184,0.025,"ili perc","quantile"
"HHS Region 1",2016-12-10,3,2016-12-31,0.511669391940243,0.05,"ili perc","quantile"
"HHS Region 1",2016-12-10,3,2016-12-31,0.595980095723755,0.1,"ili perc","quantile"
"HHS Region 1",2016-12-10,3,2016-12-31,0.73786643961748,0.15,"ili perc","quantile"
"HHS Region 1",2016-12-10,3,2016-12-31,0.787631494524361,0.2,"ili perc","quantile"
"HHS Region 1",2016-12-10,3,2016-12-31,0.825528496036455,0.25,"ili perc","quantile"
"HHS Region 1",2016-12-10,3,2016-12-31,0.879385476036876,0.3,"ili perc","quantile"
"HHS Region 1",2016-12-10,3,2016-12-31,0.929560749653935,0.35,"ili perc","quantile"
"HHS Region 1",2016-12-10,3,2016-12-31,1.0129161576514,0.4,"ili perc","quantile"
"HHS Region 1",2016-12-10,3,2016-12-31,1.05358891131906,0.45,"ili perc","quantile"
"HHS Region 1",2016-12-10,3,2016-12-31,1.09221087078854,0.5,"ili perc","quantile"
"HHS Region 1",2016-12-10,3,2016-12-31,1.11996829544826,0.55,"ili perc","quantile"
"HHS Region 1",2016-12-10,3,2016-12-31,1.15504101949572,0.6,"ili perc","quantile"
"HHS Region 1",2016-12-10,3,2016-12-31,1.21285176967297,0.65,"ili perc","quantile"
"HHS Region 1",2016-12-10,3,2016-12-31,1.26370290561605,0.7,"ili perc","quantile"
"HHS Region 1",2016-12-10,3,2016-12-31,1.33431574674589,0.75,"ili perc","quantile"
"HHS Region 1",2016-12-10,3,2016-12-31,1.40069516788002,0.8,"ili perc","quantile"
"HHS Region 1",2016-12-10,3,2016-12-31,1.48073944399427,0.85,"ili perc","quantile"
"HHS Region 1",2016-12-10,3,2016-12-31,1.61517149525739,0.9,"ili perc","quantile"
"HHS Region 1",2016-12-10,3,2016-12-31,1.92612123747808,0.95,"ili perc","quantile"
"HHS Region 1",2016-12-10,3,2016-12-31,2.22141064047961,0.975,"ili perc","quantile"
"HHS Region 1",2016-12-10,3,2016-12-31,2.42060670147019,0.99,"ili perc","quantile"
"HHS Region 1",2016-12-10,4,2017-01-07,0.38454431910648,0.01,"ili perc","quantile"
"HHS Region 1",2016-12-10,4,2017-01-07,0.424192469140111,0.025,"ili perc","quantile"
"HHS Region 1",2016-12-10,4,2017-01-07,0.507556342125241,0.05,"ili perc","quantile"
"HHS Region 1",2016-12-10,4,2017-01-07,0.579426521238591,0.1,"ili perc","quantile"
"HHS Region 1",2016-12-10,4,2017-01-07,0.641657435128615,0.15,"ili perc","quantile"
"HHS Region 1",2016-12-10,4,2017-01-07,0.759243105203397,0.2,"ili perc","quantile"
"HHS Region 1",2016-12-10,4,2017-01-07,0.84105002309084,0.25,"ili perc","quantile"
"HHS Region 1",2016-12-10,4,2017-01-07,0.895409261545582,0.3,"ili perc","quantile"
