"location","origin_date","horizon","target_end_date","value","output_type_id","target","output_type"
"US National",2017-02-11,4,2017-03-11,1.52508084948031,0.01,"ili perc","quantile"
"US National",2017-02-11,4,2017-03-11,1.85834616451611,0.025,"ili perc","quantile"
"US National",2017-02-11,4,2017-03-11,2.25279888473339,0.05,"ili perc","quantile"
"US National",2017-02-11,4,2017-03-11,2.78898605002896,0.1,"ili perc","quantile"
"US National",2017-02-11,4,2017-03-11,3.054931454541,0.15,"ili perc","quantile"
"US National",2017-02-11,4,2017-03-11,3.12957432510021,0.2,"ili perc","quantile"
"US National",2017-02-11,4,2017-03-11,3.16029698826865,0.25,"ili perc","quantile"
"US National",2017-02-11,4,2017-03-11,3.26437550712791,0.3,"ili perc","quantile"
"US National",2017-02-11,4,2017-03-11,3.35689134563889,0.35,"ili perc","quantile"
"US National",2017-02-11,4,2017-03-11,3.43894447531368,0.4,"ili perc","quantile"
"US National",2017-02-11,4,2017-03-11,3.56636227124579,0.45,"ili perc","quantile"
"US National",2017-02-11,4,2017-03-11,3.65845391927491,0.5,"ili perc","quantile"
"US National",2017-02-11,4,2017-03-11,3.7732147854737,0.55,"ili perc","quantile"
"US National",2017-02-11,4,2017-03-11,3.83801157469756,0.6,"ili perc","quantile"
"US National",2017-02-11,4,2017-03-11,3.91379149248617,0.65,"ili perc","quantile"
"US National",2017-02-11,4,2017-03-11,4.01813835241253,0.7,"ili perc","quantile"
"US National",2017-02-11,4,2017-03-11,4.11483148424116,0.75,"ili perc","quantile"
"US National",2017-02-11,4,2017-03-11,4.1687057301511,0.8,"ili perc","quantile"
"US National",2017-02-11,4,2017-03-11,4.25237156454982,0.85,"ili perc","quantile"
"US National",2017-02-11,4,2017-03-11,4.45847919515847,0.9,"ili perc","quantile"
"US National",2017-02-11,4,2017-03-11,5.04671830082347,0.95,"ili perc","quantile"
"US National",2017-02-11,4,2017-03-11,5.47272473847595,0.975,"ili perc","quantile"
"US National",2017-02-11,4,2017-03-11,5.79235668530256,0.99,"ili perc","quantile"
