"location","origin_date","horizon","target_end_date","output_type_id","target","output_type","value"
"HHS Region 1",2018-01-06,1,2018-01-13,0.01,"ili perc","quantile",1.08586453268325
"HHS Region 1",2018-01-06,1,2018-01-13,0.025,"ili perc","quantile",1.40465404449625
"HHS Region 1",2018-01-06,1,2018-01-13,0.05,"ili perc","quantile",1.84701182088749
"HHS Region 1",2018-01-06,1,2018-01-13,0.1,"ili perc","quantile",2.03913355232999
"HHS Region 1",2018-01-06,1,2018-01-13,0.15,"ili perc","quantile",2.1300055702665
"HHS Region 1",2018-01-06,1,2018-01-13,0.2,"ili perc","quantile",2.20591879737727
"HHS Region 1",2018-01-06,1,2018-01-13,0.25,"ili perc","quantile",2.27169863283277
"HHS Region 1",2018-01-06,1,2018-01-13,0.3,"ili perc","quantile",2.34088205899987
"HHS Region 1",2018-01-06,1,2018-01-13,0.35,"ili perc","quantile",2.36952580579554
"HHS Region 1",2018-01-06,1,2018-01-13,0.4,"ili perc","quantile",2.40612307527037
"HHS Region 1",2018-01-06,1,2018-01-13,0.45,"ili perc","quantile",2.44347320812734
"HHS Region 1",2018-01-06,1,2018-01-13,0.5,"ili perc","quantile",2.47832201052538
"HHS Region 1",2018-01-06,1,2018-01-13,0.55,"ili perc","quantile",2.54726297106176
"HHS Region 1",2018-01-06,1,2018-01-13,0.6,"ili perc","quantile",2.59075226865367
"HHS Region 1",2018-01-06,1,2018-01-13,0.65,"ili perc","quantile",2.63802044663296
"HHS Region 1",2018-01-06,1,2018-01-13,0.7,"ili perc","quantile",2.68514277246124
"HHS Region 1",2018-01-06,1,2018-01-13,0.75,"ili perc","quantile",2.73829991463687
"HHS Region 1",2018-01-06,1,2018-01-13,0.8,"ili perc","quantile",2.85408024044772
"HHS Region 1",2018-01-06,1,2018-01-13,0.85,"ili perc","quantile",2.93807724310508
"HHS Region 1",2018-01-06,1,2018-01-13,0.9,"ili perc","quantile",3.22865484022622
"HHS Region 1",2018-01-06,1,2018-01-13,0.95,"ili perc","quantile",3.57716094968556
"HHS Region 1",2018-01-06,1,2018-01-13,0.975,"ili perc","quantile",4.25006406656383
"HHS Region 1",2018-01-06,1,2018-01-13,0.99,"ili perc","quantile",5.28205627540888
"HHS Region 1",2018-01-06,2,2018-01-20,0.01,"ili perc","quantile",1.07654478615281
"HHS Region 1",2018-01-06,2,2018-01-20,0.025,"ili perc","quantile",1.29327036723234
"HHS Region 1",2018-01-06,2,2018-01-20,0.05,"ili perc","quantile",1.64994526306236
"HHS Region 1",2018-01-06,2,2018-01-20,0.1,"ili perc","quantile",1.92282080653028
"HHS Region 1",2018-01-06,2,2018-01-20,0.15,"ili perc","quantile",2.02779027312082
"HHS Region 1",2018-01-06,2,2018-01-20,0.2,"ili perc","quantile",2.12122935071857
"HHS Region 1",2018-01-06,2,2018-01-20,0.25,"ili perc","quantile",2.21296780360107
"HHS Region 1",2018-01-06,2,2018-01-20,0.3,"ili perc","quantile",2.26568112166985
"HHS Region 1",2018-01-06,2,2018-01-20,0.35,"ili perc","quantile",2.32088994958046
"HHS Region 1",2018-01-06,2,2018-01-20,0.4,"ili perc","quantile",2.36330719264742
"HHS Region 1",2018-01-06,2,2018-01-20,0.45,"ili perc","quantile",2.43895375109275
"HHS Region 1",2018-01-06,2,2018-01-20,0.5,"ili perc","quantile",2.49300997627515
